trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6285.0,6370.0,6200.1,6291.3,1733,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2010-12-30,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6300.0,6389.95,6231.0,6260.3,1413,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2010-12-31,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6282.05,6350.0,6270.05,6300.35,2043,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-03,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6305.0,6774.95,6295.0,6666.55,26430,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-04,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6600.0,6724.95,6385.0,6472.8,7075,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-05,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6529.2,6529.2,6400.1,6426.85,2930,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-06,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6420.05,6573.0,6375.05,6528.7,2806,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-07,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6551.0,6569.95,6371.55,6433.05,3986,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-10,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6440.0,6598.0,6375.0,6401.05,5749,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-11,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6450.0,6490.0,6355.6,6388.4,3055,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-12,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6420.0,6439.95,6352.45,6375.45,3837,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-13,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6402.0,6449.95,6257.7,6393.5,8185,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-14,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6356.0,6435.0,6260.0,6301.2,2117,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-17,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6344.0,6399.0,6262.0,6299.75,1008,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-18,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6325.0,6330.0,6275.0,6307.8,521,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-19,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6328.0,6328.85,6000.1,6227.05,1881,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-20,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6214.0,6280.0,6214.0,6236.4,840,FYERS_HISTORY,2026-08-08T23:05:09+05:30
2011-01-21,SMD-0041,BOSCHLTD,NSE:BOSCHLTD-EQ,6263.85,6350.0,6245.0,6253.7,1280,FYERS_HISTORY,2026-08-08T23:05:09+05:30
