trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0042,BPCL,NSE:BPCL-EQ,294.85,299.3,292.55,295.6,11310555,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2024-12-27,SMD-0042,BPCL,NSE:BPCL-EQ,295.05,297.4,292.5,293.55,3708404,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2024-12-30,SMD-0042,BPCL,NSE:BPCL-EQ,293.55,295.25,289.75,293.3,8236910,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2024-12-31,SMD-0042,BPCL,NSE:BPCL-EQ,291.45,294.4,290.8,292.45,4161509,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-01,SMD-0042,BPCL,NSE:BPCL-EQ,292.3,295.9,290.3,295.3,3545200,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-02,SMD-0042,BPCL,NSE:BPCL-EQ,295.3,297.7,291.8,296.9,6846413,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-03,SMD-0042,BPCL,NSE:BPCL-EQ,296.0,299.15,294.35,296.4,4806469,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-06,SMD-0042,BPCL,NSE:BPCL-EQ,296.4,297.25,284.1,284.85,7361716,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-07,SMD-0042,BPCL,NSE:BPCL-EQ,287.1,290.5,280.7,282.8,8306436,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-08,SMD-0042,BPCL,NSE:BPCL-EQ,282.8,287.9,280.5,286.8,6037032,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-09,SMD-0042,BPCL,NSE:BPCL-EQ,287.0,287.85,279.05,280.0,6215902,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-10,SMD-0042,BPCL,NSE:BPCL-EQ,280.5,283.5,275.6,277.65,9073218,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-13,SMD-0042,BPCL,NSE:BPCL-EQ,271.25,274.7,264.25,265.3,10488655,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-14,SMD-0042,BPCL,NSE:BPCL-EQ,267.1,271.5,266.0,270.2,6710730,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-15,SMD-0042,BPCL,NSE:BPCL-EQ,273.9,275.9,265.25,267.0,13448052,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-16,SMD-0042,BPCL,NSE:BPCL-EQ,267.35,268.95,263.5,266.9,13754046,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-17,SMD-0042,BPCL,NSE:BPCL-EQ,268.8,275.2,267.25,273.6,9300647,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-20,SMD-0042,BPCL,NSE:BPCL-EQ,275.0,278.4,268.8,277.3,9623368,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-21,SMD-0042,BPCL,NSE:BPCL-EQ,278.55,287.0,278.15,280.2,15304149,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-22,SMD-0042,BPCL,NSE:BPCL-EQ,282.0,283.55,274.05,277.6,6301894,FYERS_HISTORY,2026-08-08T23:05:28+05:30
2025-01-23,SMD-0042,BPCL,NSE:BPCL-EQ,283.0,285.0,270.3,271.25,18806324,FYERS_HISTORY,2026-08-08T23:05:28+05:30
