trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0046,CAMS,NSE:CAMS-EQ,433.81,443.6,430.21,438.4,247115,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2022-12-27,SMD-0046,CAMS,NSE:CAMS-EQ,441.0,445.8,439.04,442.97,330705,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2022-12-28,SMD-0046,CAMS,NSE:CAMS-EQ,440.6,443.76,438.02,442.17,229090,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2022-12-29,SMD-0046,CAMS,NSE:CAMS-EQ,442.0,444.71,439.8,441.92,265120,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2022-12-30,SMD-0046,CAMS,NSE:CAMS-EQ,442.6,446.0,442.5,444.33,231400,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-02,SMD-0046,CAMS,NSE:CAMS-EQ,445.34,445.34,437.62,438.54,358555,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-03,SMD-0046,CAMS,NSE:CAMS-EQ,439.62,444.0,439.56,442.86,196550,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-04,SMD-0046,CAMS,NSE:CAMS-EQ,443.78,443.78,440.12,441.4,216280,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-05,SMD-0046,CAMS,NSE:CAMS-EQ,442.79,449.38,441.39,444.15,438925,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-06,SMD-0046,CAMS,NSE:CAMS-EQ,444.15,446.38,442.8,444.15,139915,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-09,SMD-0046,CAMS,NSE:CAMS-EQ,446.54,447.0,442.93,444.69,212090,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-10,SMD-0046,CAMS,NSE:CAMS-EQ,445.3,448.8,444.0,445.23,281900,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-11,SMD-0046,CAMS,NSE:CAMS-EQ,445.47,448.71,443.62,445.2,364265,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-12,SMD-0046,CAMS,NSE:CAMS-EQ,445.2,449.0,445.2,447.15,282335,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-13,SMD-0046,CAMS,NSE:CAMS-EQ,448.4,455.98,447.01,454.77,647980,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-16,SMD-0046,CAMS,NSE:CAMS-EQ,457.34,461.2,455.2,458.48,382690,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-17,SMD-0046,CAMS,NSE:CAMS-EQ,458.0,460.87,454.8,458.69,584425,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-18,SMD-0046,CAMS,NSE:CAMS-EQ,459.14,463.12,458.6,459.17,563500,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-19,SMD-0046,CAMS,NSE:CAMS-EQ,458.8,462.15,457.49,461.28,294680,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-20,SMD-0046,CAMS,NSE:CAMS-EQ,461.4,464.58,460.54,463.76,303380,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-23,SMD-0046,CAMS,NSE:CAMS-EQ,465.8,467.0,463.24,463.75,311060,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-24,SMD-0046,CAMS,NSE:CAMS-EQ,464.96,465.06,457.0,460.32,250990,FYERS_HISTORY,2026-08-08T23:06:22+05:30
2023-01-25,SMD-0046,CAMS,NSE:CAMS-EQ,458.6,459.8,454.39,455.77,269055,FYERS_HISTORY,2026-08-08T23:06:22+05:30
