trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2005-12-30,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.32,21.45,20.81,21.19,63419,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-02,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.4,21.54,20.98,21.07,11299,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.42,21.59,21.23,21.42,24910,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-04,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.45,21.67,21.23,21.36,16930,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-05,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.51,21.51,20.97,21.09,17645,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-06,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.17,21.51,21.17,21.41,13303,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-09,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.41,22.01,21.41,21.8,38930,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,22.06,22.54,21.87,22.04,44981,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-12,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,21.88,22.2,21.45,21.47,19618,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-13,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,22.2,23.29,21.68,22.95,122929,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-16,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,23.12,23.12,22.43,22.51,31899,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-17,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,22.04,22.95,22.01,22.36,72960,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-18,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,22.85,22.85,22.01,22.44,141558,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-19,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,22.71,23.22,22.6,22.86,21495,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-20,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,23.15,23.57,22.9,23.36,116189,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-23,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,22.87,23.4,22.51,23.19,53260,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-24,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,23.4,24.29,22.71,23.31,97284,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-25,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,23.32,24.25,23.19,23.54,114625,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-27,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,23.68,26.24,23.68,25.65,227486,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-30,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.88,26.3,24.24,24.52,87602,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-01-31,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.32,25.8,24.85,25.25,50143,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-01,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.58,26.75,25.25,26.13,80676,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-02,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,26.34,26.36,25.77,26.03,127686,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.77,26.03,24.88,25.32,61092,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-06,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.32,26.58,24.85,26.1,117759,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-07,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,26.19,26.19,25.36,25.47,29304,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-08,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.55,26.08,25.35,25.76,51757,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.77,26.05,25.13,25.39,44846,FYERS_HISTORY,2026-08-08T23:07:00+05:30
2006-02-13,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,25.49,25.91,24.91,25.35,49448,FYERS_HISTORY,2026-08-08T23:07:00+05:30
