trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,77.42,77.81,75.86,76.72,564268,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-01,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,77.5,77.75,75.86,76.06,290912,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-02,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,77.13,77.13,74.13,75.04,858843,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,74.83,78.79,74.33,77.29,336157,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-04,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,78.59,79.37,76.48,77.66,533003,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-07,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,76.06,78.4,75.52,75.75,689153,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-08,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,76.97,76.97,73.13,74.09,351020,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-09,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,59.46,74.89,59.46,72.12,668749,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,73.11,75.14,71.18,72.1,413482,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-11,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,72.16,72.55,70.4,71.94,168426,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-14,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,72.16,72.89,69.47,71.26,420000,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-15,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,72.16,75.07,71.23,74.08,755791,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-16,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,70.25,74.5,68.52,73.04,500447,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-17,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,73.13,74.87,72.37,74.51,617089,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-18,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,74.5,74.5,69.23,69.91,783420,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-21,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,71.18,72.16,63.58,65.92,1798927,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-22,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,62.41,63.24,52.74,60.63,888915,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-23,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,70.79,70.79,59.68,65.69,451236,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-24,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,67.28,68.26,60.85,65.59,202893,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-25,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,66.31,68.45,64.98,67.63,174276,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-28,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,65.53,72.55,62.72,71.43,186680,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-29,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,71.84,73.86,69.04,69.93,159859,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-30,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,70.6,70.6,66.31,67.47,168915,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-01-31,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,67.57,68.05,60.07,63.7,942044,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-02-01,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,63.7,66.05,59.48,62.42,477939,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-02-04,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,64.36,65.43,62.8,63.28,201841,FYERS_HISTORY,2026-08-08T23:07:01+05:30
2008-02-05,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,63.28,63.97,61.07,61.4,416508,FYERS_HISTORY,2026-08-08T23:07:01+05:30
