trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,251.15,257.95,247.55,256.6,904210,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2022-12-27,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,257.9,265.5,254.8,263.45,1144158,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2022-12-28,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,263.4,270.9,262.1,267.55,816506,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2022-12-29,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,268.0,270.4,265.0,266.7,426656,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2022-12-30,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,267.95,272.35,263.9,270.3,919336,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-02,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,267.0,273.0,265.0,270.6,1512754,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,275.95,275.95,269.0,274.2,753832,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-04,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,275.25,277.1,270.0,274.3,1018706,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-05,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,272.5,273.9,269.0,270.9,953714,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-06,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,270.05,271.2,267.2,270.0,721930,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-09,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,272.0,291.4,271.1,289.45,6464804,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,286.5,298.6,285.5,289.8,4651066,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-11,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,291.0,300.0,288.0,299.2,4627649,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-12,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,300.7,305.0,293.2,295.1,3568679,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-13,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,296.5,310.7,295.9,308.55,5903809,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-16,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,311.3,315.4,300.1,302.0,4344439,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-17,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,303.3,310.2,301.75,305.65,3243763,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-18,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,307.0,310.95,303.1,308.35,2775644,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-19,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,308.4,315.3,307.55,313.85,4884677,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-20,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,315.0,315.05,310.1,312.75,2704855,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-23,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,312.7,313.25,297.0,303.55,2595157,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-24,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,304.85,308.3,294.0,299.35,2343669,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-25,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,299.0,311.8,297.0,300.4,3645017,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-27,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,300.0,306.25,286.5,298.4,3339589,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-30,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,299.1,305.8,298.55,301.75,3383826,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-01-31,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,304.0,306.5,298.15,302.45,1912210,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-01,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,303.85,306.0,291.55,302.4,2732882,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-02,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,303.45,308.3,300.05,306.1,1711354,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,307.0,310.5,303.9,309.25,3179890,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-06,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,308.0,310.0,306.1,307.4,2066418,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-07,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,308.95,319.5,307.85,315.3,3715973,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-08,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,316.1,319.45,315.0,316.45,1538187,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-09,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,316.35,316.35,306.05,311.45,2591230,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,321.15,333.0,318.2,327.85,7281913,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-13,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,328.8,335.25,328.0,334.45,4193247,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-14,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,334.0,338.6,333.3,335.75,3557133,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-15,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,334.95,336.35,315.45,320.75,4085177,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-16,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,322.95,327.45,321.5,323.75,4072105,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-17,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,320.95,325.75,317.5,320.15,2437429,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-20,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,319.95,323.8,314.0,317.0,7742141,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-21,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,316.3,324.35,315.05,319.9,3231711,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-22,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,318.75,320.8,312.0,314.4,2921934,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-23,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,315.7,320.5,312.65,314.2,3645631,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-24,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,315.75,319.85,313.0,314.85,3877334,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-27,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,314.4,319.75,308.4,310.9,3505642,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-02-28,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,315.0,318.8,298.8,305.25,78490279,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-01,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,300.0,309.6,299.15,306.8,1547803,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-02,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,308.9,309.8,291.0,300.05,3935281,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,302.0,306.0,296.1,300.75,2251488,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-06,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,301.0,301.6,294.05,298.35,1748045,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-08,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,298.7,305.4,297.0,301.3,2094412,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-09,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,301.65,304.8,295.1,297.05,1812978,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,295.85,302.0,294.0,297.35,2168497,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-13,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,296.85,298.2,286.8,290.95,2083004,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-14,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,290.0,298.2,280.75,293.0,2059502,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-15,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,293.2,299.7,289.1,292.2,1559818,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-16,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,292.95,294.0,283.5,290.8,1772334,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-17,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,292.05,293.45,286.0,289.15,1801010,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-20,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,285.5,291.0,276.65,286.85,2344438,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-21,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,288.35,298.95,288.35,296.3,2262931,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-22,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,297.8,299.8,292.2,293.9,796707,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-23,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,292.95,298.9,292.15,296.3,1145571,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-24,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,296.0,296.85,286.1,288.75,1060023,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-27,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,290.0,291.9,284.1,287.7,1469877,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-28,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,289.35,291.45,283.25,289.55,1100200,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-29,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,289.0,308.05,287.4,305.05,2925120,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-03-31,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,307.6,307.6,297.55,300.05,2761619,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-03,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,303.0,304.8,295.6,296.7,1250839,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-05,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,294.05,297.0,289.1,290.5,2588114,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-06,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,290.5,292.35,290.0,290.7,876239,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-10,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,290.1,291.3,286.85,288.05,2150819,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-11,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,288.15,295.5,286.8,294.55,1144355,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-12,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,295.0,303.0,292.75,301.25,1163685,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-13,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,302.0,306.0,296.5,298.0,1467802,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-17,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,299.0,305.5,298.05,301.1,1662067,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-18,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,303.0,304.95,300.5,303.85,913636,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-19,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,303.85,303.9,296.3,298.6,593807,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-20,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,299.5,302.1,295.35,300.15,756569,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-21,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,298.0,304.0,294.3,302.8,908853,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-24,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,304.0,304.4,300.25,302.45,561124,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-25,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,302.9,307.35,299.1,306.15,1323830,FYERS_HISTORY,2026-08-08T23:07:09+05:30
2023-04-26,SMD-0050,CGPOWER,NSE:CGPOWER-EQ,306.15,310.8,302.7,308.75,2238883,FYERS_HISTORY,2026-08-08T23:07:09+05:30
