trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-12-31,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,63.0,68.2,62.2,67.21,366565,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-01,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,69.8,72.9,68.21,71.95,246210,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-02,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,69.95,78.0,69.95,73.99,358855,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-03,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,74.0,76.0,71.0,72.83,102325,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-04,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,73.58,74.4,70.2,71.1,111860,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-07,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,71.0,72.6,67.2,67.55,137175,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-08,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,69.6,69.6,62.0,63.42,155870,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-09,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,64.2,66.66,62.02,66.04,234920,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-10,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,65.0,71.6,65.0,66.03,190905,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-11,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,65.0,69.0,64.3,65.56,91655,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-14,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,66.4,67.4,64.32,66.05,40795,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-15,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,64.59,69.5,64.59,65.0,80755,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-16,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,60.6,64.8,60.52,62.48,82720,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-17,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,62.6,64.8,61.34,62.71,65175,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-18,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,63.79,63.79,57.4,58.84,176085,FYERS_HISTORY,2026-08-08T23:07:15+05:30
2008-01-21,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,56.59,57.0,52.96,52.96,132525,FYERS_HISTORY,2026-08-08T23:07:15+05:30
