trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2010-12-29,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,37.4,37.97,36.44,37.33,390755,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2010-12-30,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,37.12,37.9,36.64,37.53,133465,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2010-12-31,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.8,38.76,36.8,37.87,465450,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-03,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,37.61,38.39,37.2,37.35,175235,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-04,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,37.4,37.98,37.2,37.38,168765,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-05,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.8,37.56,36.04,36.49,156900,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-06,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.13,36.78,35.07,36.09,135125,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-07,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,35.6,36.0,35.0,35.33,397105,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-10,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,35.01,36.8,35.01,36.49,829745,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-11,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.4,36.76,35.8,35.96,94235,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-12,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,35.8,38.19,35.8,37.74,281880,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-13,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,37.41,37.49,37.0,37.16,213035,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-14,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.61,37.8,36.6,36.77,78445,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-17,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.4,36.95,36.4,36.5,141900,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-18,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.6,37.3,36.47,36.99,163745,FYERS_HISTORY,2026-08-08T23:07:16+05:30
2011-01-19,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,36.2,36.98,36.04,36.19,101935,FYERS_HISTORY,2026-08-08T23:07:16+05:30
