trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,96.0,98.95,94.01,97.54,99895,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2014-12-30,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,97.6,97.99,95.16,95.76,67340,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2014-12-31,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,95.0,95.7,93.4,94.73,225075,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-01,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,94.0,96.56,93.8,94.6,289430,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-02,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,95.0,102.88,94.8,98.07,4043355,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-05,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,98.8,102.26,98.04,99.61,844080,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-06,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,99.6,99.69,96.0,96.45,198985,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-07,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,98.6,98.6,95.0,96.06,2741265,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-08,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,96.5,98.66,96.5,97.54,234355,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-09,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,99.8,99.8,96.01,97.11,117005,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-12,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,97.4,99.6,96.42,99.23,116305,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-13,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,99.8,100.88,97.27,99.83,262415,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-14,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,101.0,106.98,99.6,104.43,5886480,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-15,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,106.4,108.6,104.62,105.38,1749000,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-16,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,105.69,105.69,102.48,103.04,990515,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-19,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,103.4,104.77,103.0,103.22,470225,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-20,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,103.8,103.8,99.47,100.09,376905,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-21,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,100.09,103.96,100.09,103.33,694625,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-22,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,103.33,104.02,101.9,103.03,287340,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-23,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,102.03,103.78,100.9,103.06,502860,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-27,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,103.1,105.68,101.1,104.04,668350,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-28,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,105.68,109.54,103.22,107.92,1561985,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-29,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,108.2,113.94,107.03,112.35,1367105,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-01-30,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,111.8,111.8,108.0,108.62,382360,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-02,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,109.0,109.52,106.75,108.21,132425,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-03,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,109.0,117.8,108.24,113.4,1032290,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-04,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,113.32,114.27,110.05,111.05,189575,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-05,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,110.4,115.75,108.4,109.33,250050,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-06,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,108.93,110.98,107.0,110.11,179400,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-09,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,110.0,110.88,106.2,106.99,91300,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-10,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,106.4,111.69,106.4,108.96,232410,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-11,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,108.96,115.48,108.02,108.86,267315,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-12,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,108.2,114.8,108.2,114.01,442765,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-13,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,114.4,114.98,111.0,112.79,141035,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-16,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,113.61,113.9,109.68,111.58,55960,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-18,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,110.2,114.0,110.2,113.22,72020,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-19,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,112.56,116.0,110.4,115.62,141110,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-20,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,116.0,119.0,112.4,117.86,172315,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-23,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,118.54,119.54,115.73,116.77,198800,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-24,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,116.2,117.8,114.2,115.69,91760,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-25,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,115.44,117.37,113.8,115.49,225400,FYERS_HISTORY,2026-08-08T23:07:18+05:30
2015-02-26,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,115.0,115.57,112.4,114.56,125900,FYERS_HISTORY,2026-08-08T23:07:18+05:30
