trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,301.65,305.9,301.0,304.4,556194,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2019-12-30,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,305.65,309.1,304.35,305.65,1219062,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2019-12-31,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,305.65,308.6,304.3,305.5,788978,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-01,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,306.65,308.0,302.1,302.85,357891,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-02,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,304.25,309.9,301.5,309.2,1409338,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-03,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,310.5,310.5,299.35,303.05,1026261,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-06,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,291.5,300.7,287.05,291.5,2555741,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-07,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,295.4,297.55,291.25,294.75,1064029,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-08,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,292.0,296.45,290.1,294.6,1533409,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-09,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,297.95,309.7,296.75,306.4,1597360,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-10,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,306.0,316.0,306.0,314.1,1852886,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-13,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,316.05,320.7,312.8,319.95,1354842,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-14,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,320.0,325.5,316.85,320.5,1171343,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-15,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,319.9,333.45,317.0,331.65,1587871,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-16,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,330.5,334.9,326.0,327.1,2175032,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-17,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,325.0,329.85,323.2,325.25,931898,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-20,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,327.25,327.25,318.25,319.2,683308,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-21,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,315.6,318.85,308.95,314.95,2824500,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-22,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,315.75,319.45,312.0,317.5,2017725,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-23,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,318.75,325.0,313.65,323.5,4802353,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-24,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,329.0,329.0,320.4,323.8,3994678,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-27,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,323.05,336.8,323.05,329.45,4961789,FYERS_HISTORY,2026-08-08T23:07:20+05:30
2020-01-28,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,331.9,336.0,324.0,325.8,4294074,FYERS_HISTORY,2026-08-08T23:07:20+05:30
