trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,515.5,530.0,510.05,526.75,1231611,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2021-12-28,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,527.95,535.25,519.7,523.0,1067068,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2021-12-29,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,525.4,525.4,513.45,517.3,1190639,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2021-12-30,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,519.7,519.7,504.25,508.7,1876161,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2021-12-31,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,512.25,522.6,510.0,520.4,1206300,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-03,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,521.0,539.35,519.35,537.25,1873169,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-04,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,540.0,547.7,535.25,546.05,1821625,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-05,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,546.0,571.05,542.25,568.0,4130279,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-06,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,560.0,566.8,553.3,564.9,1867316,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-07,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,565.5,577.95,565.5,574.85,2641127,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-10,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,575.0,579.5,560.1,561.15,1322019,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-11,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,562.0,581.55,551.4,579.25,3378759,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-12,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,582.0,602.0,579.25,598.45,3385873,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-13,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,596.0,601.5,585.5,589.4,1103090,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-14,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,591.0,594.35,582.25,586.2,1443887,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-17,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,587.0,604.8,587.0,600.7,1705243,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-18,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,609.0,626.0,604.4,612.45,7751596,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-19,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,610.0,614.65,591.9,612.1,2341966,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-20,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,612.0,652.35,608.15,649.15,9235083,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-21,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,645.0,664.75,631.0,654.15,6704600,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-24,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,660.0,674.9,625.2,643.4,8279847,FYERS_HISTORY,2026-08-08T23:07:21+05:30
2022-01-25,SMD-0052,CHOLAFIN,NSE:CHOLAFIN-EQ,643.0,664.35,630.1,643.6,5186341,FYERS_HISTORY,2026-08-08T23:07:21+05:30
