trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-12-30,SMD-0053,CIPLA,NSE:CIPLA-EQ,126.3,127.0,124.04,124.58,977857,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2004-12-31,SMD-0053,CIPLA,NSE:CIPLA-EQ,125.4,127.76,125.2,127.12,717504,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,128.0,128.68,126.48,127.62,862103,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,128.4,128.4,126.32,127.16,983105,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-05,SMD-0053,CIPLA,NSE:CIPLA-EQ,126.92,127.0,114.0,120.3,1244829,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-06,SMD-0053,CIPLA,NSE:CIPLA-EQ,120.8,121.08,115.62,117.06,1299361,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-07,SMD-0053,CIPLA,NSE:CIPLA-EQ,117.2,118.36,115.64,116.7,927534,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-10,SMD-0053,CIPLA,NSE:CIPLA-EQ,116.8,119.16,111.6,112.76,1325949,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-11,SMD-0053,CIPLA,NSE:CIPLA-EQ,112.8,113.6,106.2,107.26,1699809,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-12,SMD-0053,CIPLA,NSE:CIPLA-EQ,108.02,109.08,98.0,101.12,2556180,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-13,SMD-0053,CIPLA,NSE:CIPLA-EQ,102.56,107.16,101.2,105.76,3066436,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-14,SMD-0053,CIPLA,NSE:CIPLA-EQ,104.8,108.66,104.8,106.42,2184535,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,107.0,107.92,101.46,105.02,1073412,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-18,SMD-0053,CIPLA,NSE:CIPLA-EQ,106.2,108.8,103.62,104.44,1524480,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-19,SMD-0053,CIPLA,NSE:CIPLA-EQ,106.5,108.78,105.62,106.56,1673836,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-20,SMD-0053,CIPLA,NSE:CIPLA-EQ,107.2,109.2,105.2,108.56,1051774,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-24,SMD-0053,CIPLA,NSE:CIPLA-EQ,109.0,110.8,108.58,110.12,892155,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-25,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.4,110.8,106.4,109.3,712854,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-27,SMD-0053,CIPLA,NSE:CIPLA-EQ,109.8,110.18,106.54,107.14,1351018,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-28,SMD-0053,CIPLA,NSE:CIPLA-EQ,125.92,125.92,107.2,109.82,981053,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-01-31,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.8,115.56,110.42,114.62,1706842,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-01,SMD-0053,CIPLA,NSE:CIPLA-EQ,118.96,118.96,112.06,112.92,843208,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,111.2,114.76,111.2,113.9,538482,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,114.4,114.96,111.28,114.38,390451,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,114.04,115.52,113.2,113.94,297671,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-07,SMD-0053,CIPLA,NSE:CIPLA-EQ,114.8,114.8,111.0,111.48,399289,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-08,SMD-0053,CIPLA,NSE:CIPLA-EQ,111.2,112.16,108.8,109.4,663197,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.38,110.64,109.24,109.64,609497,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-10,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.0,111.56,110.0,110.38,334766,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-11,SMD-0053,CIPLA,NSE:CIPLA-EQ,111.2,111.2,109.72,110.56,343329,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-14,SMD-0053,CIPLA,NSE:CIPLA-EQ,111.2,111.6,110.44,110.68,309220,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-15,SMD-0053,CIPLA,NSE:CIPLA-EQ,111.0,111.0,109.2,109.76,270491,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,108.8,110.98,108.8,109.82,370099,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,109.8,109.98,108.8,109.78,326316,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-18,SMD-0053,CIPLA,NSE:CIPLA-EQ,115.2,115.2,108.18,108.76,587000,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-21,SMD-0053,CIPLA,NSE:CIPLA-EQ,108.82,108.82,105.76,106.22,636408,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-22,SMD-0053,CIPLA,NSE:CIPLA-EQ,106.8,107.9,105.28,107.16,454617,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-23,SMD-0053,CIPLA,NSE:CIPLA-EQ,107.2,107.38,105.72,106.02,202498,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-24,SMD-0053,CIPLA,NSE:CIPLA-EQ,106.8,107.5,102.84,103.28,1152370,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-25,SMD-0053,CIPLA,NSE:CIPLA-EQ,104.4,105.0,103.04,103.48,602008,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-02-28,SMD-0053,CIPLA,NSE:CIPLA-EQ,104.0,105.2,103.3,104.24,424967,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-01,SMD-0053,CIPLA,NSE:CIPLA-EQ,105.2,105.58,103.56,103.82,342827,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,104.0,104.76,103.0,103.24,252794,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,103.92,107.98,103.4,107.3,950950,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,108.36,109.16,107.4,108.08,755939,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-07,SMD-0053,CIPLA,NSE:CIPLA-EQ,108.8,109.52,106.2,106.68,286768,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-08,SMD-0053,CIPLA,NSE:CIPLA-EQ,107.2,110.7,106.6,108.98,494972,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.0,120.0,107.24,118.18,4360704,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-10,SMD-0053,CIPLA,NSE:CIPLA-EQ,120.0,120.0,113.32,113.92,1729493,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-11,SMD-0053,CIPLA,NSE:CIPLA-EQ,114.28,115.6,111.62,112.12,626399,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-14,SMD-0053,CIPLA,NSE:CIPLA-EQ,112.12,112.8,109.62,110.08,488614,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-15,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.4,114.58,109.68,113.4,1293308,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,114.0,115.82,112.44,113.32,966737,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,112.8,115.2,112.04,112.84,560642,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-18,SMD-0053,CIPLA,NSE:CIPLA-EQ,112.0,113.18,109.6,110.62,672005,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-21,SMD-0053,CIPLA,NSE:CIPLA-EQ,110.4,112.68,109.22,109.7,559613,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-22,SMD-0053,CIPLA,NSE:CIPLA-EQ,109.56,110.6,104.9,105.56,703382,FYERS_HISTORY,2026-08-08T23:07:26+05:30
2005-03-23,SMD-0053,CIPLA,NSE:CIPLA-EQ,105.6,108.36,103.2,104.14,725711,FYERS_HISTORY,2026-08-08T23:07:26+05:30
