trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0053,CIPLA,NSE:CIPLA-EQ,184.0,184.95,180.35,184.0,1316322,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2008-12-30,SMD-0053,CIPLA,NSE:CIPLA-EQ,182.5,185.85,181.0,183.9,1010826,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2008-12-31,SMD-0053,CIPLA,NSE:CIPLA-EQ,184.1,188.1,182.5,186.6,431718,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-01,SMD-0053,CIPLA,NSE:CIPLA-EQ,187.0,194.8,180.1,192.95,646225,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,194.0,196.1,190.5,191.6,699934,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-05,SMD-0053,CIPLA,NSE:CIPLA-EQ,194.8,195.7,187.15,190.95,769893,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-06,SMD-0053,CIPLA,NSE:CIPLA-EQ,191.0,195.95,189.1,192.95,1454055,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-07,SMD-0053,CIPLA,NSE:CIPLA-EQ,194.0,195.95,181.1,185.9,1050320,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,182.5,191.45,182.5,188.85,2172087,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-12,SMD-0053,CIPLA,NSE:CIPLA-EQ,185.05,189.9,183.0,187.1,1451209,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-13,SMD-0053,CIPLA,NSE:CIPLA-EQ,185.0,189.65,184.0,185.35,901712,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-14,SMD-0053,CIPLA,NSE:CIPLA-EQ,185.0,189.5,184.1,187.95,854608,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-15,SMD-0053,CIPLA,NSE:CIPLA-EQ,187.5,187.5,180.55,181.95,1173467,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,183.0,184.85,180.5,183.2,354218,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-19,SMD-0053,CIPLA,NSE:CIPLA-EQ,184.0,185.0,179.1,180.25,497987,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-20,SMD-0053,CIPLA,NSE:CIPLA-EQ,180.0,180.0,175.6,177.65,502791,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-21,SMD-0053,CIPLA,NSE:CIPLA-EQ,177.0,181.5,175.15,180.05,571151,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-22,SMD-0053,CIPLA,NSE:CIPLA-EQ,179.0,182.0,171.35,172.85,1178646,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-23,SMD-0053,CIPLA,NSE:CIPLA-EQ,174.0,191.65,174.0,186.05,3318641,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-27,SMD-0053,CIPLA,NSE:CIPLA-EQ,190.0,192.5,188.0,191.1,2256952,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-28,SMD-0053,CIPLA,NSE:CIPLA-EQ,191.0,195.0,190.05,194.2,734560,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-29,SMD-0053,CIPLA,NSE:CIPLA-EQ,194.0,196.5,190.0,191.0,1056632,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-01-30,SMD-0053,CIPLA,NSE:CIPLA-EQ,190.7,196.7,188.6,191.95,1444472,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,192.0,194.0,189.0,192.05,2245568,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,192.05,196.0,191.2,192.4,784180,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,192.0,196.5,190.5,195.05,1683362,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-05,SMD-0053,CIPLA,NSE:CIPLA-EQ,195.25,196.4,192.6,194.0,4309535,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-06,SMD-0053,CIPLA,NSE:CIPLA-EQ,194.5,194.9,190.4,191.2,1339529,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,191.75,193.5,188.65,192.35,1021311,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-10,SMD-0053,CIPLA,NSE:CIPLA-EQ,192.5,195.85,191.0,194.7,1379506,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-11,SMD-0053,CIPLA,NSE:CIPLA-EQ,194.0,195.0,191.45,192.35,1976588,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-12,SMD-0053,CIPLA,NSE:CIPLA-EQ,193.0,193.1,190.0,191.0,247387,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-13,SMD-0053,CIPLA,NSE:CIPLA-EQ,191.0,193.9,190.35,191.75,943004,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,191.8,191.9,188.3,189.95,953703,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,189.0,190.55,186.35,189.55,1346506,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-18,SMD-0053,CIPLA,NSE:CIPLA-EQ,189.55,193.4,189.25,192.35,1053146,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-19,SMD-0053,CIPLA,NSE:CIPLA-EQ,193.0,194.45,190.8,192.0,515175,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-20,SMD-0053,CIPLA,NSE:CIPLA-EQ,192.0,192.4,187.0,188.35,375266,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-24,SMD-0053,CIPLA,NSE:CIPLA-EQ,188.0,188.0,185.15,186.0,540971,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-25,SMD-0053,CIPLA,NSE:CIPLA-EQ,186.5,188.3,185.5,187.0,780987,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-26,SMD-0053,CIPLA,NSE:CIPLA-EQ,186.0,194.9,185.75,192.55,895205,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-02-27,SMD-0053,CIPLA,NSE:CIPLA-EQ,193.05,195.5,187.8,191.5,768972,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,188.0,193.5,186.5,191.0,955447,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-03,SMD-0053,CIPLA,NSE:CIPLA-EQ,190.25,195.0,190.0,192.5,540074,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-04,SMD-0053,CIPLA,NSE:CIPLA-EQ,192.25,204.45,191.15,202.55,1370181,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-05,SMD-0053,CIPLA,NSE:CIPLA-EQ,203.0,206.4,199.0,201.6,2248902,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-06,SMD-0053,CIPLA,NSE:CIPLA-EQ,201.0,205.0,198.1,203.65,838999,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,202.5,204.3,200.0,202.3,603619,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-12,SMD-0053,CIPLA,NSE:CIPLA-EQ,202.5,205.9,199.6,203.75,910369,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-13,SMD-0053,CIPLA,NSE:CIPLA-EQ,204.0,209.75,200.0,202.95,2269315,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,203.0,205.0,200.55,201.7,837398,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,202.0,203.5,199.25,200.6,758151,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-18,SMD-0053,CIPLA,NSE:CIPLA-EQ,201.0,204.45,198.2,199.7,525076,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-19,SMD-0053,CIPLA,NSE:CIPLA-EQ,200.1,200.1,194.8,197.0,727592,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-20,SMD-0053,CIPLA,NSE:CIPLA-EQ,197.0,200.0,195.15,197.65,978149,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-23,SMD-0053,CIPLA,NSE:CIPLA-EQ,198.0,203.75,198.0,201.7,1113473,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-24,SMD-0053,CIPLA,NSE:CIPLA-EQ,201.0,205.0,200.1,203.3,1081170,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-25,SMD-0053,CIPLA,NSE:CIPLA-EQ,203.0,206.9,201.25,203.55,1248608,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-26,SMD-0053,CIPLA,NSE:CIPLA-EQ,203.6,210.0,203.0,208.5,1717463,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-27,SMD-0053,CIPLA,NSE:CIPLA-EQ,209.75,222.0,208.6,219.4,2225416,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-30,SMD-0053,CIPLA,NSE:CIPLA-EQ,214.05,223.9,213.65,217.4,1277724,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-03-31,SMD-0053,CIPLA,NSE:CIPLA-EQ,220.0,223.0,217.05,220.05,1434356,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-01,SMD-0053,CIPLA,NSE:CIPLA-EQ,218.5,220.1,215.05,218.85,1075019,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-02,SMD-0053,CIPLA,NSE:CIPLA-EQ,219.5,227.0,219.5,225.2,1470398,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-06,SMD-0053,CIPLA,NSE:CIPLA-EQ,226.0,229.8,219.0,221.3,1677195,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-08,SMD-0053,CIPLA,NSE:CIPLA-EQ,217.0,235.9,216.0,232.35,1587646,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-09,SMD-0053,CIPLA,NSE:CIPLA-EQ,233.5,235.75,225.1,227.2,694672,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-13,SMD-0053,CIPLA,NSE:CIPLA-EQ,229.5,234.4,225.45,227.1,589340,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-15,SMD-0053,CIPLA,NSE:CIPLA-EQ,227.7,244.05,223.1,241.0,2092339,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-16,SMD-0053,CIPLA,NSE:CIPLA-EQ,240.0,240.9,233.05,239.15,1197826,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-17,SMD-0053,CIPLA,NSE:CIPLA-EQ,239.0,240.0,226.0,230.0,1811240,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-20,SMD-0053,CIPLA,NSE:CIPLA-EQ,226.9,226.9,211.0,222.7,4528410,FYERS_HISTORY,2026-08-08T23:07:28+05:30
2009-04-21,SMD-0053,CIPLA,NSE:CIPLA-EQ,221.0,244.8,215.05,233.3,3785852,FYERS_HISTORY,2026-08-08T23:07:28+05:30
