trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,274.5,277.75,274.0,275.52,250186,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2017-12-28,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.5,277.95,274.5,276.0,293062,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2017-12-29,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,277.5,277.98,274.05,276.05,290860,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-01,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.5,279.98,275.55,276.1,247916,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-02,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,277.5,278.2,271.68,272.5,225714,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-03,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,273.25,275.2,271.35,271.65,537860,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-04,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,273.48,274.48,271.5,272.5,282812,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-05,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,273.5,274.2,272.0,272.27,234256,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-08,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,274.13,274.5,268.05,269.6,444140,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-09,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,270.02,272.0,266.25,266.77,707110,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-10,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,268.45,271.45,266.3,266.98,475096,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-11,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,270.0,285.0,269.0,278.93,2439832,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-12,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,281.33,284.9,276.6,278.08,1201272,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-15,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,279.0,280.0,276.0,278.45,466838,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-16,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,280.5,285.0,274.18,276.02,860262,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-17,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.7,277.65,270.05,274.93,281480,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-18,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.0,279.9,269.45,270.45,535426,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-19,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,271.93,280.73,270.23,279.7,664878,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-22,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,279.7,280.77,273.58,275.88,265764,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-23,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,277.95,279.25,274.75,275.3,343762,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-24,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.95,277.0,272.55,275.85,248740,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-25,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.0,277.35,273.0,274.83,217270,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-29,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,276.0,276.75,269.08,269.68,398512,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-30,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,270.5,274.5,267.0,267.65,628456,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-01-31,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,268.1,273.25,266.0,268.85,438040,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-01,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,269.45,271.48,265.43,267.95,242334,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-02,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,265.75,267.35,255.5,260.1,538556,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-05,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,257.0,264.73,252.53,261.23,403032,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-06,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,252.5,263.9,250.0,259.23,511512,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-07,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,264.9,267.45,262.52,264.08,383882,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-08,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,266.9,269.85,264.5,265.2,366196,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-09,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,264.0,268.0,260.5,265.75,298780,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-12,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,266.25,269.75,264.5,268.2,437228,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-14,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,265.55,269.75,265.55,267.38,227934,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-15,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,269.8,272.35,266.6,268.43,391612,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-16,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,268.75,270.3,263.48,265.27,216198,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-19,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,265.9,265.9,261.33,262.27,206310,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-20,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,262.5,266.0,261.83,263.18,175866,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-21,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,264.18,264.45,261.05,263.48,92074,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-22,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,262.35,263.7,260.5,261.73,132638,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-23,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,262.0,265.23,261.05,264.02,676842,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-26,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,263.0,267.08,263.0,266.33,148326,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-27,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,267.15,269.5,265.27,267.63,284296,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-02-28,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,266.25,267.83,263.95,266.25,193090,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-01,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,266.0,268.95,265.35,267.6,118320,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-05,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,266.5,266.7,263.08,264.02,213334,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-06,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,267.5,268.48,261.5,262.9,234792,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-07,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,261.0,262.4,255.0,255.53,240664,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-08,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,257.9,258.8,253.0,256.95,197520,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-09,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,262.5,264.75,257.52,258.1,389518,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-12,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,259.7,260.27,255.53,257.45,185938,FYERS_HISTORY,2026-08-08T23:08:08+05:30
2018-03-13,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,257.02,258.75,255.5,256.27,213634,FYERS_HISTORY,2026-08-08T23:08:08+05:30
