trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,190.1,191.58,188.15,188.58,82980,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2018-12-28,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,188.75,190.25,188.55,189.0,55946,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2018-12-31,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,189.0,189.13,186.55,187.03,157122,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-01,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,187.03,188.25,186.1,186.35,102826,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-02,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,186.25,186.55,185.0,185.33,118436,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-03,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,185.33,186.38,184.08,184.25,73010,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-04,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,184.25,185.05,183.35,184.5,56364,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-07,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,185.75,187.55,182.5,182.78,112928,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-08,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,183.5,183.68,181.0,182.3,104688,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-09,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,182.68,187.55,182.0,184.18,161008,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-10,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,185.9,189.5,183.33,184.2,678424,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-11,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,184.2,188.5,183.33,187.85,353594,FYERS_HISTORY,2026-08-08T23:08:09+05:30
2019-01-14,SMD-0055,COCHINSHIP,NSE:COCHINSHIP-EQ,187.5,188.28,184.3,185.25,93612,FYERS_HISTORY,2026-08-08T23:08:09+05:30
