trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0056,COFORGE,NSE:COFORGE-EQ,534.0,543.0,532.63,538.18,2174530,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2020-12-29,SMD-0056,COFORGE,NSE:COFORGE-EQ,538.13,545.98,533.57,536.1,1667085,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2020-12-30,SMD-0056,COFORGE,NSE:COFORGE-EQ,537.4,541.6,531.41,538.92,1200675,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2020-12-31,SMD-0056,COFORGE,NSE:COFORGE-EQ,539.2,542.95,533.0,541.03,877145,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-01,SMD-0056,COFORGE,NSE:COFORGE-EQ,540.65,549.6,537.17,544.45,1083785,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-04,SMD-0056,COFORGE,NSE:COFORGE-EQ,550.18,573.45,544.0,567.71,2616110,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-05,SMD-0056,COFORGE,NSE:COFORGE-EQ,568.0,581.2,562.22,576.51,3163585,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-06,SMD-0056,COFORGE,NSE:COFORGE-EQ,577.0,581.91,552.2,560.31,2184965,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-07,SMD-0056,COFORGE,NSE:COFORGE-EQ,566.0,570.0,546.0,548.16,1769530,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-08,SMD-0056,COFORGE,NSE:COFORGE-EQ,555.3,565.0,549.0,560.84,2492750,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-11,SMD-0056,COFORGE,NSE:COFORGE-EQ,564.04,569.6,553.29,563.41,2476365,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-12,SMD-0056,COFORGE,NSE:COFORGE-EQ,562.48,566.3,550.35,554.47,1113280,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-13,SMD-0056,COFORGE,NSE:COFORGE-EQ,555.8,559.5,533.31,546.04,1721815,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-14,SMD-0056,COFORGE,NSE:COFORGE-EQ,548.48,550.62,534.33,546.8,1852410,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-15,SMD-0056,COFORGE,NSE:COFORGE-EQ,550.69,552.56,522.0,527.56,1879525,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-18,SMD-0056,COFORGE,NSE:COFORGE-EQ,529.6,531.0,498.35,501.97,2049960,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-19,SMD-0056,COFORGE,NSE:COFORGE-EQ,507.58,510.6,495.0,503.4,2128000,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-20,SMD-0056,COFORGE,NSE:COFORGE-EQ,506.0,529.47,505.2,524.03,2870790,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-21,SMD-0056,COFORGE,NSE:COFORGE-EQ,527.6,551.84,507.04,510.93,1896310,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-22,SMD-0056,COFORGE,NSE:COFORGE-EQ,514.45,517.56,496.58,498.2,1623355,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-25,SMD-0056,COFORGE,NSE:COFORGE-EQ,499.2,502.26,474.37,479.53,1701740,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-27,SMD-0056,COFORGE,NSE:COFORGE-EQ,481.58,497.0,474.27,489.61,2400100,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-28,SMD-0056,COFORGE,NSE:COFORGE-EQ,481.9,485.59,473.4,484.02,1465465,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-01-29,SMD-0056,COFORGE,NSE:COFORGE-EQ,484.02,495.36,470.6,478.56,3280875,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-01,SMD-0056,COFORGE,NSE:COFORGE-EQ,476.2,488.46,465.01,484.76,1204130,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-02,SMD-0056,COFORGE,NSE:COFORGE-EQ,489.98,499.6,476.81,490.61,2258420,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-03,SMD-0056,COFORGE,NSE:COFORGE-EQ,494.0,510.4,485.72,504.65,2286195,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-04,SMD-0056,COFORGE,NSE:COFORGE-EQ,507.8,512.34,501.71,509.66,1436705,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-05,SMD-0056,COFORGE,NSE:COFORGE-EQ,513.0,514.51,487.05,499.72,2875395,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-08,SMD-0056,COFORGE,NSE:COFORGE-EQ,504.0,528.09,496.08,520.93,2435845,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-09,SMD-0056,COFORGE,NSE:COFORGE-EQ,524.4,528.78,505.4,508.73,1775915,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-10,SMD-0056,COFORGE,NSE:COFORGE-EQ,511.0,524.0,504.03,521.13,1704220,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-11,SMD-0056,COFORGE,NSE:COFORGE-EQ,520.0,531.8,514.87,528.12,1126695,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-12,SMD-0056,COFORGE,NSE:COFORGE-EQ,531.6,539.98,520.0,522.36,1906755,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-15,SMD-0056,COFORGE,NSE:COFORGE-EQ,525.8,530.0,516.32,519.02,578030,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-16,SMD-0056,COFORGE,NSE:COFORGE-EQ,520.2,530.6,516.21,524.41,1707070,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-17,SMD-0056,COFORGE,NSE:COFORGE-EQ,520.0,523.2,508.0,517.36,1018020,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-18,SMD-0056,COFORGE,NSE:COFORGE-EQ,519.98,533.22,514.73,523.16,1696540,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-19,SMD-0056,COFORGE,NSE:COFORGE-EQ,523.18,528.98,508.82,514.05,1046295,FYERS_HISTORY,2026-08-08T23:08:23+05:30
2021-02-22,SMD-0056,COFORGE,NSE:COFORGE-EQ,514.2,517.31,490.14,494.2,757980,FYERS_HISTORY,2026-08-08T23:08:23+05:30
