trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0056,COFORGE,NSE:COFORGE-EQ,749.8,759.72,740.46,754.13,506765,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2022-12-27,SMD-0056,COFORGE,NSE:COFORGE-EQ,757.0,776.0,756.8,774.87,977185,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2022-12-28,SMD-0056,COFORGE,NSE:COFORGE-EQ,765.1,786.0,763.4,782.9,951735,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2022-12-29,SMD-0056,COFORGE,NSE:COFORGE-EQ,774.0,788.4,772.21,783.07,1608930,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2022-12-30,SMD-0056,COFORGE,NSE:COFORGE-EQ,794.0,813.0,760.32,776.82,2692020,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-02,SMD-0056,COFORGE,NSE:COFORGE-EQ,780.71,820.0,762.2,790.24,1710480,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-03,SMD-0056,COFORGE,NSE:COFORGE-EQ,791.8,806.4,785.25,803.91,1597525,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-04,SMD-0056,COFORGE,NSE:COFORGE-EQ,801.81,803.0,787.17,789.85,652480,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-05,SMD-0056,COFORGE,NSE:COFORGE-EQ,791.6,794.58,781.45,785.89,478035,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-06,SMD-0056,COFORGE,NSE:COFORGE-EQ,787.96,789.8,776.01,780.2,818915,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-09,SMD-0056,COFORGE,NSE:COFORGE-EQ,788.0,807.9,788.0,803.47,1023335,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-10,SMD-0056,COFORGE,NSE:COFORGE-EQ,800.0,804.0,791.32,794.88,936885,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-11,SMD-0056,COFORGE,NSE:COFORGE-EQ,798.19,811.8,782.28,787.22,1999240,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-12,SMD-0056,COFORGE,NSE:COFORGE-EQ,792.0,795.29,770.21,780.84,1040360,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-13,SMD-0056,COFORGE,NSE:COFORGE-EQ,785.4,785.4,758.1,776.89,1759165,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-16,SMD-0056,COFORGE,NSE:COFORGE-EQ,780.0,790.0,771.32,779.7,1262625,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-17,SMD-0056,COFORGE,NSE:COFORGE-EQ,779.7,787.39,776.04,783.6,697925,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-18,SMD-0056,COFORGE,NSE:COFORGE-EQ,784.4,789.6,782.2,785.16,407225,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-19,SMD-0056,COFORGE,NSE:COFORGE-EQ,780.0,798.8,775.6,793.31,993520,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-20,SMD-0056,COFORGE,NSE:COFORGE-EQ,808.2,850.0,808.2,820.4,9934110,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-23,SMD-0056,COFORGE,NSE:COFORGE-EQ,825.2,883.4,813.64,871.78,7309560,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-24,SMD-0056,COFORGE,NSE:COFORGE-EQ,871.78,892.0,860.4,864.8,5847690,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-25,SMD-0056,COFORGE,NSE:COFORGE-EQ,867.0,872.4,850.0,854.54,2606415,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-27,SMD-0056,COFORGE,NSE:COFORGE-EQ,860.97,874.24,850.0,858.82,3724065,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-30,SMD-0056,COFORGE,NSE:COFORGE-EQ,862.0,890.89,853.24,883.73,2892290,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-01-31,SMD-0056,COFORGE,NSE:COFORGE-EQ,885.0,885.0,851.44,875.78,1729260,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-01,SMD-0056,COFORGE,NSE:COFORGE-EQ,880.0,885.94,864.01,870.55,812250,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-02,SMD-0056,COFORGE,NSE:COFORGE-EQ,878.0,902.4,870.46,886.78,3172095,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-03,SMD-0056,COFORGE,NSE:COFORGE-EQ,890.0,897.45,858.44,861.72,2244295,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-06,SMD-0056,COFORGE,NSE:COFORGE-EQ,863.2,868.59,852.0,863.56,876845,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-07,SMD-0056,COFORGE,NSE:COFORGE-EQ,861.8,875.83,858.6,860.52,743805,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-08,SMD-0056,COFORGE,NSE:COFORGE-EQ,868.82,894.8,862.4,865.89,3700720,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-09,SMD-0056,COFORGE,NSE:COFORGE-EQ,865.8,872.0,855.0,868.1,1645050,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-10,SMD-0056,COFORGE,NSE:COFORGE-EQ,866.01,874.0,860.0,866.86,1126240,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-13,SMD-0056,COFORGE,NSE:COFORGE-EQ,810.0,824.95,800.06,806.45,41334880,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-14,SMD-0056,COFORGE,NSE:COFORGE-EQ,803.4,819.0,802.0,815.98,2318580,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-15,SMD-0056,COFORGE,NSE:COFORGE-EQ,816.0,824.99,813.0,823.0,1872570,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-16,SMD-0056,COFORGE,NSE:COFORGE-EQ,830.98,848.59,825.5,845.86,4202805,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-17,SMD-0056,COFORGE,NSE:COFORGE-EQ,839.0,845.49,830.4,840.82,1761170,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-20,SMD-0056,COFORGE,NSE:COFORGE-EQ,840.82,872.97,835.0,867.09,2913870,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-21,SMD-0056,COFORGE,NSE:COFORGE-EQ,868.0,876.6,859.0,867.99,1853670,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-22,SMD-0056,COFORGE,NSE:COFORGE-EQ,860.0,873.8,855.78,868.51,1492050,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-23,SMD-0056,COFORGE,NSE:COFORGE-EQ,875.0,886.17,864.84,884.18,2298380,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-24,SMD-0056,COFORGE,NSE:COFORGE-EQ,886.0,888.0,871.64,875.5,1640725,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-27,SMD-0056,COFORGE,NSE:COFORGE-EQ,876.4,876.4,831.2,854.79,2323110,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-02-28,SMD-0056,COFORGE,NSE:COFORGE-EQ,854.8,867.57,852.93,859.73,1241920,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-01,SMD-0056,COFORGE,NSE:COFORGE-EQ,858.72,861.8,848.27,860.07,1543245,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-02,SMD-0056,COFORGE,NSE:COFORGE-EQ,860.0,860.02,845.11,849.94,947930,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-03,SMD-0056,COFORGE,NSE:COFORGE-EQ,858.0,859.67,848.0,851.68,1616065,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-06,SMD-0056,COFORGE,NSE:COFORGE-EQ,856.99,873.04,856.0,865.67,1089700,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-08,SMD-0056,COFORGE,NSE:COFORGE-EQ,856.0,864.0,850.21,855.92,957805,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-09,SMD-0056,COFORGE,NSE:COFORGE-EQ,859.0,859.74,848.8,851.07,678620,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-10,SMD-0056,COFORGE,NSE:COFORGE-EQ,841.8,847.97,823.59,827.27,1783110,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-13,SMD-0056,COFORGE,NSE:COFORGE-EQ,831.41,834.62,813.01,816.93,1384600,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-14,SMD-0056,COFORGE,NSE:COFORGE-EQ,820.0,820.0,769.08,784.33,4411195,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-15,SMD-0056,COFORGE,NSE:COFORGE-EQ,792.0,803.78,771.0,790.0,2359070,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-16,SMD-0056,COFORGE,NSE:COFORGE-EQ,782.82,788.92,767.21,770.41,1726900,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-17,SMD-0056,COFORGE,NSE:COFORGE-EQ,780.2,788.8,776.0,780.2,1258810,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-20,SMD-0056,COFORGE,NSE:COFORGE-EQ,771.01,778.0,750.0,754.93,1325135,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-21,SMD-0056,COFORGE,NSE:COFORGE-EQ,758.0,759.96,740.62,742.52,1235525,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-22,SMD-0056,COFORGE,NSE:COFORGE-EQ,752.0,758.82,742.79,747.73,960825,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-23,SMD-0056,COFORGE,NSE:COFORGE-EQ,743.61,752.0,731.6,749.72,1190175,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-24,SMD-0056,COFORGE,NSE:COFORGE-EQ,754.0,765.52,734.0,740.1,1351835,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-27,SMD-0056,COFORGE,NSE:COFORGE-EQ,733.2,744.6,724.59,727.15,1364705,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-28,SMD-0056,COFORGE,NSE:COFORGE-EQ,731.34,731.34,716.0,719.61,1110185,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-29,SMD-0056,COFORGE,NSE:COFORGE-EQ,716.0,734.8,712.95,732.07,1744095,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-03-31,SMD-0056,COFORGE,NSE:COFORGE-EQ,738.8,764.88,736.01,762.82,1382440,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-03,SMD-0056,COFORGE,NSE:COFORGE-EQ,770.0,775.8,754.26,770.27,846070,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-05,SMD-0056,COFORGE,NSE:COFORGE-EQ,770.2,824.0,764.22,815.84,4230245,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-06,SMD-0056,COFORGE,NSE:COFORGE-EQ,813.0,815.0,793.6,800.02,1498720,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-10,SMD-0056,COFORGE,NSE:COFORGE-EQ,807.99,814.0,798.2,812.26,971570,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-11,SMD-0056,COFORGE,NSE:COFORGE-EQ,812.26,814.27,799.0,800.97,959375,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-12,SMD-0056,COFORGE,NSE:COFORGE-EQ,804.0,815.8,799.0,813.04,821890,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-13,SMD-0056,COFORGE,NSE:COFORGE-EQ,810.0,826.0,798.4,805.74,2178410,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-17,SMD-0056,COFORGE,NSE:COFORGE-EQ,777.6,782.0,750.4,778.38,3673645,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-18,SMD-0056,COFORGE,NSE:COFORGE-EQ,783.86,811.8,770.29,805.64,2834085,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-19,SMD-0056,COFORGE,NSE:COFORGE-EQ,805.64,805.64,776.57,780.39,1909035,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-20,SMD-0056,COFORGE,NSE:COFORGE-EQ,784.0,800.6,760.05,762.69,4489060,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-21,SMD-0056,COFORGE,NSE:COFORGE-EQ,762.02,772.44,754.01,766.15,2054405,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-24,SMD-0056,COFORGE,NSE:COFORGE-EQ,769.0,781.59,756.0,778.32,1440115,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-25,SMD-0056,COFORGE,NSE:COFORGE-EQ,780.14,790.4,768.0,785.99,1938500,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-26,SMD-0056,COFORGE,NSE:COFORGE-EQ,786.6,799.6,777.04,788.74,2078380,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-27,SMD-0056,COFORGE,NSE:COFORGE-EQ,785.2,814.88,785.2,810.26,3500850,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-04-28,SMD-0056,COFORGE,NSE:COFORGE-EQ,817.8,844.0,816.01,836.9,3246775,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-05-02,SMD-0056,COFORGE,NSE:COFORGE-EQ,837.78,841.27,817.98,826.13,5793040,FYERS_HISTORY,2026-08-08T23:08:24+05:30
2023-05-03,SMD-0056,COFORGE,NSE:COFORGE-EQ,819.0,828.39,811.18,819.85,2210350,FYERS_HISTORY,2026-08-08T23:08:24+05:30
