trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0057,COLPAL,NSE:COLPAL-EQ,82.5,83.8,81.0,83.25,36041,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-01,SMD-0057,COLPAL,NSE:COLPAL-EQ,82.8,83.8,82.15,83.45,22585,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-02,SMD-0057,COLPAL,NSE:COLPAL-EQ,82.75,83.6,82.13,83.35,23033,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-03,SMD-0057,COLPAL,NSE:COLPAL-EQ,83.4,83.45,82.33,82.85,15887,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-04,SMD-0057,COLPAL,NSE:COLPAL-EQ,82.5,84.38,82.13,83.88,31971,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-07,SMD-0057,COLPAL,NSE:COLPAL-EQ,83.93,84.5,83.0,84.4,22876,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-08,SMD-0057,COLPAL,NSE:COLPAL-EQ,84.0,84.75,83.03,84.0,12796,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-09,SMD-0057,COLPAL,NSE:COLPAL-EQ,85.25,85.25,83.0,83.93,17265,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-10,SMD-0057,COLPAL,NSE:COLPAL-EQ,83.28,84.45,81.25,81.75,10677,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-11,SMD-0057,COLPAL,NSE:COLPAL-EQ,82.95,82.95,80.5,80.75,17158,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-14,SMD-0057,COLPAL,NSE:COLPAL-EQ,81.25,82.2,80.6,80.68,14463,FYERS_HISTORY,2026-08-08T23:08:27+05:30
2002-01-15,SMD-0057,COLPAL,NSE:COLPAL-EQ,80.63,81.5,79.28,79.65,27720,FYERS_HISTORY,2026-08-08T23:08:27+05:30
