trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0058,CONCOR,NSE:CONCOR-EQ,182.27,184.31,179.23,179.9,16479,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2013-12-31,SMD-0058,CONCOR,NSE:CONCOR-EQ,178.57,191.23,178.57,186.87,21174,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-01,SMD-0058,CONCOR,NSE:CONCOR-EQ,188.92,189.18,183.36,185.34,4530,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-02,SMD-0058,CONCOR,NSE:CONCOR-EQ,184.33,187.3,183.83,186.28,23970,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-03,SMD-0058,CONCOR,NSE:CONCOR-EQ,187.89,192.26,182.39,189.21,3260,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-06,SMD-0058,CONCOR,NSE:CONCOR-EQ,185.16,193.27,185.16,189.29,8930,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-07,SMD-0058,CONCOR,NSE:CONCOR-EQ,187.42,190.71,187.42,188.94,9726,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-08,SMD-0058,CONCOR,NSE:CONCOR-EQ,189.43,197.38,187.2,193.31,90299,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-09,SMD-0058,CONCOR,NSE:CONCOR-EQ,193.36,197.09,190.72,192.56,27364,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-10,SMD-0058,CONCOR,NSE:CONCOR-EQ,193.27,196.61,187.66,190.54,27299,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-13,SMD-0058,CONCOR,NSE:CONCOR-EQ,192.74,194.3,184.73,190.95,9231,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-14,SMD-0058,CONCOR,NSE:CONCOR-EQ,191.95,192.77,188.42,188.92,1820,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-15,SMD-0058,CONCOR,NSE:CONCOR-EQ,188.17,192.0,185.91,187.3,6791,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-16,SMD-0058,CONCOR,NSE:CONCOR-EQ,191.49,191.49,186.89,188.47,4076,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-17,SMD-0058,CONCOR,NSE:CONCOR-EQ,186.92,188.93,182.02,183.72,3768,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-20,SMD-0058,CONCOR,NSE:CONCOR-EQ,183.05,187.89,181.89,185.77,3436,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-21,SMD-0058,CONCOR,NSE:CONCOR-EQ,186.37,188.15,184.56,186.93,15244,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-22,SMD-0058,CONCOR,NSE:CONCOR-EQ,187.19,187.65,184.61,185.05,2054,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-23,SMD-0058,CONCOR,NSE:CONCOR-EQ,185.22,188.42,184.69,187.39,7899,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-24,SMD-0058,CONCOR,NSE:CONCOR-EQ,186.48,187.9,185.6,187.23,2885,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-27,SMD-0058,CONCOR,NSE:CONCOR-EQ,184.97,187.9,183.44,187.4,7135,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-28,SMD-0058,CONCOR,NSE:CONCOR-EQ,187.4,188.16,185.98,187.24,1236,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-29,SMD-0058,CONCOR,NSE:CONCOR-EQ,184.32,188.16,184.32,187.72,28648,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-30,SMD-0058,CONCOR,NSE:CONCOR-EQ,185.5,187.9,185.09,186.62,3530,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-01-31,SMD-0058,CONCOR,NSE:CONCOR-EQ,189.44,189.44,185.75,188.1,3214,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-03,SMD-0058,CONCOR,NSE:CONCOR-EQ,191.97,191.97,185.6,186.01,1894,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-04,SMD-0058,CONCOR,NSE:CONCOR-EQ,186.01,186.87,183.09,186.32,9144,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-05,SMD-0058,CONCOR,NSE:CONCOR-EQ,187.65,189.44,185.36,185.75,3983,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-06,SMD-0058,CONCOR,NSE:CONCOR-EQ,185.87,187.9,184.32,185.66,1704,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-07,SMD-0058,CONCOR,NSE:CONCOR-EQ,191.23,191.23,185.14,186.21,1029,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-10,SMD-0058,CONCOR,NSE:CONCOR-EQ,186.88,188.16,185.72,186.37,805,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-11,SMD-0058,CONCOR,NSE:CONCOR-EQ,189.44,189.44,183.22,185.14,1114,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-12,SMD-0058,CONCOR,NSE:CONCOR-EQ,187.88,188.67,183.1,183.72,6385,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-13,SMD-0058,CONCOR,NSE:CONCOR-EQ,183.59,186.37,180.81,181.53,1648,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-14,SMD-0058,CONCOR,NSE:CONCOR-EQ,181.95,187.14,181.76,183.45,1749,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-17,SMD-0058,CONCOR,NSE:CONCOR-EQ,180.62,185.34,180.62,183.99,1645,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-18,SMD-0058,CONCOR,NSE:CONCOR-EQ,184.32,187.9,183.31,184.24,1304,FYERS_HISTORY,2026-08-08T23:08:45+05:30
2014-02-19,SMD-0058,CONCOR,NSE:CONCOR-EQ,182.4,186.85,182.4,185.55,908,FYERS_HISTORY,2026-08-08T23:08:45+05:30
