trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0058,CONCOR,NSE:CONCOR-EQ,334.59,345.6,334.59,340.04,18355,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2014-12-30,SMD-0058,CONCOR,NSE:CONCOR-EQ,345.86,348.16,340.54,344.47,31774,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2014-12-31,SMD-0058,CONCOR,NSE:CONCOR-EQ,347.9,353.28,339.85,346.37,59049,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-01,SMD-0058,CONCOR,NSE:CONCOR-EQ,344.74,352.01,344.32,347.62,23454,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-02,SMD-0058,CONCOR,NSE:CONCOR-EQ,349.43,355.84,345.6,347.55,43826,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-05,SMD-0058,CONCOR,NSE:CONCOR-EQ,348.43,356.86,348.16,352.77,54314,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-06,SMD-0058,CONCOR,NSE:CONCOR-EQ,352.74,359.67,343.07,345.4,75785,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-07,SMD-0058,CONCOR,NSE:CONCOR-EQ,344.32,351.23,343.04,347.0,9619,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-08,SMD-0058,CONCOR,NSE:CONCOR-EQ,349.18,352.0,343.3,345.05,23883,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-09,SMD-0058,CONCOR,NSE:CONCOR-EQ,345.6,351.74,345.6,349.63,27431,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-12,SMD-0058,CONCOR,NSE:CONCOR-EQ,347.14,350.72,344.12,346.19,50001,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-13,SMD-0058,CONCOR,NSE:CONCOR-EQ,346.15,349.44,345.86,347.51,8904,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-14,SMD-0058,CONCOR,NSE:CONCOR-EQ,352.77,358.37,348.42,350.17,30395,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-15,SMD-0058,CONCOR,NSE:CONCOR-EQ,350.25,355.84,350.25,353.61,21255,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-16,SMD-0058,CONCOR,NSE:CONCOR-EQ,355.32,355.84,349.95,350.89,93901,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-19,SMD-0058,CONCOR,NSE:CONCOR-EQ,355.79,359.63,352.0,353.55,34063,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-20,SMD-0058,CONCOR,NSE:CONCOR-EQ,359.69,359.69,352.0,355.35,21024,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-21,SMD-0058,CONCOR,NSE:CONCOR-EQ,356.61,364.8,354.43,357.16,50364,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-22,SMD-0058,CONCOR,NSE:CONCOR-EQ,358.4,370.93,357.64,369.19,85819,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-23,SMD-0058,CONCOR,NSE:CONCOR-EQ,370.93,371.2,362.24,364.66,24320,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-27,SMD-0058,CONCOR,NSE:CONCOR-EQ,365.82,371.07,362.51,365.15,21993,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-28,SMD-0058,CONCOR,NSE:CONCOR-EQ,365.32,368.64,364.02,366.21,18941,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-29,SMD-0058,CONCOR,NSE:CONCOR-EQ,368.63,369.15,353.28,356.08,27349,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-01-30,SMD-0058,CONCOR,NSE:CONCOR-EQ,357.38,365.2,353.29,358.02,400804,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-02,SMD-0058,CONCOR,NSE:CONCOR-EQ,358.4,361.97,355.66,357.75,107014,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-03,SMD-0058,CONCOR,NSE:CONCOR-EQ,358.91,360.95,351.17,357.15,75474,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-04,SMD-0058,CONCOR,NSE:CONCOR-EQ,357.9,359.68,353.87,356.07,7906,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-05,SMD-0058,CONCOR,NSE:CONCOR-EQ,355.84,359.16,348.43,350.58,92855,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-06,SMD-0058,CONCOR,NSE:CONCOR-EQ,350.2,355.58,343.81,348.56,274501,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-09,SMD-0058,CONCOR,NSE:CONCOR-EQ,349.58,349.58,337.93,345.1,9879,FYERS_HISTORY,2026-08-08T23:08:46+05:30
2015-02-10,SMD-0058,CONCOR,NSE:CONCOR-EQ,344.32,364.29,343.32,359.1,36919,FYERS_HISTORY,2026-08-08T23:08:46+05:30
