trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,866.0,883.0,864.45,871.85,203606,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2014-12-30,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,867.0,884.7,863.1,870.6,172839,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2014-12-31,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,866.2,875.8,866.2,874.2,143529,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-01,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,868.0,881.0,865.0,871.7,27945,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-02,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,876.8,934.0,874.85,919.25,305699,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-05,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,935.0,960.65,935.0,937.9,226708,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-06,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,935.0,935.0,902.5,909.3,91777,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-07,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,910.3,919.0,886.0,900.05,73140,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-08,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,905.0,918.85,887.05,893.2,94791,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-09,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,893.0,903.0,875.0,876.95,129845,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-12,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,880.0,898.0,868.0,870.65,172364,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-13,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,870.8,892.65,870.8,878.35,222029,FYERS_HISTORY,2026-08-08T23:09:16+05:30
2015-01-14,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,877.5,894.75,875.2,879.1,74009,FYERS_HISTORY,2026-08-08T23:09:16+05:30
