trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,793.0,804.0,780.0,798.25,64331,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2016-12-28,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,800.0,814.5,797.0,812.05,141147,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2016-12-29,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,812.4,819.0,805.05,808.75,110494,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2016-12-30,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,806.25,823.0,805.7,818.75,107935,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-02,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,826.75,828.7,815.55,826.15,74747,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-03,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,825.15,857.95,825.15,842.9,196233,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-04,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,845.05,853.95,803.45,808.35,287533,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-05,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,813.9,819.25,807.1,814.85,101255,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-06,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,816.75,821.5,806.1,808.5,105312,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-09,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,809.0,813.3,794.1,805.25,162980,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-10,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,806.2,832.0,803.9,828.15,210771,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-11,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,820.55,845.0,816.45,840.6,228896,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-12,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,840.0,849.0,832.7,847.1,122813,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-13,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,849.1,854.95,832.5,852.5,149688,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-16,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,852.5,858.75,841.55,847.8,105770,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-17,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,848.75,850.45,836.0,840.0,129281,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-18,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,840.0,845.0,830.0,833.2,135626,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-19,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,832.0,838.0,826.2,832.1,101029,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-20,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,833.1,833.1,823.0,826.5,163017,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-23,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,818.3,839.9,818.3,837.8,111833,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-24,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,832.1,846.05,832.1,839.65,95255,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-25,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,843.15,851.0,832.1,838.0,242656,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-27,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,838.0,852.0,832.2,847.15,134261,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-30,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,847.15,860.0,839.7,850.25,355004,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-01-31,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,850.25,850.65,836.4,838.95,103015,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-02-01,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,840.0,853.0,825.5,850.2,149450,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-02-02,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,882.0,918.8,882.0,902.8,1914420,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-02-03,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,901.0,906.65,885.0,891.7,436550,FYERS_HISTORY,2026-08-08T23:09:17+05:30
2017-02-06,SMD-0060,CUMMINSIND,NSE:CUMMINSIND-EQ,894.0,921.0,893.95,913.95,620076,FYERS_HISTORY,2026-08-08T23:09:17+05:30
