trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0062,DABUR,NSE:DABUR-EQ,11.15,11.42,11.0,11.36,79574,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-01,SMD-0062,DABUR,NSE:DABUR-EQ,11.33,11.56,11.05,11.25,83523,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-02,SMD-0062,DABUR,NSE:DABUR-EQ,11.13,11.56,11.13,11.47,51961,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-03,SMD-0062,DABUR,NSE:DABUR-EQ,11.51,11.64,11.35,11.51,37937,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-04,SMD-0062,DABUR,NSE:DABUR-EQ,11.58,11.66,11.37,11.47,103897,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-07,SMD-0062,DABUR,NSE:DABUR-EQ,11.43,11.63,11.28,11.33,140042,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-08,SMD-0062,DABUR,NSE:DABUR-EQ,11.66,11.66,10.87,11.08,62208,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-09,SMD-0062,DABUR,NSE:DABUR-EQ,11.33,11.57,10.94,11.16,152627,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-10,SMD-0062,DABUR,NSE:DABUR-EQ,11.32,11.38,11.13,11.21,91746,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-11,SMD-0062,DABUR,NSE:DABUR-EQ,11.13,11.31,11.12,11.22,78245,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-14,SMD-0062,DABUR,NSE:DABUR-EQ,11.5,11.5,11.2,11.33,46718,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-15,SMD-0062,DABUR,NSE:DABUR-EQ,11.41,11.44,11.29,11.33,146608,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-16,SMD-0062,DABUR,NSE:DABUR-EQ,11.33,11.5,11.0,11.05,33922,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-17,SMD-0062,DABUR,NSE:DABUR-EQ,11.17,11.23,10.98,11.06,75602,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-18,SMD-0062,DABUR,NSE:DABUR-EQ,11.25,11.33,10.18,10.98,157334,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-21,SMD-0062,DABUR,NSE:DABUR-EQ,11.15,11.25,10.83,10.88,54189,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-22,SMD-0062,DABUR,NSE:DABUR-EQ,11.0,11.14,10.82,10.86,42781,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-23,SMD-0062,DABUR,NSE:DABUR-EQ,10.92,10.95,10.75,10.83,31069,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-24,SMD-0062,DABUR,NSE:DABUR-EQ,10.33,10.92,10.33,10.78,86543,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-25,SMD-0062,DABUR,NSE:DABUR-EQ,10.92,10.92,10.72,10.82,47911,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-28,SMD-0062,DABUR,NSE:DABUR-EQ,10.83,10.83,10.76,10.83,19535,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-29,SMD-0062,DABUR,NSE:DABUR-EQ,10.95,10.95,10.67,10.69,39023,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-30,SMD-0062,DABUR,NSE:DABUR-EQ,10.8,10.83,10.65,10.8,23125,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-01-31,SMD-0062,DABUR,NSE:DABUR-EQ,10.69,10.83,10.68,10.75,11012,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-01,SMD-0062,DABUR,NSE:DABUR-EQ,10.73,10.95,10.66,10.88,31010,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-04,SMD-0062,DABUR,NSE:DABUR-EQ,10.92,11.03,10.58,10.63,27665,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-05,SMD-0062,DABUR,NSE:DABUR-EQ,10.62,10.65,10.5,10.53,24584,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-06,SMD-0062,DABUR,NSE:DABUR-EQ,10.5,10.78,9.48,10.26,312957,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-07,SMD-0062,DABUR,NSE:DABUR-EQ,10.5,10.65,10.02,10.14,115896,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-08,SMD-0062,DABUR,NSE:DABUR-EQ,10.33,10.4,10.13,10.15,158437,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-11,SMD-0062,DABUR,NSE:DABUR-EQ,10.58,10.67,10.18,10.32,140576,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-12,SMD-0062,DABUR,NSE:DABUR-EQ,10.42,10.75,10.33,10.67,94115,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-13,SMD-0062,DABUR,NSE:DABUR-EQ,10.75,10.8,10.5,10.59,79653,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-14,SMD-0062,DABUR,NSE:DABUR-EQ,10.54,10.75,10.5,10.56,29672,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-15,SMD-0062,DABUR,NSE:DABUR-EQ,10.67,10.72,10.54,10.63,22971,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-18,SMD-0062,DABUR,NSE:DABUR-EQ,10.67,10.75,10.38,10.53,134194,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-19,SMD-0062,DABUR,NSE:DABUR-EQ,10.6,10.6,10.38,10.53,80653,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-20,SMD-0062,DABUR,NSE:DABUR-EQ,10.39,10.52,10.31,10.43,100762,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-21,SMD-0062,DABUR,NSE:DABUR-EQ,11.0,11.0,10.37,10.49,76593,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-22,SMD-0062,DABUR,NSE:DABUR-EQ,10.67,10.67,10.38,10.48,28492,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-25,SMD-0062,DABUR,NSE:DABUR-EQ,10.63,10.63,10.37,10.41,84652,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-26,SMD-0062,DABUR,NSE:DABUR-EQ,10.43,10.57,10.42,10.51,81631,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-27,SMD-0062,DABUR,NSE:DABUR-EQ,10.5,10.67,10.33,10.43,110051,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-02-28,SMD-0062,DABUR,NSE:DABUR-EQ,10.49,10.57,9.83,10.01,129936,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-01,SMD-0062,DABUR,NSE:DABUR-EQ,10.02,10.24,9.98,10.02,71300,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-04,SMD-0062,DABUR,NSE:DABUR-EQ,10.82,10.82,10.33,10.48,63511,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-05,SMD-0062,DABUR,NSE:DABUR-EQ,11.04,11.5,10.55,10.6,268949,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-06,SMD-0062,DABUR,NSE:DABUR-EQ,10.75,10.82,10.54,10.63,171735,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-07,SMD-0062,DABUR,NSE:DABUR-EQ,10.46,10.62,10.07,10.24,307658,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-08,SMD-0062,DABUR,NSE:DABUR-EQ,10.33,10.33,9.96,10.01,303653,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-11,SMD-0062,DABUR,NSE:DABUR-EQ,10.03,10.16,9.93,9.99,178121,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-12,SMD-0062,DABUR,NSE:DABUR-EQ,9.84,10.0,9.83,9.89,26611,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-13,SMD-0062,DABUR,NSE:DABUR-EQ,9.86,10.1,9.86,10.05,274146,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-14,SMD-0062,DABUR,NSE:DABUR-EQ,10.08,10.14,9.75,9.79,119533,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-15,SMD-0062,DABUR,NSE:DABUR-EQ,9.99,9.99,9.59,9.68,120258,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-18,SMD-0062,DABUR,NSE:DABUR-EQ,9.98,10.0,9.78,9.82,123590,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-19,SMD-0062,DABUR,NSE:DABUR-EQ,9.92,9.95,9.52,9.58,92412,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-20,SMD-0062,DABUR,NSE:DABUR-EQ,9.67,9.75,9.48,9.5,158879,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-21,SMD-0062,DABUR,NSE:DABUR-EQ,9.64,9.66,9.32,9.39,127881,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-22,SMD-0062,DABUR,NSE:DABUR-EQ,9.33,9.54,8.9,9.22,156539,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-26,SMD-0062,DABUR,NSE:DABUR-EQ,9.49,9.49,9.17,9.27,154514,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-27,SMD-0062,DABUR,NSE:DABUR-EQ,9.47,9.48,9.2,9.26,111304,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-03-28,SMD-0062,DABUR,NSE:DABUR-EQ,9.33,9.33,9.17,9.24,126635,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-01,SMD-0062,DABUR,NSE:DABUR-EQ,9.32,9.42,9.24,9.3,55169,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-02,SMD-0062,DABUR,NSE:DABUR-EQ,9.33,9.41,9.23,9.29,57174,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-03,SMD-0062,DABUR,NSE:DABUR-EQ,9.38,9.38,9.02,9.08,102484,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-04,SMD-0062,DABUR,NSE:DABUR-EQ,9.0,9.32,9.0,9.11,119888,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-05,SMD-0062,DABUR,NSE:DABUR-EQ,9.25,10.03,9.24,9.98,525652,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-08,SMD-0062,DABUR,NSE:DABUR-EQ,10.05,10.24,9.55,9.73,286633,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-09,SMD-0062,DABUR,NSE:DABUR-EQ,9.73,9.81,9.58,9.68,81264,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-10,SMD-0062,DABUR,NSE:DABUR-EQ,9.73,9.85,9.5,9.6,169829,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-11,SMD-0062,DABUR,NSE:DABUR-EQ,9.67,9.75,9.51,9.68,31792,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-12,SMD-0062,DABUR,NSE:DABUR-EQ,9.98,9.98,9.58,9.73,81207,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-15,SMD-0062,DABUR,NSE:DABUR-EQ,9.91,9.92,9.64,9.65,53412,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-16,SMD-0062,DABUR,NSE:DABUR-EQ,9.78,9.83,9.55,9.63,146505,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-17,SMD-0062,DABUR,NSE:DABUR-EQ,9.53,9.74,9.53,9.66,36093,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-18,SMD-0062,DABUR,NSE:DABUR-EQ,9.71,9.71,9.6,9.63,27368,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-19,SMD-0062,DABUR,NSE:DABUR-EQ,9.74,9.82,9.63,9.72,70583,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-22,SMD-0062,DABUR,NSE:DABUR-EQ,9.58,9.82,9.58,9.73,43130,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-23,SMD-0062,DABUR,NSE:DABUR-EQ,9.68,9.74,9.64,9.66,19091,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-24,SMD-0062,DABUR,NSE:DABUR-EQ,9.63,9.72,9.6,9.66,37269,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-25,SMD-0062,DABUR,NSE:DABUR-EQ,9.63,9.73,9.38,9.45,35527,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-26,SMD-0062,DABUR,NSE:DABUR-EQ,9.42,9.63,9.36,9.5,12175,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-29,SMD-0062,DABUR,NSE:DABUR-EQ,9.49,9.58,9.35,9.51,23439,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-04-30,SMD-0062,DABUR,NSE:DABUR-EQ,9.67,9.67,9.38,9.59,30573,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-02,SMD-0062,DABUR,NSE:DABUR-EQ,9.67,9.67,9.5,9.62,74139,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-03,SMD-0062,DABUR,NSE:DABUR-EQ,9.67,9.67,9.57,9.63,96422,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-06,SMD-0062,DABUR,NSE:DABUR-EQ,9.57,9.58,9.42,9.48,157927,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-07,SMD-0062,DABUR,NSE:DABUR-EQ,9.62,9.62,9.44,9.47,134608,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-08,SMD-0062,DABUR,NSE:DABUR-EQ,9.5,9.54,9.42,9.45,148751,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-09,SMD-0062,DABUR,NSE:DABUR-EQ,9.48,9.53,9.42,9.47,88347,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-10,SMD-0062,DABUR,NSE:DABUR-EQ,9.5,9.5,9.38,9.42,40682,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-13,SMD-0062,DABUR,NSE:DABUR-EQ,9.5,9.54,9.46,9.49,88040,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-14,SMD-0062,DABUR,NSE:DABUR-EQ,9.63,9.63,9.42,9.48,151447,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-15,SMD-0062,DABUR,NSE:DABUR-EQ,9.5,9.58,9.33,9.38,58763,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-16,SMD-0062,DABUR,NSE:DABUR-EQ,9.49,9.49,9.33,9.36,39257,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-17,SMD-0062,DABUR,NSE:DABUR-EQ,9.47,9.47,9.25,9.31,59327,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-20,SMD-0062,DABUR,NSE:DABUR-EQ,9.25,9.33,9.03,9.21,72159,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-21,SMD-0062,DABUR,NSE:DABUR-EQ,8.33,9.4,8.33,9.08,99683,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-22,SMD-0062,DABUR,NSE:DABUR-EQ,8.71,9.01,8.71,8.82,80023,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-23,SMD-0062,DABUR,NSE:DABUR-EQ,8.71,8.98,8.71,8.83,21063,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-24,SMD-0062,DABUR,NSE:DABUR-EQ,8.96,9.17,8.83,9.1,50973,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-27,SMD-0062,DABUR,NSE:DABUR-EQ,9.25,9.25,8.75,8.79,130582,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-28,SMD-0062,DABUR,NSE:DABUR-EQ,8.78,9.06,8.71,8.73,91628,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-29,SMD-0062,DABUR,NSE:DABUR-EQ,8.97,9.16,8.63,8.73,82613,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-30,SMD-0062,DABUR,NSE:DABUR-EQ,8.75,8.83,8.6,8.63,49218,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-05-31,SMD-0062,DABUR,NSE:DABUR-EQ,8.73,8.73,8.52,8.6,45426,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-03,SMD-0062,DABUR,NSE:DABUR-EQ,8.59,8.75,8.59,8.65,50127,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-04,SMD-0062,DABUR,NSE:DABUR-EQ,8.72,8.72,8.51,8.55,126092,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-05,SMD-0062,DABUR,NSE:DABUR-EQ,8.66,8.75,8.6,8.64,99057,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-06,SMD-0062,DABUR,NSE:DABUR-EQ,8.74,8.75,8.57,8.59,97959,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-07,SMD-0062,DABUR,NSE:DABUR-EQ,8.67,8.68,8.56,8.58,55549,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-10,SMD-0062,DABUR,NSE:DABUR-EQ,8.71,8.83,8.63,8.76,84195,FYERS_HISTORY,2026-08-08T23:09:23+05:30
2002-06-11,SMD-0062,DABUR,NSE:DABUR-EQ,8.84,9.08,8.83,8.92,185932,FYERS_HISTORY,2026-08-08T23:09:23+05:30
