trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-03-12,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,7.75,9.2,7.75,8.81,1233452,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-13,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,8.7,9.33,8.7,9.0,1177678,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-17,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,9.0,9.0,8.38,8.55,176654,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-19,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,8.7,8.95,8.64,8.84,106862,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-20,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,8.79,9.56,8.75,9.18,433277,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-21,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,9.15,9.59,9.15,9.28,227349,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-22,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,9.4,9.75,9.36,9.66,148001,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-24,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,9.75,10.29,9.58,10.07,790914,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-25,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,10.02,11.1,9.84,10.9,1583444,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-26,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,10.94,11.59,10.85,10.99,1656273,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-27,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.0,11.08,10.25,10.37,1031428,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-28,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,10.25,12.04,10.25,11.72,2680172,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-03-31,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.4,11.74,10.85,10.96,1526826,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-01,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.2,11.92,11.05,11.54,1234990,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-02,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.7,11.9,11.53,11.79,585978,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-03,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.91,12.19,11.75,11.82,596968,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-04,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.81,11.92,11.65,11.68,332725,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-07,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.75,11.96,11.72,11.81,273976,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-08,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,11.75,13.04,11.75,12.53,1294743,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-09,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.55,13.19,12.55,12.78,701154,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-10,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.9,12.9,12.1,12.19,250513,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-11,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.23,12.7,12.05,12.41,136630,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-15,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.7,13.75,12.63,12.81,272453,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-16,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.98,13.1,12.46,12.6,165178,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-17,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.7,12.75,12.18,12.3,220243,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-21,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.5,12.69,12.21,12.27,104187,FYERS_HISTORY,2026-08-08T23:10:15+05:30
2003-04-22,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,12.34,12.93,12.01,12.82,537677,FYERS_HISTORY,2026-08-08T23:10:15+05:30
