trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2007-01-02,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,151.28,156.75,151.28,153.52,108133,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-03,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,154.95,156.75,151.5,156.06,138085,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-04,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,156.5,158.74,154.85,155.66,111679,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-05,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,155.66,157.49,153.5,154.56,72706,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-08,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,154.6,154.6,151.3,152.61,55438,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-09,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,153.4,154.25,147.53,148.64,67169,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-10,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,147.75,149.4,146.07,146.81,81655,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-11,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,146.6,148.75,142.5,147.46,74349,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-12,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,149.45,152.0,148.0,149.65,55690,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-15,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,150.25,151.5,148.25,149.51,33311,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-16,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,150.51,151.5,148.53,149.12,38853,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-17,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,149.5,159.5,149.5,158.3,180602,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-18,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,160.0,162.0,154.5,157.35,125611,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-19,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,157.25,159.13,155.15,156.57,45865,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-22,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,158.45,158.45,155.1,156.49,30096,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-23,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,156.5,157.5,154.05,154.78,30116,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-24,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,155.7,157.75,154.25,155.54,48038,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-25,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,156.55,157.97,155.27,156.25,102848,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-29,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,158.0,158.0,152.5,154.04,39146,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-01-31,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,155.0,162.33,152.75,161.62,234902,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-01,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,162.5,167.45,161.51,166.98,194381,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-02,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,167.6,168.7,165.02,167.91,115384,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-05,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,166.5,173.45,165.0,172.54,124027,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-06,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,172.8,177.0,171.51,172.56,163985,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-07,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,164.1,175.9,164.1,173.6,91089,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-08,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,174.0,175.0,171.63,172.52,56013,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-09,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,173.4,173.7,168.28,169.44,56981,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-12,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,169.5,169.5,163.0,164.66,68907,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-13,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,165.0,169.75,160.75,164.62,108015,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-14,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,166.5,168.49,162.5,167.17,60316,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-15,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,165.0,173.3,165.0,172.56,46095,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-19,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,173.95,175.75,170.55,172.03,40588,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-20,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,173.0,173.5,169.25,169.68,27756,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-21,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,169.99,171.2,165.1,166.45,22955,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-22,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,166.76,167.75,159.75,161.41,309931,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-23,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,161.5,165.24,158.76,161.25,123194,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-26,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,161.5,163.69,153.5,159.85,96963,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-27,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,161.4,162.5,154.5,155.67,64778,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-02-28,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,155.0,158.75,144.06,145.43,101225,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-01,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,147.0,150.5,143.0,149.73,89913,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-02,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,149.25,153.2,141.95,144.38,70351,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-05,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,140.13,140.13,130.45,132.44,187396,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-06,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,135.0,139.35,131.56,137.96,82208,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-07,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,140.1,141.45,128.5,132.62,108386,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-08,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,135.0,147.45,130.78,144.56,226632,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-09,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,149.0,149.0,139.3,141.26,112730,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-12,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,143.5,144.65,140.05,141.66,67453,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-13,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,142.9,147.5,140.75,146.49,66355,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-14,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,144.05,144.2,139.26,142.33,72042,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-15,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,144.0,148.65,142.5,143.99,83819,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-16,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,144.0,145.5,141.82,142.92,40343,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-19,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,143.75,146.2,142.6,145.38,59194,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-20,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,146.9,148.35,145.07,146.22,49080,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-21,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,146.75,148.25,145.3,147.52,58844,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-22,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,148.2,151.45,148.2,150.06,51575,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-23,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,151.25,153.67,149.51,151.75,112179,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-26,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,152.94,152.94,150.52,150.96,58953,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-28,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,151.89,151.89,146.55,147.57,43995,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-29,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,147.3,151.85,146.55,149.36,155529,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-03-30,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,151.0,154.5,149.5,153.74,132177,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-02,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,150.5,153.2,145.07,150.68,144454,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-03,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,152.51,152.75,150.75,151.16,34003,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-04,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,152.41,158.24,152.05,157.0,102085,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-05,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,157.55,160.5,157.0,158.45,76513,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-09,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,158.9,169.25,158.9,167.71,185785,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-10,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,168.6,171.75,167.33,170.17,145403,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-11,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,170.25,172.5,167.63,168.4,74124,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-12,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,168.25,170.25,166.75,167.94,45359,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-13,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,169.5,172.49,168.51,171.68,57786,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-16,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,173.75,175.45,173.0,173.71,54742,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-17,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,174.0,175.25,169.85,170.5,55219,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-18,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,172.75,175.0,171.65,173.23,71599,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-19,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,173.5,173.5,170.0,171.44,38145,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-20,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,173.75,174.5,171.01,173.57,51423,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-23,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,175.0,175.0,171.11,171.56,25316,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-24,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,172.5,173.9,170.5,172.6,27515,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-25,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,168.18,173.0,168.15,171.09,45862,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-26,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,172.7,182.75,170.25,180.53,155352,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-27,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,181.9,184.75,177.56,178.27,110722,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-04-30,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,178.27,184.15,176.8,182.39,86605,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-05-03,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,183.95,187.25,183.95,186.29,67468,FYERS_HISTORY,2026-08-08T23:10:17+05:30
2007-05-04,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,187.5,191.0,186.25,189.5,77884,FYERS_HISTORY,2026-08-08T23:10:17+05:30
