trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,333.83,341.18,330.65,334.43,255018,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2009-12-30,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,335.0,339.2,333.5,337.25,160040,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2009-12-31,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,339.95,342.4,332.5,338.4,325469,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-04,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,338.0,342.0,334.05,335.43,128529,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-05,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,342.5,342.5,334.25,334.9,79421,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-06,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,335.5,346.75,330.0,343.9,373092,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-07,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,347.5,357.4,347.45,354.95,876249,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-08,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,355.05,356.0,343.88,345.98,283787,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-11,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,350.0,350.0,343.5,344.33,178115,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-12,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,344.33,351.5,340.53,341.68,253260,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-13,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,339.33,350.45,335.8,348.23,185695,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-14,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,350.0,352.03,344.9,346.85,108883,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-15,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,347.5,349.1,343.0,344.5,128124,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-18,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,343.75,346.0,336.75,339.9,462716,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-19,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,339.0,342.4,333.3,335.48,206765,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-20,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,336.5,339.4,328.45,329.33,184536,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-21,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,326.0,332.45,315.0,317.53,300446,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-22,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,313.13,314.7,300.08,312.1,253740,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-25,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,313.88,314.93,305.5,307.6,174316,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-27,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,306.0,306.5,292.68,296.75,198138,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-28,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,307.78,319.85,287.55,294.08,308183,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-01-29,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,293.9,307.25,286.0,305.53,133178,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-01,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,307.5,312.5,298.03,308.93,186663,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-02,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,310.0,317.4,305.1,306.03,275442,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-03,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,307.5,311.0,303.65,304.63,200305,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-04,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,306.2,311.0,293.6,296.83,465561,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-05,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,286.5,294.4,277.5,282.6,445205,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-06,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,284.0,287.55,277.13,286.05,27027,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-08,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,286.88,291.5,281.08,287.85,138872,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-09,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,286.0,290.5,282.5,286.6,675948,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-10,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,289.0,290.95,286.6,288.75,175284,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-11,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,291.5,292.5,285.35,286.5,86712,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-15,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,290.0,290.5,286.53,289.6,104957,FYERS_HISTORY,2026-08-08T23:10:18+05:30
2010-02-16,SMD-0065,DIVISLAB,NSE:DIVISLAB-EQ,292.0,292.5,286.63,290.98,118939,FYERS_HISTORY,2026-08-08T23:10:18+05:30
