trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0066,DIXON,NSE:DIXON-EQ,791.6,811.0,775.39,781.3,749625,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2019-12-30,SMD-0066,DIXON,NSE:DIXON-EQ,782.8,791.6,766.2,774.13,190065,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2019-12-31,SMD-0066,DIXON,NSE:DIXON-EQ,772.13,780.0,756.81,759.86,154210,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-01,SMD-0066,DIXON,NSE:DIXON-EQ,754.0,767.8,754.0,757.31,71530,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-02,SMD-0066,DIXON,NSE:DIXON-EQ,756.0,787.02,755.8,781.14,166440,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-03,SMD-0066,DIXON,NSE:DIXON-EQ,782.2,809.8,776.37,790.46,248185,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-06,SMD-0066,DIXON,NSE:DIXON-EQ,804.0,807.0,780.2,791.85,285655,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-07,SMD-0066,DIXON,NSE:DIXON-EQ,808.0,862.98,803.6,847.01,913535,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-08,SMD-0066,DIXON,NSE:DIXON-EQ,839.8,850.8,817.66,828.51,777285,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-09,SMD-0066,DIXON,NSE:DIXON-EQ,837.04,844.2,825.6,832.62,297730,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-10,SMD-0066,DIXON,NSE:DIXON-EQ,835.4,850.02,831.0,837.78,324900,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-13,SMD-0066,DIXON,NSE:DIXON-EQ,846.0,856.0,834.4,838.02,177290,FYERS_HISTORY,2026-08-08T23:10:40+05:30
2020-01-14,SMD-0066,DIXON,NSE:DIXON-EQ,842.32,845.8,825.01,829.12,172695,FYERS_HISTORY,2026-08-08T23:10:40+05:30
