trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2021-12-27,SMD-0066,DIXON,NSE:DIXON-EQ,5423.0,5660.0,5337.1,5617.35,500006,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2021-12-28,SMD-0066,DIXON,NSE:DIXON-EQ,5706.4,5726.0,5576.25,5598.5,510809,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2021-12-29,SMD-0066,DIXON,NSE:DIXON-EQ,5578.0,5632.65,5540.0,5554.8,183001,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2021-12-30,SMD-0066,DIXON,NSE:DIXON-EQ,5543.5,5584.55,5500.0,5555.5,188151,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2021-12-31,SMD-0066,DIXON,NSE:DIXON-EQ,5575.0,5600.0,5491.15,5509.55,220185,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-03,SMD-0066,DIXON,NSE:DIXON-EQ,5526.0,5573.1,5505.0,5517.1,161271,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-04,SMD-0066,DIXON,NSE:DIXON-EQ,5540.0,5554.7,5442.2,5480.95,157713,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-05,SMD-0066,DIXON,NSE:DIXON-EQ,5479.0,5479.0,5300.0,5312.95,356761,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-06,SMD-0066,DIXON,NSE:DIXON-EQ,5300.0,5347.8,5220.0,5338.5,276201,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-07,SMD-0066,DIXON,NSE:DIXON-EQ,5390.85,5392.95,5280.0,5295.05,227966,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-10,SMD-0066,DIXON,NSE:DIXON-EQ,5322.0,5356.95,5278.0,5290.2,174787,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-11,SMD-0066,DIXON,NSE:DIXON-EQ,5296.5,5328.3,5258.65,5265.1,168200,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-12,SMD-0066,DIXON,NSE:DIXON-EQ,5306.75,5369.0,5241.0,5266.0,261993,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-13,SMD-0066,DIXON,NSE:DIXON-EQ,5330.0,5352.95,5245.9,5269.45,188976,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-14,SMD-0066,DIXON,NSE:DIXON-EQ,5250.0,5310.0,5245.9,5268.35,92897,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-17,SMD-0066,DIXON,NSE:DIXON-EQ,5280.0,5410.0,5255.0,5388.1,325628,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-18,SMD-0066,DIXON,NSE:DIXON-EQ,5440.0,5444.1,5181.0,5235.65,286207,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-19,SMD-0066,DIXON,NSE:DIXON-EQ,5260.0,5303.7,5210.0,5259.2,258538,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-20,SMD-0066,DIXON,NSE:DIXON-EQ,5263.0,5287.4,5210.0,5226.25,132290,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-21,SMD-0066,DIXON,NSE:DIXON-EQ,5170.0,5227.0,4941.55,4979.25,341256,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-24,SMD-0066,DIXON,NSE:DIXON-EQ,4980.0,4997.0,4588.0,4620.55,913867,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-25,SMD-0066,DIXON,NSE:DIXON-EQ,4590.0,4725.0,4411.0,4552.1,589319,FYERS_HISTORY,2026-08-08T23:10:41+05:30
2022-01-27,SMD-0066,DIXON,NSE:DIXON-EQ,4525.0,4525.0,4379.05,4390.55,528674,FYERS_HISTORY,2026-08-08T23:10:41+05:30
