trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0066,DIXON,NSE:DIXON-EQ,6460.0,6516.95,6413.0,6456.1,251311,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2023-12-27,SMD-0066,DIXON,NSE:DIXON-EQ,6498.9,6540.0,6415.0,6463.95,239350,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2023-12-28,SMD-0066,DIXON,NSE:DIXON-EQ,6480.9,6500.0,6415.0,6464.55,216073,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2023-12-29,SMD-0066,DIXON,NSE:DIXON-EQ,6463.0,6619.4,6423.1,6566.75,478071,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-01,SMD-0066,DIXON,NSE:DIXON-EQ,6560.0,6585.8,6420.5,6460.35,268871,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-02,SMD-0066,DIXON,NSE:DIXON-EQ,6465.5,6483.4,6243.15,6316.5,604541,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-03,SMD-0066,DIXON,NSE:DIXON-EQ,6316.6,6411.0,6269.0,6350.7,241046,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-04,SMD-0066,DIXON,NSE:DIXON-EQ,6379.0,6447.45,6365.65,6396.55,244040,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-05,SMD-0066,DIXON,NSE:DIXON-EQ,6396.55,6459.0,6364.3,6378.4,246494,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-08,SMD-0066,DIXON,NSE:DIXON-EQ,6399.85,6399.85,6303.0,6325.45,136870,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-09,SMD-0066,DIXON,NSE:DIXON-EQ,6372.95,6450.0,6341.7,6356.7,206103,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-10,SMD-0066,DIXON,NSE:DIXON-EQ,6350.0,6395.0,6280.0,6326.95,185762,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-11,SMD-0066,DIXON,NSE:DIXON-EQ,6369.95,6508.0,6338.55,6488.65,406115,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-12,SMD-0066,DIXON,NSE:DIXON-EQ,6500.0,6600.0,6480.0,6553.95,415988,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-15,SMD-0066,DIXON,NSE:DIXON-EQ,6480.0,6519.45,6305.0,6331.6,639402,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-16,SMD-0066,DIXON,NSE:DIXON-EQ,6339.9,6418.0,6309.35,6343.6,256623,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-17,SMD-0066,DIXON,NSE:DIXON-EQ,6290.0,6398.0,6219.5,6367.7,203515,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-18,SMD-0066,DIXON,NSE:DIXON-EQ,6371.0,6375.0,6054.1,6303.1,326794,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-19,SMD-0066,DIXON,NSE:DIXON-EQ,6198.0,6211.9,6020.0,6100.2,894287,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-20,SMD-0066,DIXON,NSE:DIXON-EQ,6121.0,6175.0,6005.0,6019.2,193637,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-23,SMD-0066,DIXON,NSE:DIXON-EQ,6025.05,6102.15,5819.3,5853.85,350766,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-24,SMD-0066,DIXON,NSE:DIXON-EQ,5911.95,5975.0,5782.85,5920.1,323198,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-25,SMD-0066,DIXON,NSE:DIXON-EQ,5966.0,5966.0,5794.2,5879.45,296056,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-29,SMD-0066,DIXON,NSE:DIXON-EQ,5898.0,5921.2,5842.1,5871.65,214390,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-30,SMD-0066,DIXON,NSE:DIXON-EQ,5910.0,5981.3,5852.0,5862.95,203956,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-01-31,SMD-0066,DIXON,NSE:DIXON-EQ,5865.0,6018.4,5800.2,5991.1,588652,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-01,SMD-0066,DIXON,NSE:DIXON-EQ,6161.0,6348.0,6051.1,6124.4,1071955,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-02,SMD-0066,DIXON,NSE:DIXON-EQ,6189.95,6284.8,6090.0,6237.8,430426,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-05,SMD-0066,DIXON,NSE:DIXON-EQ,6251.0,6462.2,6244.0,6259.6,483413,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-06,SMD-0066,DIXON,NSE:DIXON-EQ,6300.0,6408.0,6260.4,6358.55,316205,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-07,SMD-0066,DIXON,NSE:DIXON-EQ,6390.0,6414.5,6282.75,6308.85,167852,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-08,SMD-0066,DIXON,NSE:DIXON-EQ,6345.0,6373.9,6206.35,6223.95,176758,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-09,SMD-0066,DIXON,NSE:DIXON-EQ,6249.95,6290.2,6125.4,6277.9,154552,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-12,SMD-0066,DIXON,NSE:DIXON-EQ,6295.0,6321.1,6202.9,6269.2,169271,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-13,SMD-0066,DIXON,NSE:DIXON-EQ,6244.05,6316.9,6131.0,6295.7,168955,FYERS_HISTORY,2026-08-08T23:10:42+05:30
2024-02-14,SMD-0066,DIXON,NSE:DIXON-EQ,6202.0,6360.0,6200.0,6339.95,151149,FYERS_HISTORY,2026-08-08T23:10:42+05:30
