trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0067,DLF,NSE:DLF-EQ,193.0,194.1,185.55,186.65,5678798,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2011-12-30,SMD-0067,DLF,NSE:DLF-EQ,187.5,189.4,181.55,183.1,6179192,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-02,SMD-0067,DLF,NSE:DLF-EQ,184.7,184.7,175.8,179.2,6176625,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-03,SMD-0067,DLF,NSE:DLF-EQ,182.55,192.5,181.6,191.45,6902074,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-04,SMD-0067,DLF,NSE:DLF-EQ,191.45,191.5,185.65,187.1,7329442,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-05,SMD-0067,DLF,NSE:DLF-EQ,186.0,187.4,178.6,179.9,13201636,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-06,SMD-0067,DLF,NSE:DLF-EQ,178.0,178.55,172.8,174.55,10427073,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-07,SMD-0067,DLF,NSE:DLF-EQ,175.0,177.85,175.0,176.65,1383043,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-09,SMD-0067,DLF,NSE:DLF-EQ,176.9,179.0,173.85,177.9,7558746,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-10,SMD-0067,DLF,NSE:DLF-EQ,178.9,186.9,177.9,184.75,36277412,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-11,SMD-0067,DLF,NSE:DLF-EQ,186.0,194.6,185.15,190.9,27557434,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-12,SMD-0067,DLF,NSE:DLF-EQ,190.4,195.7,189.15,191.85,10066655,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-13,SMD-0067,DLF,NSE:DLF-EQ,193.45,200.85,192.5,196.6,12260771,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-16,SMD-0067,DLF,NSE:DLF-EQ,194.05,195.75,191.3,193.3,5559572,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-17,SMD-0067,DLF,NSE:DLF-EQ,194.35,202.5,194.25,198.15,8727951,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-18,SMD-0067,DLF,NSE:DLF-EQ,198.85,204.3,197.15,201.55,10112105,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-19,SMD-0067,DLF,NSE:DLF-EQ,204.1,211.6,204.1,210.35,9919943,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-20,SMD-0067,DLF,NSE:DLF-EQ,213.5,217.0,211.6,214.0,13705320,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-23,SMD-0067,DLF,NSE:DLF-EQ,214.05,220.65,211.8,219.3,6479862,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-24,SMD-0067,DLF,NSE:DLF-EQ,220.5,224.4,214.7,218.95,10770480,FYERS_HISTORY,2026-08-08T23:10:52+05:30
2012-01-25,SMD-0067,DLF,NSE:DLF-EQ,219.25,222.3,218.15,219.15,7702357,FYERS_HISTORY,2026-08-08T23:10:52+05:30
