trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,145.3,146.47,138.71,142.91,357655,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-01,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,146.9,146.9,142.61,143.39,355545,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-02,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,144.0,146.3,144.0,144.98,613050,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-05,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,147.11,147.11,142.57,144.63,632935,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-06,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,145.11,145.99,143.13,144.21,630270,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-07,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,144.6,145.0,139.5,141.36,537865,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-08,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,140.5,142.5,139.5,140.98,539065,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-09,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,141.4,144.88,139.9,141.05,1314340,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-12,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,140.6,141.3,134.61,136.91,849215,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-13,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,137.8,141.0,136.31,140.1,783000,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-14,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,141.5,142.4,137.2,138.02,785570,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-15,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,139.1,140.2,134.0,135.0,823085,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-16,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,136.1,136.9,132.13,134.87,707885,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-19,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,135.0,139.2,134.65,137.87,807010,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-20,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,138.9,138.9,133.5,134.27,505665,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-21,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,134.7,138.6,133.0,134.13,1104875,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-22,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,135.25,137.99,129.3,134.26,1358460,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-23,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,136.1,137.9,134.5,136.78,783000,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-27,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,138.5,145.48,138.5,142.55,1595555,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-28,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,144.01,146.2,142.56,143.22,1455810,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-29,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,143.5,145.3,139.5,143.2,1028160,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-01-30,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,144.5,144.98,137.15,139.83,929990,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-03,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,133.23,134.0,125.22,128.96,2665480,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-04,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,129.55,134.9,128.0,132.32,708010,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-05,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,134.0,134.0,130.12,130.95,354895,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-06,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,132.1,134.2,130.85,133.29,756545,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-09,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,125.0,126.5,121.02,125.04,1915800,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-10,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,129.9,129.9,121.1,123.72,2277065,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-11,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,126.0,126.5,124.2,126.08,868145,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-12,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,126.73,127.6,122.0,124.19,2040090,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-13,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,124.53,127.5,124.0,125.52,2593230,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-16,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,127.0,127.4,123.0,123.59,2299950,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-17,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,125.0,125.1,122.0,124.08,1780070,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-18,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,124.63,125.45,123.45,124.18,1051365,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-19,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,125.0,125.0,121.5,122.26,1274645,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-20,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,122.01,122.5,119.13,119.74,997540,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-23,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,121.11,123.3,120.14,120.94,1341925,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-24,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,120.0,123.99,119.53,122.79,1124380,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-25,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,124.98,126.5,123.0,125.91,1225190,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-26,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,126.0,127.88,123.0,125.38,1167110,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-02-27,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,125.5,125.5,123.2,124.09,653590,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-01,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,115.02,115.02,99.5,101.52,6752840,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-03,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,102.71,104.77,100.0,102.25,3775445,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-04,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,103.9,103.9,100.9,101.46,1856505,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-05,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,101.7,102.4,100.89,102.05,928560,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-08,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,101.8,103.78,101.52,102.92,960960,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-09,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,103.09,105.5,102.3,104.89,1266045,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-10,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,105.01,106.68,104.0,104.86,1702685,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-11,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,104.8,107.89,104.51,106.55,2208130,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-12,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,106.0,106.0,101.52,102.99,1026145,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-15,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,103.7,104.49,100.5,101.97,495215,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-16,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,100.0,102.3,98.6,99.59,804795,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-17,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,101.0,101.0,96.0,99.27,2300165,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-18,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,99.2,100.89,98.73,100.12,1215855,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-19,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,99.9,102.5,99.84,101.09,411470,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-22,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,100.55,102.7,100.48,100.92,363310,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-23,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,100.9,107.76,99.9,100.67,622070,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-24,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,100.9,101.48,97.76,98.42,480890,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-25,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,98.5,101.4,95.5,96.58,1408990,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-26,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,98.96,98.96,97.22,97.62,929550,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-29,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,98.0,98.0,97.3,97.69,481150,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-30,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,98.0,98.96,96.6,97.11,485100,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-03-31,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,97.8,98.05,97.0,97.44,662690,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-01,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,97.8,98.21,97.01,97.97,924305,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-02,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,98.0,100.29,98.0,99.12,598865,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-05,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,99.9,100.45,97.5,97.81,823565,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-06,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,98.9,98.9,95.82,96.69,1403360,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-07,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,97.2,97.5,93.3,95.09,1887480,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-08,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,95.0,96.0,93.7,95.64,1631100,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-12,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,96.49,97.28,95.51,96.28,863280,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-13,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,96.52,97.09,95.4,96.21,446730,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-15,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,94.99,94.99,89.7,90.02,3201185,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-16,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,91.5,92.5,89.75,90.69,1878680,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-17,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,92.0,92.38,91.4,91.77,203890,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-19,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,92.3,92.3,90.2,90.6,886195,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-20,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,90.8,91.28,90.15,90.46,742310,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-21,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,90.8,91.09,90.5,90.71,492675,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-22,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,91.5,92.08,90.9,91.3,1172030,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-23,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,91.99,94.23,91.4,93.33,1843520,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-27,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,92.44,94.2,89.99,92.88,2408995,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-28,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,92.0,92.95,89.13,90.39,1474795,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-29,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,90.3,90.3,85.9,86.5,3713335,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-04-30,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,87.2,87.6,86.1,86.93,1784015,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-03,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,87.09,88.49,86.11,86.52,589645,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-04,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,87.4,88.2,86.21,86.53,507560,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-05,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,87.98,87.99,86.8,87.59,406680,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-06,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,88.99,89.0,87.9,88.58,415915,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-07,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,89.5,91.6,88.8,91.08,2549265,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-10,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,87.4,90.9,87.4,88.42,774800,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-11,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,86.51,86.9,83.5,84.04,1989580,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-12,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,84.0,85.0,81.6,84.02,941670,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-13,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,81.65,85.99,81.65,84.35,1052360,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-14,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,85.5,87.2,82.5,83.53,1062435,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-17,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,82.5,84.0,67.5,77.51,1020920,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-18,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,77.51,90.4,77.51,88.36,1861720,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-19,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,89.5,91.13,87.0,88.54,1021320,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-20,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,91.69,93.98,86.3,86.93,933305,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-21,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,86.4,87.0,84.52,86.58,549000,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-24,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,88.7,89.0,85.61,87.21,767850,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-25,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,88.5,88.99,86.8,87.57,1366290,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-26,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,88.12,91.01,88.12,89.91,1345335,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-27,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,89.51,91.56,88.0,90.54,2199620,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-28,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,91.0,91.0,88.5,88.77,1184250,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-05-31,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,80.1,82.5,73.9,79.71,1925250,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-01,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,80.5,80.9,78.1,79.85,1182110,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-02,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,80.3,81.69,79.52,80.01,1348160,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-03,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,80.18,81.7,78.5,78.83,1293610,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-04,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,78.9,80.85,78.8,80.07,492575,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-07,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,80.5,81.2,80.02,80.73,274555,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-08,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,81.0,81.2,78.01,80.83,215045,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-09,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,81.5,82.1,80.31,81.54,239565,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-10,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,81.65,81.9,80.8,81.62,345405,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-11,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,81.8,81.8,80.3,80.62,439880,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-14,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,80.47,80.47,79.0,79.49,406220,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-15,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,79.39,79.8,78.11,78.79,506375,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-16,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,79.99,80.0,78.6,79.03,424180,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-17,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,79.2,79.2,73.64,75.5,1886120,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-18,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,72.04,75.6,72.04,75.34,1039130,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-21,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,75.5,75.5,72.81,73.34,754450,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-22,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,73.5,73.6,71.03,73.32,1531955,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-23,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,70.05,74.44,70.0,73.46,2224825,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-24,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,73.54,73.75,70.9,71.94,1909820,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-25,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,72.5,72.5,71.07,72.06,1137660,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-28,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,72.49,76.1,72.1,74.41,1143195,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-29,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,74.4,74.71,73.0,73.33,568700,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-06-30,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,73.23,75.1,73.0,73.48,615455,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-01,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,73.4,74.15,73.05,73.86,274895,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-02,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,73.7,73.99,72.84,73.39,315865,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-05,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,74.0,75.0,73.6,74.02,477770,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-06,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,74.0,75.39,74.0,74.95,393310,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-07,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,75.0,77.8,74.63,77.28,1347730,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-08,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,77.28,78.0,74.0,74.37,668790,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-09,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,78.99,78.99,74.0,76.37,396485,FYERS_HISTORY,2026-08-08T23:11:21+05:30
2004-07-12,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,75.1,77.78,75.0,76.31,268550,FYERS_HISTORY,2026-08-08T23:11:21+05:30
