trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,575.0,581.0,572.32,579.52,1868265,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2019-12-30,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,576.46,585.6,575.0,577.77,1899395,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2019-12-31,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,578.0,582.97,572.81,574.91,1516190,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-01,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,576.0,577.7,572.04,575.88,773895,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-02,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,576.76,578.48,572.04,572.98,1494155,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-03,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,572.98,579.4,570.41,576.78,1723390,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-06,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,574.2,579.56,570.84,575.77,1788685,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-07,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,578.0,582.0,574.21,576.84,1788175,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-08,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,575.0,581.0,573.2,579.45,1395115,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-09,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,582.32,587.32,580.2,584.1,1877480,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-10,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,586.0,601.6,585.03,586.6,5635735,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-13,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,586.58,593.3,583.14,590.94,2209320,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-14,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,590.96,593.76,586.4,589.56,1785850,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-15,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,589.23,589.3,580.0,583.73,1924335,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-16,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,585.6,590.3,584.33,587.49,1917310,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-17,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,588.88,609.8,588.0,606.87,5585585,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-20,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,608.6,616.0,606.41,611.92,4373565,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-21,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,611.11,615.96,607.17,612.09,2853930,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-22,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,612.11,621.01,609.48,612.41,2798990,FYERS_HISTORY,2026-08-08T23:11:28+05:30
2020-01-23,SMD-0069,DRREDDY,NSE:DRREDDY-EQ,611.06,615.74,604.8,607.63,2130840,FYERS_HISTORY,2026-08-08T23:11:28+05:30
