trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.4,2.45,2.39,2.4,25500,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-01,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.45,2.46,2.38,2.39,51500,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-02,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.31,2.4,2.31,2.34,17600,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-03,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.4,2.6,2.32,2.37,94820,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-04,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.36,2.42,2.33,2.35,54100,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-07,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.4,2.4,2.21,2.34,26100,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-08,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.31,2.35,2.26,2.29,83760,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-09,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.27,2.35,2.27,2.31,44300,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-10,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.28,2.28,2.24,2.25,14100,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-11,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.26,2.28,2.25,2.25,24700,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-14,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.4,2.52,2.4,2.45,88360,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-15,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.4,2.45,2.38,2.43,26540,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-16,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.6,2.6,2.4,2.5,95390,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-17,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.58,2.6,2.52,2.55,58800,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-18,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.44,2.65,2.43,2.58,130500,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-21,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.69,3.0,2.66,2.89,445450,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-22,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.94,2.94,2.76,2.8,161810,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-23,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2.83,2.95,2.83,2.91,248570,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-24,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,3.0,3.24,2.9,3.17,691250,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-25,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,3.19,3.29,3.04,3.18,605860,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-28,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,3.14,3.4,3.13,3.33,445450,FYERS_HISTORY,2026-08-08T23:11:32+05:30
2002-01-29,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,3.3,3.45,3.24,3.35,672610,FYERS_HISTORY,2026-08-08T23:11:32+05:30
