trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2330.0,2338.3,2288.79,2299.45,474780,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2018-12-28,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2301.1,2331.0,2299.5,2312.41,373040,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2018-12-31,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2335.0,2339.0,2300.77,2315.83,431030,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-01,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2316.23,2329.3,2290.5,2319.51,444340,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-02,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2234.0,2234.0,2095.02,2116.23,4814970,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-03,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2104.0,2104.0,2015.1,2021.14,4683010,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-04,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2032.5,2064.81,2000.1,2010.36,3418330,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-07,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2045.0,2047.7,1975.5,1983.04,2156680,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-08,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1985.5,2063.0,1978.5,2004.47,3664290,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-09,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1989.0,2039.78,1985.0,2029.1,1637520,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-10,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2036.0,2060.0,2034.51,2055.61,1021430,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-11,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2060.0,2076.73,2038.7,2050.76,1122200,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-14,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2062.8,2062.92,2022.2,2048.04,701210,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-15,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2054.0,2067.0,2048.0,2063.81,633190,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-16,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2062.6,2078.4,2062.6,2073.57,674680,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-17,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2080.0,2084.77,2016.04,2036.99,1037770,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-18,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2040.0,2042.5,1995.0,2012.28,1081400,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-21,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2015.1,2029.79,1994.97,2002.8,950380,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-22,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2000.1,2035.0,1990.0,2002.36,1378300,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-23,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2007.7,2022.3,1999.1,2008.92,535950,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-24,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2015.0,2033.0,2007.5,2011.56,457230,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-25,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2020.0,2033.78,1983.51,2004.99,671890,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-28,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2006.1,2024.1,1987.16,1998.74,1019070,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-29,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1999.9,2000.0,1880.0,1887.72,1931980,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-30,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1890.0,1909.49,1880.0,1891.92,1026320,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-01-31,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1912.0,1917.89,1883.61,1900.57,675110,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-01,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1909.0,2014.47,1907.61,1966.34,1857170,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-04,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1972.0,2043.19,1943.5,2012.83,1621290,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-05,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2016.1,2058.49,2016.0,2047.97,1018700,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-06,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2052.97,2120.0,2052.97,2110.43,1297160,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-07,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2123.49,2196.5,2115.07,2190.42,1352940,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-08,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2185.5,2190.42,2075.0,2084.74,1234030,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-11,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2043.4,2145.96,2033.1,2075.31,2619820,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-12,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2047.0,2130.0,2007.0,2113.75,2590360,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-13,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2125.0,2135.0,2000.1,2015.87,1504900,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-14,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2016.0,2058.81,1990.0,2001.64,1403410,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-15,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2014.73,2037.72,1993.21,2023.41,1235950,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-18,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2043.3,2045.0,2004.77,2015.52,850970,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-19,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2020.0,2046.46,2012.1,2040.98,654740,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-20,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2041.5,2065.0,2038.0,2052.85,698580,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-21,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2045.0,2063.47,2025.0,2044.74,670210,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-22,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2057.7,2070.0,2030.0,2059.54,740010,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-25,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2069.99,2078.09,2050.0,2070.48,462600,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-26,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2067.0,2087.49,2040.01,2062.0,878770,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-27,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2078.08,2078.08,2030.21,2040.77,624010,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-02-28,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2064.9,2064.9,1980.0,1986.91,1870270,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-01,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1990.4,2003.19,1972.0,1994.87,984330,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-05,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,1950.0,2187.7,1932.0,2150.54,4523630,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-06,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2151.0,2180.0,2140.5,2150.4,1265860,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-07,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2154.9,2170.0,2141.13,2152.15,831150,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-08,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2152.0,2209.34,2140.01,2187.1,1957920,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-11,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2194.85,2314.52,2189.5,2297.24,2485590,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-12,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2300.1,2335.5,2227.29,2246.19,1992480,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-13,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2248.88,2289.8,2246.2,2277.73,1461680,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-14,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2280.0,2298.69,2250.1,2261.99,968750,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-15,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2283.8,2283.8,2242.6,2261.23,981900,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-18,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2260.0,2279.99,2210.2,2225.14,993140,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-19,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2224.0,2224.0,2157.96,2175.91,2011750,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-20,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2166.0,2185.0,2119.0,2133.8,1371030,FYERS_HISTORY,2026-08-08T23:11:40+05:30
2019-03-22,SMD-0070,EICHERMOT,NSE:EICHERMOT-EQ,2133.8,2167.46,2127.5,2144.69,2168820,FYERS_HISTORY,2026-08-08T23:11:40+05:30
