trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,65.85,67.65,65.85,67.4,28813310,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2020-12-29,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,67.7,68.25,66.35,67.4,29998634,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2020-12-30,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,67.65,68.0,66.3,67.25,19496396,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2020-12-31,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,67.2,67.2,66.25,66.7,17910330,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-01,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,67.0,68.2,66.8,68.05,14471914,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-04,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,69.0,71.4,68.8,70.55,45809327,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-05,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,70.0,72.5,69.25,72.3,41838390,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-06,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,73.1,74.2,71.45,72.7,42551006,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-07,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,74.9,76.5,73.25,75.65,51330375,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-08,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,76.4,76.8,75.4,75.75,25199203,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-11,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,76.25,76.45,73.6,74.8,23281709,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-12,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,74.0,76.85,73.5,76.2,29285428,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-13,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,77.0,78.0,74.35,74.8,41785200,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-14,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,75.2,75.9,74.25,75.05,21212153,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-15,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,74.85,75.3,71.8,73.35,28983879,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-18,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,72.95,73.4,71.1,71.6,23791895,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-19,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,72.0,75.6,72.0,75.4,28261556,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-20,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,75.8,78.0,74.65,77.3,71372249,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-21,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,78.85,78.85,75.25,76.25,48996022,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-22,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,76.3,77.0,72.9,73.3,37307932,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-25,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,74.05,74.8,70.8,71.25,30214877,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-27,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,71.25,71.9,69.4,69.8,35526511,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-28,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,69.25,72.45,69.05,71.6,57090348,FYERS_HISTORY,2026-08-08T23:12:13+05:30
2021-01-29,SMD-0073,FEDERALBNK,NSE:FEDERALBNK-EQ,72.6,74.55,71.85,72.3,52821135,FYERS_HISTORY,2026-08-08T23:12:13+05:30
