trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0077,GAIL,NSE:GAIL-EQ,7.66,7.91,7.65,7.91,17925,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-01,SMD-0077,GAIL,NSE:GAIL-EQ,7.98,8.0,7.85,8.0,22839,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-02,SMD-0077,GAIL,NSE:GAIL-EQ,8.13,8.13,7.98,8.1,40455,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-03,SMD-0077,GAIL,NSE:GAIL-EQ,8.19,8.19,8.06,8.12,33009,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-04,SMD-0077,GAIL,NSE:GAIL-EQ,8.19,8.19,8.06,8.13,16728,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-07,SMD-0077,GAIL,NSE:GAIL-EQ,8.19,8.19,8.06,8.11,42549,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-08,SMD-0077,GAIL,NSE:GAIL-EQ,8.13,8.13,8.0,8.07,13320,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-09,SMD-0077,GAIL,NSE:GAIL-EQ,8.14,8.14,7.76,8.07,19851,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-10,SMD-0077,GAIL,NSE:GAIL-EQ,8.07,8.13,8.01,8.1,36708,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-11,SMD-0077,GAIL,NSE:GAIL-EQ,8.0,8.13,7.89,7.91,21510,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-14,SMD-0077,GAIL,NSE:GAIL-EQ,8.06,8.19,8.01,8.15,11178,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-15,SMD-0077,GAIL,NSE:GAIL-EQ,8.15,8.15,8.03,8.11,24876,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-16,SMD-0077,GAIL,NSE:GAIL-EQ,8.13,8.53,8.13,8.43,42393,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-17,SMD-0077,GAIL,NSE:GAIL-EQ,8.26,8.68,8.26,8.45,71652,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-18,SMD-0077,GAIL,NSE:GAIL-EQ,8.5,8.5,8.31,8.36,17364,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-21,SMD-0077,GAIL,NSE:GAIL-EQ,8.5,8.5,8.36,8.36,8826,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-22,SMD-0077,GAIL,NSE:GAIL-EQ,8.5,8.5,8.32,8.35,10911,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-23,SMD-0077,GAIL,NSE:GAIL-EQ,8.19,8.56,8.19,8.49,54000,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-24,SMD-0077,GAIL,NSE:GAIL-EQ,8.56,8.56,8.43,8.48,38376,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-25,SMD-0077,GAIL,NSE:GAIL-EQ,8.46,8.51,8.44,8.48,21228,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-28,SMD-0077,GAIL,NSE:GAIL-EQ,8.73,8.73,8.45,8.51,46176,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-29,SMD-0077,GAIL,NSE:GAIL-EQ,8.61,8.61,8.45,8.45,22560,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-30,SMD-0077,GAIL,NSE:GAIL-EQ,8.44,8.5,8.25,8.35,44130,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-01-31,SMD-0077,GAIL,NSE:GAIL-EQ,8.5,8.56,8.38,8.51,47139,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-01,SMD-0077,GAIL,NSE:GAIL-EQ,8.56,9.53,8.5,9.09,309885,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-04,SMD-0077,GAIL,NSE:GAIL-EQ,9.38,10.18,9.32,9.76,558792,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-05,SMD-0077,GAIL,NSE:GAIL-EQ,10.0,10.36,9.56,10.06,537963,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-06,SMD-0077,GAIL,NSE:GAIL-EQ,10.74,12.0,10.55,10.89,3101847,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-07,SMD-0077,GAIL,NSE:GAIL-EQ,11.19,11.39,9.88,9.98,929550,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-08,SMD-0077,GAIL,NSE:GAIL-EQ,10.0,10.31,9.82,9.93,395655,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-11,SMD-0077,GAIL,NSE:GAIL-EQ,10.3,11.0,10.13,10.28,648516,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-12,SMD-0077,GAIL,NSE:GAIL-EQ,10.31,10.72,10.14,10.18,602160,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-13,SMD-0077,GAIL,NSE:GAIL-EQ,10.03,10.38,9.94,10.01,518592,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-14,SMD-0077,GAIL,NSE:GAIL-EQ,10.25,10.88,10.07,10.44,2809566,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-15,SMD-0077,GAIL,NSE:GAIL-EQ,10.6,11.44,10.45,10.73,3677925,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-18,SMD-0077,GAIL,NSE:GAIL-EQ,11.0,11.0,9.78,10.22,1918701,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-19,SMD-0077,GAIL,NSE:GAIL-EQ,10.47,10.5,10.03,10.12,730464,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-20,SMD-0077,GAIL,NSE:GAIL-EQ,10.0,10.25,9.76,9.82,840768,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-21,SMD-0077,GAIL,NSE:GAIL-EQ,10.1,10.11,9.7,9.76,496677,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-22,SMD-0077,GAIL,NSE:GAIL-EQ,9.78,10.46,9.73,9.81,1559880,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-25,SMD-0077,GAIL,NSE:GAIL-EQ,9.94,9.98,9.2,9.26,905046,FYERS_HISTORY,2026-08-08T23:13:06+05:30
2002-02-26,SMD-0077,GAIL,NSE:GAIL-EQ,9.38,9.8,9.27,9.64,2408163,FYERS_HISTORY,2026-08-08T23:13:06+05:30
