trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0077,GAIL,NSE:GAIL-EQ,68.08,69.86,67.44,67.86,4571232,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2015-12-29,SMD-0077,GAIL,NSE:GAIL-EQ,67.9,69.42,67.86,68.64,3599070,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2015-12-30,SMD-0077,GAIL,NSE:GAIL-EQ,68.9,69.74,68.13,69.03,3496566,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2015-12-31,SMD-0077,GAIL,NSE:GAIL-EQ,68.94,70.86,68.37,70.33,7589649,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-01,SMD-0077,GAIL,NSE:GAIL-EQ,70.27,70.72,69.04,69.33,1733460,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-04,SMD-0077,GAIL,NSE:GAIL-EQ,69.33,70.3,67.23,67.46,2121912,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-05,SMD-0077,GAIL,NSE:GAIL-EQ,67.82,70.22,67.8,69.8,3784260,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-06,SMD-0077,GAIL,NSE:GAIL-EQ,69.74,71.44,69.0,69.88,5330985,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-07,SMD-0077,GAIL,NSE:GAIL-EQ,68.72,70.3,68.6,69.49,4179657,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-08,SMD-0077,GAIL,NSE:GAIL-EQ,70.57,70.57,69.59,69.97,1966443,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-11,SMD-0077,GAIL,NSE:GAIL-EQ,69.69,70.28,68.66,69.25,2254371,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-12,SMD-0077,GAIL,NSE:GAIL-EQ,69.25,70.13,68.44,68.6,2333106,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-13,SMD-0077,GAIL,NSE:GAIL-EQ,68.92,70.22,67.24,68.05,2366313,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-14,SMD-0077,GAIL,NSE:GAIL-EQ,67.65,68.44,66.43,67.04,2060286,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-15,SMD-0077,GAIL,NSE:GAIL-EQ,66.96,67.01,62.55,62.97,4784502,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-18,SMD-0077,GAIL,NSE:GAIL-EQ,62.81,65.84,61.71,63.65,3946596,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-19,SMD-0077,GAIL,NSE:GAIL-EQ,63.81,65.47,63.3,64.3,1673265,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-20,SMD-0077,GAIL,NSE:GAIL-EQ,63.83,65.35,62.44,63.51,2780769,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-21,SMD-0077,GAIL,NSE:GAIL-EQ,64.31,65.59,63.06,63.85,2189043,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-22,SMD-0077,GAIL,NSE:GAIL-EQ,65.1,69.94,64.22,68.8,5306199,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-25,SMD-0077,GAIL,NSE:GAIL-EQ,69.22,69.73,66.33,66.88,4637172,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-27,SMD-0077,GAIL,NSE:GAIL-EQ,66.88,68.01,65.71,67.18,3257883,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-28,SMD-0077,GAIL,NSE:GAIL-EQ,67.53,68.65,65.67,67.69,8964603,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-01-29,SMD-0077,GAIL,NSE:GAIL-EQ,68.06,69.85,67.89,69.11,3252459,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-01,SMD-0077,GAIL,NSE:GAIL-EQ,69.0,69.97,67.06,69.03,2396328,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-02,SMD-0077,GAIL,NSE:GAIL-EQ,68.44,69.1,67.5,67.82,2785353,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-03,SMD-0077,GAIL,NSE:GAIL-EQ,66.66,68.06,65.46,67.52,2270283,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-04,SMD-0077,GAIL,NSE:GAIL-EQ,67.91,69.08,65.06,66.56,4027839,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-05,SMD-0077,GAIL,NSE:GAIL-EQ,66.39,66.56,63.47,64.23,3949947,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-08,SMD-0077,GAIL,NSE:GAIL-EQ,63.7,66.69,63.04,64.42,3871686,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-09,SMD-0077,GAIL,NSE:GAIL-EQ,63.98,66.19,63.53,65.36,5950815,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-10,SMD-0077,GAIL,NSE:GAIL-EQ,64.88,65.47,63.31,64.89,3925395,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-11,SMD-0077,GAIL,NSE:GAIL-EQ,64.85,65.77,61.28,62.27,3879969,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-12,SMD-0077,GAIL,NSE:GAIL-EQ,62.42,62.79,59.04,60.93,5580702,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-15,SMD-0077,GAIL,NSE:GAIL-EQ,61.39,62.99,61.14,62.65,3932415,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-16,SMD-0077,GAIL,NSE:GAIL-EQ,62.65,63.54,60.24,60.48,2244723,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-17,SMD-0077,GAIL,NSE:GAIL-EQ,60.56,61.19,57.72,60.78,3267702,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-18,SMD-0077,GAIL,NSE:GAIL-EQ,61.28,61.88,59.84,60.64,3147390,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-19,SMD-0077,GAIL,NSE:GAIL-EQ,60.38,61.3,58.89,61.1,1171965,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-22,SMD-0077,GAIL,NSE:GAIL-EQ,60.94,61.87,59.65,60.26,1528431,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-23,SMD-0077,GAIL,NSE:GAIL-EQ,60.32,60.94,59.2,59.44,1851630,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-24,SMD-0077,GAIL,NSE:GAIL-EQ,59.06,60.0,58.22,58.83,3697806,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-25,SMD-0077,GAIL,NSE:GAIL-EQ,59.06,59.2,56.72,57.2,5401029,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-26,SMD-0077,GAIL,NSE:GAIL-EQ,57.75,58.13,55.86,57.02,2787756,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-02-29,SMD-0077,GAIL,NSE:GAIL-EQ,57.02,58.46,54.43,57.22,6347334,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-03-01,SMD-0077,GAIL,NSE:GAIL-EQ,57.47,60.66,56.95,60.21,5766759,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-03-02,SMD-0077,GAIL,NSE:GAIL-EQ,60.56,61.77,59.63,60.83,2266761,FYERS_HISTORY,2026-08-08T23:13:12+05:30
2016-03-03,SMD-0077,GAIL,NSE:GAIL-EQ,60.37,65.41,59.25,63.7,5282337,FYERS_HISTORY,2026-08-08T23:13:12+05:30
