trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2019-12-27,SMD-0077,GAIL,NSE:GAIL-EQ,78.87,79.47,78.67,79.03,7823829,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2019-12-30,SMD-0077,GAIL,NSE:GAIL-EQ,79.03,80.3,78.9,79.27,8562608,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2019-12-31,SMD-0077,GAIL,NSE:GAIL-EQ,79.27,81.53,79.2,80.7,20263337,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-01,SMD-0077,GAIL,NSE:GAIL-EQ,80.93,81.2,79.83,80.8,7056749,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-02,SMD-0077,GAIL,NSE:GAIL-EQ,81.0,82.63,80.43,82.37,10121876,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-03,SMD-0077,GAIL,NSE:GAIL-EQ,82.47,85.87,82.47,83.77,32438228,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-06,SMD-0077,GAIL,NSE:GAIL-EQ,83.33,84.17,81.9,82.9,11579768,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-07,SMD-0077,GAIL,NSE:GAIL-EQ,83.27,84.03,82.57,82.97,13948004,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-08,SMD-0077,GAIL,NSE:GAIL-EQ,82.07,83.0,81.83,82.6,5186144,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-09,SMD-0077,GAIL,NSE:GAIL-EQ,82.93,83.6,82.13,82.47,6215268,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-10,SMD-0077,GAIL,NSE:GAIL-EQ,83.4,85.17,82.83,83.57,17004743,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-13,SMD-0077,GAIL,NSE:GAIL-EQ,83.93,86.27,83.27,85.93,16119542,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-14,SMD-0077,GAIL,NSE:GAIL-EQ,86.33,88.53,85.63,86.7,28891929,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-15,SMD-0077,GAIL,NSE:GAIL-EQ,86.9,88.03,85.83,87.77,19602404,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-16,SMD-0077,GAIL,NSE:GAIL-EQ,88.63,88.9,85.57,85.83,22273793,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-17,SMD-0077,GAIL,NSE:GAIL-EQ,84.6,84.93,81.83,84.23,25057451,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-20,SMD-0077,GAIL,NSE:GAIL-EQ,84.0,86.03,83.03,85.2,20108096,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-21,SMD-0077,GAIL,NSE:GAIL-EQ,85.57,86.37,84.2,84.5,15138525,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-22,SMD-0077,GAIL,NSE:GAIL-EQ,84.8,85.27,83.67,83.93,8672330,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-23,SMD-0077,GAIL,NSE:GAIL-EQ,83.8,87.13,83.47,86.43,20400713,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-24,SMD-0077,GAIL,NSE:GAIL-EQ,86.57,87.8,86.1,86.33,15677772,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-27,SMD-0077,GAIL,NSE:GAIL-EQ,86.0,86.33,84.07,84.5,8267969,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-28,SMD-0077,GAIL,NSE:GAIL-EQ,84.67,84.97,83.47,84.1,9915030,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-29,SMD-0077,GAIL,NSE:GAIL-EQ,85.13,85.9,83.73,84.17,16726581,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-30,SMD-0077,GAIL,NSE:GAIL-EQ,84.17,84.5,82.0,82.23,11245056,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-01-31,SMD-0077,GAIL,NSE:GAIL-EQ,82.7,82.93,79.6,80.3,23087168,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-02-01,SMD-0077,GAIL,NSE:GAIL-EQ,81.0,82.63,77.07,78.47,18796730,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-02-03,SMD-0077,GAIL,NSE:GAIL-EQ,76.73,79.67,76.0,76.33,15581640,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-02-04,SMD-0077,GAIL,NSE:GAIL-EQ,76.8,79.5,76.8,79.27,17569478,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-02-05,SMD-0077,GAIL,NSE:GAIL-EQ,79.53,81.0,78.67,80.63,17716976,FYERS_HISTORY,2026-08-08T23:13:14+05:30
2020-02-06,SMD-0077,GAIL,NSE:GAIL-EQ,80.97,82.93,80.93,82.47,12319880,FYERS_HISTORY,2026-08-08T23:13:14+05:30
