trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2022-12-26,SMD-0077,GAIL,NSE:GAIL-EQ,91.5,94.6,90.65,94.4,8024641,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2022-12-27,SMD-0077,GAIL,NSE:GAIL-EQ,94.9,95.3,93.75,95.0,6330028,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2022-12-28,SMD-0077,GAIL,NSE:GAIL-EQ,94.8,96.35,94.25,95.8,9873070,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2022-12-29,SMD-0077,GAIL,NSE:GAIL-EQ,95.1,96.35,94.75,95.95,10702585,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2022-12-30,SMD-0077,GAIL,NSE:GAIL-EQ,96.8,97.3,95.85,96.05,7280552,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-02,SMD-0077,GAIL,NSE:GAIL-EQ,96.5,96.8,95.5,96.6,9433822,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-03,SMD-0077,GAIL,NSE:GAIL-EQ,96.7,97.4,96.4,96.8,6053619,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-04,SMD-0077,GAIL,NSE:GAIL-EQ,97.1,97.6,95.15,95.4,9398653,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-05,SMD-0077,GAIL,NSE:GAIL-EQ,95.9,97.5,95.15,97.35,12382060,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-06,SMD-0077,GAIL,NSE:GAIL-EQ,97.7,98.75,96.85,97.25,14032853,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-09,SMD-0077,GAIL,NSE:GAIL-EQ,97.95,98.95,97.85,98.45,12464665,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-10,SMD-0077,GAIL,NSE:GAIL-EQ,98.0,98.95,97.5,98.1,9211811,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-11,SMD-0077,GAIL,NSE:GAIL-EQ,98.1,98.5,97.0,97.3,9737047,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-12,SMD-0077,GAIL,NSE:GAIL-EQ,97.5,97.8,96.7,96.8,7831578,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-13,SMD-0077,GAIL,NSE:GAIL-EQ,96.1,97.3,95.25,96.1,9641316,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-16,SMD-0077,GAIL,NSE:GAIL-EQ,96.4,97.1,95.8,96.9,4621698,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-17,SMD-0077,GAIL,NSE:GAIL-EQ,96.95,97.7,96.75,97.45,7321828,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-18,SMD-0077,GAIL,NSE:GAIL-EQ,97.45,97.8,96.9,97.25,9417195,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-19,SMD-0077,GAIL,NSE:GAIL-EQ,97.75,97.9,96.75,97.6,6384333,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-20,SMD-0077,GAIL,NSE:GAIL-EQ,97.6,99.2,97.4,99.0,13615997,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-23,SMD-0077,GAIL,NSE:GAIL-EQ,100.0,102.85,99.6,102.25,28390308,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-24,SMD-0077,GAIL,NSE:GAIL-EQ,102.75,102.75,101.6,102.0,8583670,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-25,SMD-0077,GAIL,NSE:GAIL-EQ,102.0,102.0,99.55,100.9,12007717,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-27,SMD-0077,GAIL,NSE:GAIL-EQ,101.7,102.65,97.9,99.15,13064056,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-30,SMD-0077,GAIL,NSE:GAIL-EQ,99.25,99.9,91.85,94.95,29985336,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-01-31,SMD-0077,GAIL,NSE:GAIL-EQ,94.0,97.8,94.0,95.15,24892166,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-01,SMD-0077,GAIL,NSE:GAIL-EQ,95.5,98.0,95.0,96.05,19042474,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-02,SMD-0077,GAIL,NSE:GAIL-EQ,95.5,96.4,93.45,93.9,17726153,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-03,SMD-0077,GAIL,NSE:GAIL-EQ,94.25,94.3,91.05,92.8,18191035,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-06,SMD-0077,GAIL,NSE:GAIL-EQ,92.9,95.1,92.2,94.85,14907237,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-07,SMD-0077,GAIL,NSE:GAIL-EQ,95.0,96.25,94.5,96.0,8686792,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-08,SMD-0077,GAIL,NSE:GAIL-EQ,96.0,96.4,95.05,95.8,5763070,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-09,SMD-0077,GAIL,NSE:GAIL-EQ,96.3,96.3,94.7,95.85,6065233,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-10,SMD-0077,GAIL,NSE:GAIL-EQ,95.85,96.25,94.85,95.85,9527603,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-13,SMD-0077,GAIL,NSE:GAIL-EQ,95.85,96.5,95.35,95.75,5275322,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-14,SMD-0077,GAIL,NSE:GAIL-EQ,95.8,96.05,94.3,95.4,7505908,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-15,SMD-0077,GAIL,NSE:GAIL-EQ,95.3,95.65,94.5,95.3,6887911,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-16,SMD-0077,GAIL,NSE:GAIL-EQ,95.5,96.25,95.35,95.95,5800257,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-17,SMD-0077,GAIL,NSE:GAIL-EQ,95.75,96.85,95.25,96.0,19937435,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-20,SMD-0077,GAIL,NSE:GAIL-EQ,96.4,96.4,95.3,95.7,12837565,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-21,SMD-0077,GAIL,NSE:GAIL-EQ,96.35,96.35,95.05,95.3,8240973,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-22,SMD-0077,GAIL,NSE:GAIL-EQ,94.95,96.0,93.15,95.55,9721273,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-23,SMD-0077,GAIL,NSE:GAIL-EQ,97.05,99.15,96.25,98.05,38462809,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-24,SMD-0077,GAIL,NSE:GAIL-EQ,98.5,103.95,98.25,103.45,45176952,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-27,SMD-0077,GAIL,NSE:GAIL-EQ,103.85,106.2,103.15,104.15,27802826,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-02-28,SMD-0077,GAIL,NSE:GAIL-EQ,104.15,104.2,102.3,102.65,17617907,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-01,SMD-0077,GAIL,NSE:GAIL-EQ,102.2,103.55,102.15,103.4,7012524,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-02,SMD-0077,GAIL,NSE:GAIL-EQ,103.15,103.95,102.45,103.05,9586771,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-03,SMD-0077,GAIL,NSE:GAIL-EQ,104.65,106.6,104.05,105.25,27232148,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-06,SMD-0077,GAIL,NSE:GAIL-EQ,106.0,109.5,105.75,109.05,35771465,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-08,SMD-0077,GAIL,NSE:GAIL-EQ,109.7,112.8,109.35,111.25,27568928,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-09,SMD-0077,GAIL,NSE:GAIL-EQ,111.45,111.8,108.4,108.65,16240893,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-10,SMD-0077,GAIL,NSE:GAIL-EQ,108.0,111.6,107.8,111.05,24574077,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-13,SMD-0077,GAIL,NSE:GAIL-EQ,112.0,112.45,109.85,110.2,24579514,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-14,SMD-0077,GAIL,NSE:GAIL-EQ,111.05,111.3,109.4,110.0,23328812,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-15,SMD-0077,GAIL,NSE:GAIL-EQ,111.4,111.5,108.75,109.05,14237757,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-16,SMD-0077,GAIL,NSE:GAIL-EQ,109.4,112.15,107.8,109.55,26757814,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-17,SMD-0077,GAIL,NSE:GAIL-EQ,110.15,111.7,109.4,110.15,21251193,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-20,SMD-0077,GAIL,NSE:GAIL-EQ,110.15,111.3,108.85,109.8,23234444,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-21,SMD-0077,GAIL,NSE:GAIL-EQ,106.0,107.6,104.4,105.1,26605735,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-22,SMD-0077,GAIL,NSE:GAIL-EQ,105.5,107.85,102.9,105.4,36125531,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-23,SMD-0077,GAIL,NSE:GAIL-EQ,105.25,105.65,101.9,105.1,16318256,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-24,SMD-0077,GAIL,NSE:GAIL-EQ,104.9,105.6,102.95,103.5,10924642,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-27,SMD-0077,GAIL,NSE:GAIL-EQ,102.75,104.25,102.35,103.9,9550049,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-28,SMD-0077,GAIL,NSE:GAIL-EQ,103.9,104.5,103.25,104.15,7814715,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-29,SMD-0077,GAIL,NSE:GAIL-EQ,104.15,106.2,104.0,105.5,10745581,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-03-31,SMD-0077,GAIL,NSE:GAIL-EQ,105.75,107.0,104.85,105.15,15641500,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-03,SMD-0077,GAIL,NSE:GAIL-EQ,105.45,106.95,104.9,105.45,11147157,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-05,SMD-0077,GAIL,NSE:GAIL-EQ,105.75,106.2,104.3,105.4,6305668,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-06,SMD-0077,GAIL,NSE:GAIL-EQ,105.05,105.75,104.3,105.45,7249613,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-10,SMD-0077,GAIL,NSE:GAIL-EQ,106.0,106.95,105.35,105.95,8306845,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-11,SMD-0077,GAIL,NSE:GAIL-EQ,106.0,107.1,105.55,106.05,8331690,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-12,SMD-0077,GAIL,NSE:GAIL-EQ,106.05,108.85,105.8,108.6,14151790,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-13,SMD-0077,GAIL,NSE:GAIL-EQ,111.0,111.0,107.1,108.15,15062407,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-17,SMD-0077,GAIL,NSE:GAIL-EQ,108.15,110.6,107.55,110.1,11580594,FYERS_HISTORY,2026-08-08T23:13:16+05:30
2023-04-18,SMD-0077,GAIL,NSE:GAIL-EQ,109.3,110.6,109.05,109.5,9664860,FYERS_HISTORY,2026-08-08T23:13:16+05:30
