trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,9.35,9.55,9.25,9.46,7606,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-01,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,9.5,9.9,9.35,9.38,6053,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-02,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,9.25,9.94,9.25,9.75,9928,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-03,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,9.9,10.6,9.9,10.28,17445,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-04,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.45,10.5,10.25,10.31,10454,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-07,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.4,10.55,10.25,10.36,6579,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-08,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.33,10.5,10.25,10.46,7124,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-09,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.3,10.55,10.13,10.24,11668,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-10,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.0,10.15,9.95,10.11,2640,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-11,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.1,10.2,9.76,9.93,5183,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-14,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.25,10.48,10.25,10.45,3280,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-15,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.23,10.5,10.23,10.42,4029,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-16,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.33,10.45,10.11,10.28,2586,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-17,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,9.9,10.5,9.9,10.42,5523,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-18,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,10.46,10.95,10.43,10.78,16120,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-21,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.2,11.75,11.0,11.22,9288,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-22,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.25,11.25,11.1,11.16,4638,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-23,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.25,11.69,11.01,11.29,14637,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-24,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.35,12.9,11.35,12.73,49419,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-25,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,13.0,13.2,11.8,11.96,24075,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-28,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.65,12.65,11.56,11.84,5384,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-29,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.88,11.88,11.1,11.24,6916,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-30,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.54,11.54,11.04,11.09,5182,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-01-31,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.2,11.75,11.2,11.63,5681,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-01,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.61,11.74,11.5,11.57,4848,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-04,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.09,12.43,11.31,12.19,14779,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-05,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.2,13.0,12.2,12.52,13467,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-06,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,11.6,13.5,11.6,13.12,24529,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-07,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.7,13.19,12.7,13.04,9466,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-08,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.86,12.9,12.8,12.86,7987,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-11,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,13.1,13.1,12.85,12.87,5049,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-12,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,13.1,13.45,12.82,12.87,5912,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-13,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.88,12.98,12.8,12.85,5344,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-14,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.74,12.9,12.62,12.84,3729,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-15,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.81,12.82,12.4,12.8,10041,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-18,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.95,13.0,12.39,12.5,38848,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-19,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,15.0,15.0,11.76,11.96,12311,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-20,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.25,12.25,11.85,11.9,6058,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-21,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.2,12.25,11.51,12.06,10391,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-22,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.2,13.0,12.0,12.9,78673,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-25,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.95,13.0,12.36,12.43,5048,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-26,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.46,12.65,12.11,12.32,23343,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-27,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.06,12.5,12.05,12.09,14889,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-02-28,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.11,12.25,12.1,12.17,7601,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-03-01,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.0,12.25,11.85,12.19,3461,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-03-04,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.03,12.9,11.6,12.71,8328,FYERS_HISTORY,2026-08-08T23:13:19+05:30
2002-03-05,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,12.5,12.7,12.16,12.49,13474,FYERS_HISTORY,2026-08-08T23:13:19+05:30
