trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2012-12-28,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,536.0,541.8,531.75,534.9,463770,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2012-12-31,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,531.05,538.4,526.5,528.55,287978,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-01,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,530.0,546.0,530.0,538.65,401366,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-02,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,544.3,548.6,532.55,535.0,306805,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-03,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,535.0,544.55,532.1,537.3,368409,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-04,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,540.05,540.2,523.0,524.5,355351,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-07,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,524.5,530.3,520.05,521.95,566703,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-08,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,525.65,544.8,523.65,542.8,1014410,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-09,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,545.0,552.0,541.05,544.5,649553,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-10,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,544.0,548.8,528.0,530.5,312840,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-11,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,532.05,534.3,509.8,511.4,621754,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-14,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,511.05,516.75,501.0,506.8,831528,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-15,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,507.5,512.8,503.2,510.6,255358,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-16,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,511.85,520.5,510.6,514.55,342395,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-17,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,515.0,522.0,473.9,515.2,222392,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-18,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,517.0,519.9,501.0,507.0,214347,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-21,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,511.95,511.95,490.0,491.8,361160,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-22,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,491.8,506.5,482.75,484.75,700869,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-23,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,486.8,495.0,481.6,484.4,390822,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-24,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,485.6,489.75,471.1,480.65,499618,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-25,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,481.2,515.5,480.05,514.95,1917129,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-28,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,517.15,534.8,500.25,504.1,648363,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-29,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,509.75,520.25,496.3,502.6,737461,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-30,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,530.0,535.0,485.0,497.35,3145621,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-01-31,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,500.0,508.7,491.45,502.5,896153,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-01,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,504.85,516.45,503.3,514.95,2262641,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-04,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,516.7,519.65,507.25,514.1,722544,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-05,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,514.1,515.0,508.65,511.9,427617,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-06,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,514.0,515.0,499.0,503.3,290357,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-07,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,505.0,509.5,493.4,495.75,163141,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-08,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,498.5,499.7,485.3,494.35,400108,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-11,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,493.9,493.95,482.5,490.15,142187,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-12,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,490.05,504.0,490.0,502.65,245200,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-13,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,504.9,509.5,504.55,507.05,278827,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-14,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,514.95,514.95,500.7,501.75,231830,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-15,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,502.1,504.0,491.0,495.8,298565,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-18,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,496.05,503.75,494.0,500.4,200887,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-19,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,502.85,518.9,501.25,510.85,569983,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-20,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,512.95,512.95,496.25,499.15,695864,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-21,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,499.95,504.45,495.0,501.8,643987,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-22,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,508.85,512.1,503.05,509.0,1474064,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-25,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,513.0,514.65,503.0,508.95,608913,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-26,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,512.25,512.25,498.1,509.2,190592,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-27,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,511.0,511.0,501.0,508.15,142946,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-02-28,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,510.4,513.85,492.65,501.65,123115,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-01,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,501.7,508.5,496.3,499.5,763568,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-04,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,501.25,506.5,492.15,498.85,783270,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-05,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,504.55,504.6,484.2,494.45,528120,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-06,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,495.15,506.65,495.1,504.95,674867,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-07,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,502.7,508.5,499.75,505.25,1218951,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-08,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,505.25,510.9,500.0,507.8,435773,FYERS_HISTORY,2026-08-08T23:13:24+05:30
2013-03-11,SMD-0078,GLENMARK,NSE:GLENMARK-EQ,508.1,509.0,497.3,502.35,504433,FYERS_HISTORY,2026-08-08T23:13:24+05:30
