trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.55,20.0,18.9,19.05,46364487,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2017-12-28,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.15,20.7,19.05,20.25,148227908,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2017-12-29,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,20.9,22.8,20.7,22.45,187536370,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-01,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.7,23.55,22.15,22.3,104419392,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-02,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.5,22.9,20.95,21.65,88236346,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-03,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.55,22.3,21.45,21.8,46683517,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-04,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.95,22.05,20.95,21.05,53266055,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-05,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.2,21.65,21.0,21.2,36937018,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-08,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.35,22.75,21.1,22.0,78370420,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-09,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.15,22.25,21.0,21.2,48250453,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-10,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.25,22.6,21.25,22.3,66971505,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-11,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.5,22.75,21.6,21.75,58798350,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-12,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.7,21.95,20.6,21.0,60645340,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-15,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.3,22.35,21.1,22.1,73298480,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-16,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.3,23.6,21.85,22.5,142090074,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-17,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.85,24.4,22.35,24.1,240175549,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-18,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,24.4,25.05,22.3,22.75,169390298,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-19,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.9,23.35,22.15,22.65,68548824,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-22,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.7,23.45,22.55,22.95,44668065,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-23,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,23.3,24.25,23.25,23.85,100158161,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-24,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,23.95,24.15,23.0,23.1,62787090,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-25,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,23.35,23.4,22.35,22.75,55849465,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-29,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.75,23.45,22.5,22.7,50120454,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-30,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.55,22.75,21.9,22.05,31148955,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-01-31,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.0,22.5,21.55,21.75,40644926,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-01,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,21.8,23.9,21.05,22.75,104502685,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-02,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,22.4,22.4,17.7,19.25,147724280,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-05,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.8,20.4,18.15,20.15,85508428,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-06,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.2,19.7,18.2,19.35,70024411,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-07,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.8,20.2,19.0,19.1,60140779,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-08,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.1,19.7,19.0,19.35,34267301,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-09,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.0,19.9,18.55,19.55,34887960,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-12,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.85,20.55,19.65,20.05,47674295,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-14,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.85,20.3,19.5,19.75,34448807,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-15,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.7,19.8,18.35,18.7,33112402,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-16,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.9,19.1,18.15,18.3,35450986,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-19,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.45,18.6,17.3,17.85,35137702,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-20,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.6,18.35,17.5,17.65,29562111,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-21,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.75,17.95,17.2,17.3,30344685,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-22,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.25,17.9,17.25,17.55,47791835,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-23,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.7,19.0,17.6,18.75,52498421,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-26,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.5,19.5,18.75,19.05,31685841,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-27,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,19.2,19.2,18.6,18.75,28062254,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-02-28,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.6,19.4,18.45,18.95,37442931,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-01,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.9,19.2,18.5,18.6,22049883,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-05,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.65,18.85,18.0,18.55,27905362,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-06,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.75,18.9,17.65,18.0,28155206,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-07,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.95,18.15,17.2,17.35,40740419,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-08,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.5,17.75,16.8,17.35,30889805,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-09,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.3,17.5,17.0,17.1,25653611,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-12,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.3,17.6,16.75,17.45,30564825,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-13,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.3,17.75,17.2,17.55,26497276,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-14,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.45,18.2,17.35,18.0,25571906,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-15,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.95,18.65,17.9,18.45,35692847,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-16,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.6,18.75,17.7,17.95,39638989,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-19,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.2,18.3,17.45,17.6,32078964,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-20,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.55,18.0,17.35,17.8,21469293,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-21,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.95,18.15,17.75,17.95,19977742,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-22,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.95,18.1,17.3,17.5,27826430,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-23,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.0,17.15,16.3,16.7,43483709,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-26,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,16.85,17.1,16.5,17.0,34536640,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-27,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.25,17.7,17.15,17.55,26458501,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-03-28,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.45,17.6,16.7,16.85,66083753,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-04-02,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.25,17.5,17.05,17.45,17923895,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-04-03,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,17.25,18.7,17.2,18.55,40334764,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-04-04,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.55,19.25,18.1,18.25,52159069,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-04-05,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.8,19.1,18.65,18.85,29043547,FYERS_HISTORY,2026-08-08T23:13:41+05:30
2018-04-06,SMD-0079,GMRAIRPORT,NSE:GMRAIRPORT-EQ,18.8,20.25,18.6,20.1,115627842,FYERS_HISTORY,2026-08-08T23:13:41+05:30
