trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,279.98,333.23,277.17,333.23,2842524,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2016-12-28,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,346.67,367.77,338.15,341.93,3150657,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2016-12-29,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,343.23,343.67,323.83,337.53,1398573,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2016-12-30,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,338.3,352.77,335.17,340.63,954981,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-02,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,337.67,347.8,335.67,338.03,402240,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-03,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,341.48,347.92,335.45,342.58,339186,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-04,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,343.33,359.87,342.07,354.37,1181793,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-05,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,358.63,364.88,348.8,351.38,567204,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-06,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,352.03,355.0,340.33,344.68,215961,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-09,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,346.67,350.93,337.67,345.4,159615,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-10,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,345.83,365.67,341.37,355.52,1100859,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-11,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,356.55,358.67,348.35,351.27,216339,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-12,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.67,364.32,350.67,355.83,530517,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-13,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,358.33,362.67,353.67,356.17,294330,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-16,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,352.33,358.33,349.68,350.83,155892,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-17,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,352.33,356.08,348.33,349.45,188088,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-18,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.67,361.67,345.03,352.6,569268,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-19,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,345.03,356.62,345.03,349.57,141903,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-20,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.37,352.6,340.67,342.88,151848,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-23,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,344.98,355.0,342.67,348.18,226698,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-24,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.0,356.67,348.4,351.3,334731,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-25,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.82,356.23,347.33,350.48,161121,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-27,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.0,355.92,348.33,349.98,145905,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-30,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.33,353.33,341.67,343.53,118197,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-01-31,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,344.67,346.4,335.42,336.9,152589,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-01,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,337.23,351.32,325.2,341.65,859932,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-02,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,342.67,354.33,342.67,347.43,489183,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-03,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,363.0,372.67,355.0,356.98,840864,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-06,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,358.33,364.13,350.03,353.45,198516,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-07,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,354.53,364.0,350.7,354.57,250656,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-08,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,354.67,361.27,353.0,357.97,226404,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-09,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,358.4,360.92,350.0,354.22,164655,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-10,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,354.78,357.63,348.67,350.15,102669,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-13,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.37,357.33,348.72,352.37,183399,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-14,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,353.33,355.0,345.03,347.92,79569,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-15,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,351.67,351.67,340.13,340.88,120018,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-16,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,341.35,346.0,338.33,340.98,102924,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-17,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,344.63,353.33,341.68,347.53,257640,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-20,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,348.33,351.2,345.7,347.0,87342,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-21,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,340.68,350.0,340.68,345.73,161898,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-22,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,349.33,350.03,341.7,344.08,78045,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-23,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,344.08,347.98,342.42,345.25,139149,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-27,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,345.0,347.67,342.42,345.8,125826,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-02-28,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,345.8,355.0,343.33,345.5,216330,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-01,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,346.67,353.33,346.67,350.47,187188,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-02,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,350.72,352.67,341.67,342.62,110655,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-03,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,342.67,343.33,337.33,339.03,89040,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-06,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,341.67,341.67,335.08,336.62,123114,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-07,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,336.33,339.97,331.0,332.92,94542,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-08,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,334.93,339.77,330.67,332.72,123822,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-09,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,333.25,339.53,330.72,335.17,100392,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-10,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,336.67,341.53,334.97,340.4,144441,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-14,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,343.33,363.02,343.33,359.08,671553,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-15,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,360.33,426.0,360.02,419.57,4736235,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-16,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,423.33,437.33,423.33,428.05,1956366,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-17,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,428.05,448.33,427.33,434.47,1905744,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-20,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,434.23,436.33,411.73,415.98,461910,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-21,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,418.92,425.0,406.67,409.62,396372,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-22,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,407.67,407.67,390.83,392.68,374406,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-23,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,394.85,403.33,391.8,393.7,229788,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-24,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,393.67,403.33,389.0,392.27,312087,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-27,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,393.33,394.97,368.9,372.6,323931,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-28,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,375.0,408.47,372.67,394.75,2165334,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-29,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,393.67,395.63,378.7,380.43,518646,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-30,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,383.33,389.33,378.78,380.95,245652,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-03-31,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,384.67,386.32,376.57,377.7,154647,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-04-03,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,390.02,403.33,383.5,386.0,895596,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-04-05,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,386.0,395.0,379.45,382.8,334179,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-04-06,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,378.35,386.0,378.35,379.72,135921,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-04-07,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,380.67,395.0,379.02,380.78,442785,FYERS_HISTORY,2026-08-08T23:13:52+05:30
2017-04-10,SMD-0080,GODFRYPHLP,NSE:GODFRYPHLP-EQ,383.98,386.67,377.35,379.6,150516,FYERS_HISTORY,2026-08-08T23:13:52+05:30
