trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2005-12-30,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,42.32,44.03,40.4,43.28,1633,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-02,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,43.24,43.97,43.23,43.52,1574,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-03,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,43.39,43.72,42.73,43.14,1052,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-04,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,44.05,44.54,42.73,43.31,1952,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-05,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,43.14,43.56,43.02,43.56,7909,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-06,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,43.14,43.72,43.06,43.56,1414,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-09,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,43.47,45.36,43.47,45.06,3157,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-10,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.94,46.76,45.04,45.55,4471,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-12,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.61,45.94,44.54,45.64,1545,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-13,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.61,46.26,44.68,44.87,1225,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-16,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,44.52,45.2,43.8,44.58,3130,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-17,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,44.54,45.0,43.97,44.15,17307,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-18,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,48.08,48.08,43.09,45.44,2628,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-19,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.44,46.66,45.04,45.04,1253,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-20,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.12,45.69,44.87,45.27,1075,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-23,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,46.35,47.62,46.03,46.47,3963,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-24,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.58,48.32,46.02,46.17,2589,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-25,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,46.17,48.9,46.17,46.49,2053,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-27,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.58,47.58,45.2,45.5,2309,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-30,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.94,46.42,44.25,44.51,974,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-01-31,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,44.5,46.21,44.46,45.82,2117,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-01,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.19,46.17,44.87,45.3,2821,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-02,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,44.89,45.93,44.89,45.59,1955,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-03,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.04,45.24,44.06,44.96,1389,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-06,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,45.11,45.2,44.38,44.97,1922,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-07,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,46.02,47.25,46.02,47.2,6255,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-08,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.2,47.2,46.1,46.26,1131,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-10,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.17,48.07,46.19,46.52,2177,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-13,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,46.52,47.66,46.02,47.49,3165,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-14,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.66,47.66,46.1,46.88,1277,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-15,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.25,49.72,46.43,48.76,5987,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-16,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,48.65,50.15,48.49,49.63,8529,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-17,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,50.54,51.61,50.21,50.79,5742,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-20,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,49.72,49.72,47.25,49.11,9608,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-21,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,49.23,50.05,48.49,48.79,1607,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-22,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,48.82,49.23,48.08,48.28,1084,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-23,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,47.67,49.32,47.67,48.03,1845,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-24,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,49.72,50.76,48.73,50.17,5157,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-27,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,50.13,50.64,49.24,49.61,2920,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-02-28,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,50.13,53.34,49.72,51.6,8932,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-01,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,51.77,53.0,51.77,52.55,4185,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-02,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.91,53.91,51.77,52.28,1841,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-03,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.21,53.21,51.36,51.65,1775,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-06,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.09,53.42,52.18,53.14,3324,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-07,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,52.6,54.16,52.6,53.65,4035,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-08,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,54.16,62.21,54.07,55.7,11779,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-09,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,59.46,59.46,53.01,53.38,20210,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-10,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.42,55.39,52.6,52.88,10303,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-13,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.82,53.83,51.21,51.51,3059,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-14,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,52.6,53.0,51.36,52.03,8356,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-16,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.08,53.42,51.8,52.3,4423,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-17,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.34,53.34,51.78,52.31,3107,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-20,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,52.99,53.38,52.35,53.16,3217,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-21,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,52.92,53.25,52.6,52.72,10655,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-22,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,52.44,53.42,52.44,53.18,3437,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-23,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.42,55.06,53.01,54.42,3113,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-24,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,52.49,54.61,52.49,53.63,1791,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-27,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,55.05,55.05,53.42,53.88,37693,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-28,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,55.39,55.39,53.09,53.47,2822,FYERS_HISTORY,2026-08-08T23:14:00+05:30
2006-03-29,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,53.83,53.83,52.6,53.43,2904,FYERS_HISTORY,2026-08-08T23:14:00+05:30
