trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2014-12-29,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,318.33,323.0,316.65,317.45,8883,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2014-12-30,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,316.67,321.33,315.22,318.38,7904,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2014-12-31,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,320.0,327.95,316.67,324.27,17003,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-01,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,323.33,331.63,321.33,321.97,11260,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-02,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,321.97,330.0,321.67,323.37,8958,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-05,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,325.0,327.0,320.63,323.48,13771,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-06,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,325.0,325.0,316.42,317.33,27453,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-07,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,317.37,321.67,316.7,320.05,21725,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-08,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,321.67,335.57,320.78,330.05,75571,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-09,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,332.67,349.67,330.83,341.18,89682,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-12,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,343.0,355.9,341.67,352.95,50101,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-13,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,352.67,362.15,351.2,360.38,31405,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-14,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,364.67,364.67,358.7,361.82,47077,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-15,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,364.02,365.18,354.0,356.43,73632,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-16,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,357.67,380.4,357.67,375.13,83552,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-19,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,378.22,378.33,355.47,364.68,17081,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-20,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,369.67,369.67,351.7,360.65,46188,FYERS_HISTORY,2026-08-08T23:14:04+05:30
2015-01-21,SMD-0081,GODREJCP,NSE:GODREJCP-EQ,360.0,367.67,356.67,365.12,45216,FYERS_HISTORY,2026-08-08T23:14:04+05:30
