trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2016-12-27,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,294.95,305.0,292.5,301.6,1079494,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2016-12-28,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,304.5,305.7,299.45,302.15,1018398,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2016-12-29,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,302.95,305.8,300.65,305.1,29222,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2016-12-30,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,305.0,309.1,302.0,303.2,32514,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-02,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,307.9,315.85,305.2,313.7,77550,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-03,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,309.95,327.2,309.95,321.2,81665,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-04,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,318.5,331.0,318.5,323.65,137174,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-05,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,329.0,330.7,322.05,325.0,91144,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-06,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,326.8,328.75,315.0,316.15,34285,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-09,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,318.85,326.0,313.4,322.75,31199,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-10,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,324.65,329.0,319.5,321.7,41288,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-11,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,323.9,328.4,320.15,326.15,28175,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-12,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,328.8,340.85,323.5,335.05,141319,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-13,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,335.0,335.95,327.3,331.7,37344,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-16,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,331.7,336.95,331.0,335.25,28351,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-17,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,337.0,339.0,333.95,336.55,37125,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-18,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,337.95,337.95,334.8,335.6,23960,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-19,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,335.05,335.6,328.25,330.35,26819,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-20,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,329.0,335.7,325.35,328.0,38643,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-23,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,325.3,330.5,322.4,325.35,28186,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-24,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,326.0,327.05,322.5,323.55,32199,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-25,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,327.4,327.4,322.1,323.45,33841,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-27,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,324.9,339.4,324.9,335.5,91422,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-30,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,332.35,336.8,328.15,329.75,36200,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-01-31,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,330.0,334.0,328.5,330.65,24964,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-02-01,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,333.3,350.0,330.7,348.75,299745,FYERS_HISTORY,2026-08-08T23:14:21+05:30
2017-02-02,SMD-0082,GODREJPROP,NSE:GODREJPROP-EQ,350.0,388.0,349.5,372.3,1728506,FYERS_HISTORY,2026-08-08T23:14:21+05:30
