trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-12-31,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.56,1.56,1.56,1.56,2010,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.5,1.5,2030,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-02,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.32,1.47,2090,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-03,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.38,1.5,2095,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.63,1.56,1.57,2230,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-07,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.6,1.61,2060,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.65,1.65,1.53,1.53,2120,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-09,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.43,1.55,2491,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-10,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.43,1.44,2280,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.54,1.54,1.48,1.48,2170,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-14,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.56,1.56,1.53,1.54,2070,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-15,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.61,1.61,1.54,1.61,2071,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-16,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.54,1.56,2055,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-17,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.5,1.56,2315,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.54,1.56,2200,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.53,1.53,2315,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.55,1.57,2050,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-23,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.53,1.53,2100,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-24,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.54,1.55,2120,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.55,1.56,2140,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.63,1.63,1.5,1.56,2090,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-29,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.56,2165,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-30,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.56,1.56,2021,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-01-31,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.56,1.56,2015,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-01,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.5,2326,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-04,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.51,2233,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-05,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.54,2167,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-06,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.56,2224,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-07,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.55,2210,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-08,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.52,2055,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-11,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.51,1.55,150,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-12,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.5,2060,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-13,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.53,1.54,2035,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-14,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.54,1.56,2040,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-15,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.51,1.52,2121,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-18,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.53,1.56,80,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-19,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.53,1.56,2210,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-20,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.54,1.56,2060,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-21,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.56,1.57,2010,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-22,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.56,1.56,2020,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-25,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.57,1.57,1.5,1.55,2095,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-26,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.5,1.53,2395,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-27,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.6,1.6,1.54,1.54,2660,FYERS_HISTORY,2026-08-08T23:15:12+05:30
2002-02-28,SMD-0087,HAVELLS,NSE:HAVELLS-EQ,1.59,1.59,1.53,1.53,2050,FYERS_HISTORY,2026-08-08T23:15:12+05:30
