trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,443.0,445.8,440.28,441.83,801620,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2017-12-28,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,441.0,445.43,437.8,439.15,2319726,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2017-12-29,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,439.15,450.88,437.5,445.25,3093850,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-01,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,444.5,445.35,437.98,439.35,1286288,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-02,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,438.45,447.5,438.43,446.4,1906518,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-03,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,446.5,453.9,446.5,448.65,2583906,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-04,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,448.0,449.73,441.53,446.55,1193460,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-05,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,444.13,451.5,441.15,450.03,1492292,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-08,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,450.08,451.7,447.55,450.25,2353168,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-09,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,450.25,451.43,442.5,446.93,2504270,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-10,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,446.0,459.0,445.55,457.93,3400572,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-11,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,459.5,462.45,455.03,458.45,4243446,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-12,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,459.25,464.0,456.13,462.95,1980698,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-15,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,462.5,465.55,452.75,454.63,2536486,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-16,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,457.05,477.5,455.0,474.63,8963404,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-17,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,475.0,481.8,471.65,476.43,5498922,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-18,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,476.5,479.83,470.25,477.13,1869500,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-19,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,478.5,483.5,473.08,479.15,4748438,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-22,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,480.0,487.45,472.5,483.18,4431318,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-23,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,484.98,500.0,484.28,497.68,5015202,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-24,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,497.0,520.35,496.0,509.23,9269776,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-25,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,509.4,510.0,495.03,504.78,5307454,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-29,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,505.0,510.5,502.53,506.03,4013296,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-30,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,508.75,508.75,499.0,500.2,2711352,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-01-31,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,499.98,508.95,490.85,493.28,3221144,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-01,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,491.05,507.48,484.5,492.45,3055658,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-02,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,490.0,503.85,488.93,495.45,3345056,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-05,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,495.0,500.9,490.0,496.58,2177578,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-06,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,482.48,484.38,474.03,476.93,3310994,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-07,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,479.1,479.5,461.0,469.28,4051696,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-08,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,472.88,481.5,468.75,472.18,2896536,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-09,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,467.5,485.3,461.28,482.0,3456506,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-12,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,482.75,486.38,468.68,469.58,2975588,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-14,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,469.9,479.9,465.15,468.9,2889532,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-15,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,472.0,474.83,466.0,469.85,2281842,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-16,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,472.5,485.48,465.5,468.55,5698140,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-19,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,468.93,469.85,450.05,457.1,2925546,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-20,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,458.0,462.6,452.5,453.73,2462802,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-21,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,459.0,473.9,456.0,471.45,5569512,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-22,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,471.5,481.5,465.78,470.5,8186574,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-23,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,474.45,483.95,471.45,477.8,5675166,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-26,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,477.95,482.55,471.53,473.03,2112112,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-27,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,476.5,479.3,472.0,474.95,2879428,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-02-28,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,477.45,479.18,467.9,470.15,5119548,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-01,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,471.9,476.23,469.0,471.4,2772230,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-05,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,471.4,472.33,458.9,466.05,3747704,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-06,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,469.0,476.5,463.25,466.4,2929756,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-07,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,469.0,476.4,466.9,474.78,5695220,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-08,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,476.5,482.0,472.78,475.33,4238350,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-09,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,475.0,477.93,470.0,471.5,1464728,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-12,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,475.0,488.0,474.5,483.83,4946236,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-13,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,483.83,484.5,472.8,478.5,2513508,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-14,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,481.0,484.08,480.0,482.53,2354082,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-15,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,484.0,486.3,477.63,479.58,2590154,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-16,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,480.0,489.78,473.53,483.8,9482072,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-19,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,481.35,481.8,460.5,463.25,3318748,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-20,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,462.5,473.88,457.8,468.6,3707786,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-21,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,472.5,474.95,463.23,468.68,3818980,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-22,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,470.5,474.45,462.5,465.28,3095286,FYERS_HISTORY,2026-08-08T23:15:34+05:30
2018-03-23,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,452.5,480.28,451.78,478.7,5478072,FYERS_HISTORY,2026-08-08T23:15:34+05:30
