trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,925.0,927.5,913.5,921.8,3884750,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2020-12-29,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,929.0,945.0,925.25,935.9,6760167,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2020-12-30,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,938.0,950.0,931.0,940.7,6382809,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2020-12-31,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,939.05,949.85,935.0,946.15,3468390,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-01,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,942.0,955.5,942.0,950.5,3142822,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-04,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,959.0,984.7,952.65,980.4,5259092,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-05,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,967.2,995.8,967.2,991.35,7150252,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-06,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,997.9,998.0,966.1,978.2,5995748,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-07,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,988.0,988.2,959.4,962.55,5261000,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-08,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,974.9,1003.5,970.0,994.65,8034775,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-11,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,1015.0,1059.05,1008.0,1055.1,13384331,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-12,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,1052.0,1065.05,1038.7,1062.1,6700542,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-13,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,1064.0,1067.0,1041.0,1055.95,6691409,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-14,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,1049.0,1049.0,1006.6,1027.7,15021108,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-15,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,1047.65,1052.85,984.0,989.8,23769415,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-18,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,1000.0,1004.95,976.9,981.5,12947569,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-19,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,988.0,997.0,979.35,983.85,6387923,FYERS_HISTORY,2026-08-08T23:15:36+05:30
2021-01-20,SMD-0088,HCLTECH,NSE:HCLTECH-EQ,991.75,1009.65,987.55,999.25,7444118,FYERS_HISTORY,2026-08-08T23:15:36+05:30
