trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2018-12-27,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,742.0,747.15,737.28,742.88,161312,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2018-12-28,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,747.75,763.65,745.33,759.43,248088,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2018-12-31,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,763.23,767.5,747.55,752.48,161410,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-01,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,752.48,759.23,745.83,757.18,124404,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-02,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,757.0,762.0,751.13,753.03,117280,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-03,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,756.83,762.25,751.0,759.45,218530,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-04,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,758.33,764.4,756.0,761.68,92258,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-07,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,765.0,765.0,751.5,753.68,79144,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-08,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,752.33,756.23,743.55,745.43,119750,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-09,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,748.3,752.35,745.0,750.2,115650,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-10,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,748.03,756.33,746.23,753.75,100888,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-11,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,753.5,755.95,747.5,748.23,67100,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-14,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,747.98,747.98,738.0,740.7,78992,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-15,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,744.5,744.5,737.5,739.48,86674,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-16,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,737.98,741.98,735.5,737.28,78260,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-17,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,741.0,741.65,735.05,737.58,75394,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-18,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,741.85,746.93,735.55,742.58,375526,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-21,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,746.5,747.48,737.6,740.7,134360,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-22,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,749.5,754.2,739.75,743.83,376698,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-23,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,740.55,743.83,727.25,729.4,332850,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-24,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,727.53,733.5,723.43,728.0,96832,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-25,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,732.4,732.4,710.0,712.25,130600,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-28,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,713.0,714.0,687.5,691.68,197074,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-29,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,692.4,700.43,680.9,694.05,115258,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-30,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,696.98,699.15,677.83,686.58,169334,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-01-31,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,689.93,690.23,676.8,681.3,191344,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-01,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,685.83,689.23,675.98,680.78,216346,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-04,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,680.75,680.75,670.0,676.18,116722,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-05,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,679.83,682.98,672.5,681.3,159206,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-06,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,684.48,684.48,671.5,674.4,257568,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-07,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,674.5,682.48,674.0,675.4,158372,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-08,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,675.33,676.48,670.5,672.88,137258,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-11,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,672.88,674.05,660.0,662.4,151680,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-12,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,668.83,668.83,660.43,661.78,79498,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-13,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,662.55,671.43,660.25,669.63,102716,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-14,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,663.03,669.95,657.0,659.15,118518,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-15,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,661.48,664.5,652.55,659.58,90880,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-18,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,661.0,667.25,660.0,662.73,76608,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-19,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,661.25,663.28,653.5,655.7,87488,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-20,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,655.65,669.88,655.5,665.1,231946,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-21,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,669.0,676.25,663.0,674.33,206806,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-22,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,676.5,687.73,672.0,673.53,223832,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-25,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,674.48,677.48,667.0,669.68,109108,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-26,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,668.75,675.33,660.0,673.95,248218,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-27,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,675.0,682.9,670.0,675.7,179122,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-02-28,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,675.73,687.23,674.03,685.2,108676,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-01,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,687.45,708.0,685.0,705.35,277520,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-05,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,709.0,742.5,708.5,736.65,460392,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-06,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,739.65,762.0,739.65,751.83,573582,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-07,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,753.0,759.45,744.0,747.98,380812,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-08,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,747.0,747.0,735.8,744.2,200560,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-11,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,748.95,750.73,745.38,748.63,281878,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-12,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,751.95,761.95,750.0,754.2,285372,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-13,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,753.45,754.58,748.68,750.2,190490,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-14,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,749.0,756.0,746.5,753.9,175262,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-15,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,757.5,760.98,751.0,757.6,207068,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-18,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,757.18,760.48,749.5,750.53,146018,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-19,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,750.1,752.3,743.5,746.15,93336,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-20,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,743.5,746.18,738.55,740.3,128610,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-22,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,740.5,748.5,739.5,743.63,91138,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-25,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,740.0,740.0,733.48,734.93,108098,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-26,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,735.0,739.23,733.0,734.6,95278,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-27,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,732.5,769.0,730.55,748.58,355570,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-28,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,748.45,769.75,745.1,761.33,501668,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-03-29,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,760.0,771.3,756.0,766.95,240000,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-01,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,769.0,786.0,767.53,778.0,310454,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-02,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,779.5,789.8,779.5,784.5,189724,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-03,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,786.25,788.5,777.58,780.8,198712,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-04,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,780.0,783.95,775.0,779.05,84656,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-05,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,779.05,787.5,772.43,776.13,190014,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-08,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,776.55,780.45,751.33,762.65,274172,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-09,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,766.5,780.0,757.5,774.33,124386,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-10,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,774.95,779.08,767.78,769.9,67536,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-11,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,762.05,783.5,760.0,779.4,157312,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-12,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,779.0,793.5,775.0,789.2,178142,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-15,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,794.25,794.25,789.8,791.2,112780,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-16,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,792.55,793.5,788.1,790.15,71854,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-18,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,785.55,794.5,765.75,792.88,150978,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-22,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,792.5,799.5,777.5,787.83,207730,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-23,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,790.0,794.5,788.08,790.18,127218,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-24,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,788.93,797.5,788.65,796.13,142226,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-25,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,793.53,812.5,793.53,805.65,297910,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-26,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,810.0,812.48,797.5,806.53,154288,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-04-30,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,817.5,869.0,815.5,847.53,1597998,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-02,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,847.53,859.45,833.58,848.78,694042,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-03,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,850.55,857.5,825.0,831.15,214514,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-06,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,827.5,832.35,816.0,819.3,157336,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-07,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,822.5,836.0,817.5,819.8,200258,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-08,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,819.5,832.0,811.0,816.83,193758,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-09,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,814.0,819.95,810.53,816.38,151322,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-10,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,817.0,823.48,812.78,821.78,167208,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-13,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,815.5,818.35,787.5,791.65,151450,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-14,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,782.5,795.0,775.5,792.35,181116,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-15,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,797.5,811.63,790.5,798.4,96730,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-16,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,800.0,804.65,790.0,793.73,82366,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-17,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,791.0,802.48,787.53,800.13,126386,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-20,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,817.48,832.48,810.13,821.83,182582,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-21,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,826.0,832.5,821.85,828.35,220716,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-22,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,830.0,854.5,830.0,851.8,517750,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-23,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,857.0,876.0,855.03,871.7,902740,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-24,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,880.0,882.0,872.5,878.78,319830,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-27,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,884.35,884.35,864.0,872.65,203296,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-28,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,875.0,890.0,867.5,882.0,175388,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-29,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,879.43,889.45,870.88,881.88,207034,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-30,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,882.0,884.7,874.5,879.13,115758,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-05-31,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,880.0,888.0,876.58,886.15,225754,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-03,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,889.5,894.63,880.3,892.13,237138,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-04,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,890.0,907.5,890.0,905.2,356286,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-06,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,906.5,919.83,892.5,903.65,386808,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-07,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,904.5,914.0,893.05,909.53,181296,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-10,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,918.4,918.4,906.5,915.05,127854,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-11,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,914.95,928.0,910.38,923.1,339150,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-12,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,923.0,935.0,918.55,930.8,229976,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-13,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,927.45,949.45,915.93,947.78,415334,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-14,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,940.6,974.5,940.6,968.23,796732,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-17,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,967.5,978.0,956.08,965.83,332114,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-18,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,943.0,943.0,900.0,904.55,2282134,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-19,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,902.55,917.0,890.03,901.43,531740,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-20,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,902.5,915.0,900.5,910.6,214508,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-21,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,910.5,947.0,910.5,936.13,437630,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-24,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,942.5,972.5,935.0,966.93,550336,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-25,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,973.4,986.0,957.5,976.28,826018,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-26,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,973.5,992.5,973.0,989.65,548262,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-27,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,993.0,1025.6,991.5,1018.33,1112266,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-06-28,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1015.0,1035.0,1015.0,1030.8,677960,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-07-01,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1042.5,1049.5,1034.5,1040.47,486598,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-07-02,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1044.0,1047.5,992.55,1000.53,589188,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-07-03,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1000.98,1019.5,987.33,1011.38,556684,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-07-04,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1007.9,1019.45,998.0,1005.98,215444,FYERS_HISTORY,2026-08-08T23:15:53+05:30
2019-07-05,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1007.0,1014.0,977.5,987.08,252272,FYERS_HISTORY,2026-08-08T23:15:53+05:30
