trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2024-12-26,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2148.0,2148.0,2106.82,2134.73,572788,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2024-12-27,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2135.18,2162.23,2126.48,2131.55,419692,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2024-12-30,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2124.5,2149.48,2088.88,2132.7,1026418,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2024-12-31,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2115.0,2127.45,2091.03,2099.53,795528,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-01,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2099.98,2108.9,2072.55,2081.28,594116,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-02,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2090.0,2146.28,2080.03,2140.98,607908,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-03,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2149.0,2155.0,2080.4,2112.32,953024,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-06,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2100.0,2119.23,2011.0,2052.48,1650778,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-07,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2045.45,2064.95,2031.23,2035.85,577822,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-08,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2039.83,2040.83,1996.0,2031.23,995150,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-09,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2031.23,2039.98,1971.0,1975.2,358956,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-10,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1979.98,1989.48,1916.48,1922.4,947064,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-13,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1900.0,1952.48,1896.1,1917.28,796840,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-14,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1926.18,1973.55,1906.68,1932.53,1325996,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-15,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,1950.93,2057.48,1920.53,2023.75,3728602,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-16,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2023.93,2059.0,2022.5,2045.35,715796,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-17,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2045.0,2049.95,2003.03,2015.43,595028,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-20,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2019.33,2044.98,2000.3,2020.2,823842,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-21,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2021.98,2042.75,2005.88,2014.85,821218,FYERS_HISTORY,2026-08-08T23:15:56+05:30
2025-01-22,SMD-0089,HDFCAMC,NSE:HDFCAMC-EQ,2029.9,2029.9,1962.75,1975.55,1012250,FYERS_HISTORY,2026-08-08T23:15:56+05:30
