trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2008-12-29,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,47.82,50.5,47.8,50.12,5212116,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2008-12-30,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,49.95,51.72,49.77,50.95,7542152,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2008-12-31,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,51.6,51.6,49.42,49.92,4157348,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-01,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,49.8,50.99,49.8,50.69,2115000,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-02,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,51.0,51.6,50.16,50.78,4187408,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-05,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,51.5,52.48,51.4,52.21,4023632,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-06,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,52.21,55.65,51.7,55.02,7315972,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-07,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,55.75,56.26,49.8,50.46,15112952,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-09,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,50.0,52.85,48.75,50.88,8565428,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-12,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,50.6,51.1,49.5,50.19,7222628,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-13,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,50.0,50.6,48.76,49.44,5011244,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-14,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,52.24,52.24,48.35,48.88,11330068,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-15,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,48.0,48.0,45.35,46.24,11698996,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-16,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.9,47.23,46.11,46.88,3123520,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-19,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,47.45,47.73,46.58,47.06,4059380,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-20,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.25,46.25,45.1,45.62,3204444,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-21,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,45.34,45.34,44.0,44.47,7904160,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-22,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,45.0,45.85,44.1,45.03,6519840,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-23,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.63,45.57,43.26,43.62,6371880,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-27,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.85,45.2,44.0,44.47,4909972,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-28,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.9,45.79,44.77,45.59,5269836,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-29,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.25,46.88,45.5,46.17,9374792,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-01-30,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.62,46.75,44.62,46.28,2993804,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-02,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.0,46.03,43.85,44.44,5231888,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-03,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.77,45.49,44.5,44.91,4592080,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-04,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,45.5,46.13,44.11,44.29,15197424,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-05,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.75,44.99,44.01,44.21,4309204,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-06,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.65,45.24,44.32,44.92,4683932,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-09,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,45.4,46.1,45.15,45.97,4116224,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-10,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.26,47.91,46.07,47.35,3328796,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-11,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.35,47.15,45.35,46.73,3728556,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-12,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,46.76,47.05,46.23,46.69,2856128,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-13,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,47.0,47.7,46.85,47.21,3043160,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-16,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,47.0,47.0,45.4,45.7,5599072,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-17,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,45.35,45.72,43.51,44.02,6873068,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-18,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,43.75,44.4,43.25,43.82,3132196,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-19,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,44.2,44.61,43.72,44.23,3584316,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-20,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,43.8,43.95,42.68,43.33,3998980,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-24,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,42.65,43.0,41.75,42.73,3074084,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-25,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,43.25,43.57,43.01,43.22,4370524,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-26,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,43.32,44.14,42.05,43.74,12975048,FYERS_HISTORY,2026-08-08T23:16:01+05:30
2009-02-27,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,43.55,44.9,42.15,44.48,5420776,FYERS_HISTORY,2026-08-08T23:16:01+05:30
