trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2013-12-30,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,169.2,169.25,166.29,167.38,4227604,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2013-12-31,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,168.03,168.08,165.03,166.46,5261312,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-01,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,167.0,167.45,165.75,166.29,4492436,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-02,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,166.25,168.69,163.39,164.25,7228992,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-03,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,163.0,166.5,162.5,165.78,6513184,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-06,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,165.75,165.75,164.25,165.43,5963420,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-07,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,166.78,167.74,163.32,166.1,7896920,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-08,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,166.3,166.74,165.0,166.18,4649480,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-09,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,165.8,166.51,164.28,165.74,3777472,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-10,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,165.74,168.68,164.08,165.51,6150508,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-13,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,165.03,169.24,164.23,168.21,4752580,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-14,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,167.26,169.0,167.08,168.08,3577120,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-15,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,168.25,170.68,167.4,170.14,4627840,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-16,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,171.1,171.25,167.59,168.26,4501176,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-17,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,168.75,168.75,164.76,166.25,43374856,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-20,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,167.03,169.18,166.6,167.51,5600368,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-21,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,168.24,169.7,167.5,169.03,6251924,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-22,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,168.88,171.18,168.66,169.28,7033336,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-23,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,168.75,170.28,168.19,169.88,5482740,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-24,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,167.5,168.74,165.93,168.35,8842900,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-27,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,166.23,166.23,161.4,162.3,17060448,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-28,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,162.0,164.0,159.65,161.11,18395424,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-29,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,161.88,162.73,160.14,161.36,10970924,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-30,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,159.38,159.98,156.91,157.95,11425460,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-01-31,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,157.5,159.07,156.28,157.13,9620984,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-03,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,157.49,158.5,156.28,156.63,4776820,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-04,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,155.41,158.88,154.2,157.65,7409304,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-05,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,157.75,159.95,156.28,159.36,6905384,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-06,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,159.69,162.4,157.38,161.75,13466944,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-07,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,163.1,163.63,160.53,161.94,4029468,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-10,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,161.91,162.54,159.0,160.98,6280820,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-11,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,161.5,161.79,159.82,161.2,4464856,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-12,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,161.65,163.2,160.91,161.36,6436960,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-13,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,161.5,162.0,157.81,158.13,3155200,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-14,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,158.5,160.96,157.34,160.45,4249112,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-17,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,160.5,163.0,160.28,162.6,3650120,FYERS_HISTORY,2026-08-08T23:16:03+05:30
2014-02-18,SMD-0090,HDFCBANK,NSE:HDFCBANK-EQ,162.13,166.1,161.85,165.1,5019672,FYERS_HISTORY,2026-08-08T23:16:03+05:30
