trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,641.0,645.9,634.0,638.0,2202221,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2023-12-27,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,643.0,646.0,638.4,643.8,2353373,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2023-12-28,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,647.0,650.95,644.25,648.1,3566880,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2023-12-29,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,648.1,649.85,643.0,646.7,1653662,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-01,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,647.0,652.35,644.35,648.7,1343888,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-02,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,649.5,654.3,642.6,645.5,3005450,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-03,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,644.0,648.45,636.1,637.2,1893956,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-04,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,638.0,649.0,638.0,647.95,4412550,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-05,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,648.5,654.55,642.45,646.75,1394951,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-08,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,647.0,654.15,641.7,645.85,2064691,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-09,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,647.0,650.8,638.6,640.9,3648496,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-10,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,642.0,650.35,641.45,644.95,3288472,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-11,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,646.0,653.1,639.9,644.0,2800658,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-12,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,646.85,648.6,621.3,637.6,7076942,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-15,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,637.0,637.0,611.85,614.45,12433539,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-16,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,615.75,616.85,609.05,611.25,8761562,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-17,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,611.0,618.5,605.1,606.6,10183042,FYERS_HISTORY,2026-08-08T23:16:26+05:30
2024-01-18,SMD-0091,HDFCLIFE,NSE:HDFCLIFE-EQ,608.0,612.3,600.6,607.8,3658639,FYERS_HISTORY,2026-08-08T23:16:26+05:30
