trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2000-01-03,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,240.0,247.36,234.2,241.52,10631,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-04,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,240.0,244.0,235.2,239.97,19849,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-05,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,231.0,235.6,228.0,228.76,2525,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-06,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,236.6,237.99,230.05,232.28,4375,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-07,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,228.0,228.0,213.8,221.31,9093,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-10,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,221.01,227.0,220.0,225.27,11113,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-11,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,220.0,227.0,219.0,225.02,11333,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-12,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,235.2,239.6,230.0,234.99,4353,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-13,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,239.6,239.6,228.0,229.28,7221,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-14,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,238.8,239.6,231.5,238.06,12898,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-17,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,243.2,257.11,243.2,257.11,44550,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-18,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,267.8,273.0,254.0,258.93,17246,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-19,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,260.0,264.98,254.0,254.51,23057,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-20,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,255.0,255.0,247.26,250.58,3987,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-21,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,248.0,251.1,247.0,248.51,3125,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-24,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,240.2,252.05,240.2,242.42,2624,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-25,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,240.2,260.0,234.0,243.72,5056,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-27,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,244.2,247.4,236.6,237.46,3095,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-28,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,236.0,242.0,236.0,239.51,2427,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-01-31,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,237.4,239.0,234.22,235.06,1491,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-01,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,232.0,239.8,225.0,229.25,3516,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-02,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,229.0,233.8,212.4,213.79,21210,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-03,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,216.94,219.8,210.8,211.85,13761,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-04,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,212.0,215.8,201.6,203.62,14853,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-07,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,204.0,204.0,198.0,199.07,16078,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-08,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,206.0,206.0,190.0,192.5,20385,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-09,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,205.0,206.4,193.0,194.25,19525,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-10,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,196.0,197.2,190.0,191.08,9346,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-11,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,190.0,195.4,181.05,184.14,15205,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-14,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,179.0,180.8,173.2,179.09,23887,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-15,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,172.0,183.0,172.0,178.73,20817,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-16,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,178.4,183.8,177.21,178.37,6027,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-17,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,178.0,180.0,174.0,178.64,5824,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-18,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,179.1,180.0,164.4,167.57,15937,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-21,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,170.0,173.2,166.6,172.09,8863,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-22,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,168.6,171.6,167.0,169.56,9970,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-23,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,180.0,180.0,169.2,171.77,5474,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-24,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,168.0,172.0,164.02,167.72,2721,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-25,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,173.96,173.96,162.0,164.35,4216,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-28,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,169.8,169.8,163.8,165.33,3262,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-02-29,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,168.4,174.0,162.0,164.49,16758,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-03-01,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,172.0,172.0,160.0,165.16,19323,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-03-02,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,161.0,166.8,158.21,159.43,5600,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-03-03,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,163.8,172.0,150.0,159.53,25572,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-03-06,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,171.34,171.34,162.0,164.42,11931,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-03-07,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,165.0,165.0,155.6,162.31,12419,FYERS_HISTORY,2026-08-08T23:16:27+05:30
2000-03-08,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,170.0,170.0,158.0,161.02,12403,FYERS_HISTORY,2026-08-08T23:16:27+05:30
