trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2004-12-30,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,562.0,586.5,550.4,568.95,444543,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2004-12-31,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,566.0,574.95,558.25,572.35,251884,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-03,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,580.0,604.0,576.0,601.05,544531,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-04,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,517.0,616.0,517.0,612.0,546652,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-05,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,602.0,603.0,552.0,566.0,1260932,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-06,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,566.0,583.0,556.0,576.35,600516,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-07,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,579.0,582.0,566.6,572.45,412066,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-10,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,579.95,580.0,565.0,576.2,194179,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-11,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,574.0,579.0,561.35,571.1,258987,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-12,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,575.0,579.0,541.0,550.15,218311,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-13,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,556.0,564.0,543.35,554.2,696707,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-14,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,555.0,555.0,516.0,524.55,1323674,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-17,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,535.0,535.0,514.35,521.85,355897,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-18,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,530.0,543.7,510.0,535.95,535547,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-19,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,533.0,547.0,531.15,542.65,476896,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-20,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,542.65,542.65,528.65,537.0,233280,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-24,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,537.0,538.9,511.2,513.95,310108,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-25,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,476.25,529.4,476.25,524.1,853635,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-27,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,535.0,552.0,524.0,540.0,711695,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-28,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,549.0,549.0,524.0,531.4,490910,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-01-31,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,544.4,545.0,530.0,538.1,347239,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-01,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,501.1,549.7,501.1,531.45,377106,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-02,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,533.0,540.9,527.05,529.95,294661,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-03,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,534.7,539.5,531.0,533.95,291498,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-04,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,535.0,546.75,533.2,542.8,368083,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-07,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,545.0,554.1,530.0,533.45,370283,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-08,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,526.0,538.0,524.0,528.4,232774,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-09,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,529.0,539.7,524.0,529.65,480818,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-10,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,531.0,538.0,528.2,532.45,224899,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-11,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,540.0,552.4,531.05,550.35,562714,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-14,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,554.0,567.6,553.0,563.95,480153,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-15,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,562.85,562.85,551.5,555.6,187582,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-16,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,557.85,560.0,541.35,548.7,229449,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-17,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,548.0,548.0,530.05,531.4,377157,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-18,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,531.95,545.7,531.15,535.8,396001,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-21,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,539.0,549.8,530.0,542.0,405137,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-22,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,540.9,544.7,537.0,540.0,210325,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-23,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,543.4,543.4,535.0,536.6,99166,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-24,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,538.7,542.4,533.05,537.1,293838,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-25,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,539.8,539.8,517.0,519.4,289300,FYERS_HISTORY,2026-08-08T23:16:29+05:30
2005-02-28,SMD-0092,HEROMOTOCO,NSE:HEROMOTOCO-EQ,527.0,547.0,520.0,544.55,358054,FYERS_HISTORY,2026-08-08T23:16:29+05:30
