trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2003-12-31,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,117.29,122.07,116.44,120.11,219979,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-01,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,120.79,121.39,119.25,119.55,99788,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-02,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,120.53,126.25,120.28,125.62,322375,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-05,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,126.85,126.85,110.9,125.09,201538,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-06,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,136.4,136.4,122.84,123.3,108977,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-07,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,123.69,124.97,120.96,124.49,118923,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-08,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,123.69,126.34,123.69,125.49,159103,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-09,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,125.57,125.82,122.84,124.56,174025,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-12,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,124.63,124.63,119.52,121.38,71637,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-13,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,120.28,121.47,117.29,119.55,89616,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-14,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,119.43,123.26,118.57,122.08,258256,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-15,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,121.88,126.59,120.36,124.96,287217,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-16,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,125.82,125.82,114.41,117.03,304092,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-19,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,115.25,121.3,115.25,119.14,294506,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-20,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,120.08,121.29,115.16,116.53,329543,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-21,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,116.95,120.28,112.2,114.11,119553,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-22,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,114.31,116.7,106.84,108.55,132175,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-23,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,109.19,113.88,99.38,109.37,347197,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-27,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,109.19,113.71,109.19,112.85,290752,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-28,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,106.72,113.88,104.5,106.91,321788,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-29,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,107.14,108.34,102.62,105.52,464061,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-01-30,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,105.51,105.51,97.26,99.07,279853,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-03,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,98.95,103.98,96.91,101.83,346829,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-04,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,101.68,104.54,100.74,103.9,223750,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-05,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,104.41,106.63,98.1,103.0,161800,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-06,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,102.36,104.5,102.02,103.7,107332,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-09,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,103.98,111.23,103.98,110.48,139838,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-10,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,110.89,114.31,109.62,113.45,296337,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-11,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,114.48,119.0,113.03,118.48,302575,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-12,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,118.56,119.43,113.8,114.78,271547,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-13,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,116.44,116.44,113.03,115.27,122190,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-16,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,115.5,115.67,113.97,115.05,93412,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-17,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,116.95,118.46,114.78,115.43,217177,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-18,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,116.01,116.53,113.88,114.13,108440,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-19,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,114.31,115.59,112.0,112.83,118972,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-20,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,112.17,113.88,110.21,113.49,128985,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-23,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,113.45,114.73,111.58,112.68,113541,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-24,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,112.6,114.31,109.53,113.39,124700,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-25,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,109.19,113.11,106.2,110.31,151509,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-26,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,109.53,111.75,106.65,107.6,122237,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-02-27,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,110.81,110.81,102.45,106.29,183650,FYERS_HISTORY,2026-08-08T23:16:41+05:30
2004-03-01,SMD-0094,HINDALCO,NSE:HINDALCO-EQ,107.06,109.27,105.78,108.54,167064,FYERS_HISTORY,2026-08-08T23:16:41+05:30
