trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2001-01-01,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,20.96,21.19,20.6,20.78,160443,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-02,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,20.95,21.08,20.3,20.71,233994,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-03,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,20.72,23.1,20.72,22.22,1137359,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-04,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,22.89,22.96,21.48,21.76,691175,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-05,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,21.99,22.22,21.7,22.11,273515,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-08,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,22.52,22.95,21.88,22.76,459027,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-09,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,22.93,23.19,22.12,22.21,360261,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-10,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,22.22,22.48,21.48,21.59,215591,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-11,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,22.08,22.48,21.71,21.89,369707,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-12,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,22.18,25.39,22.18,25.35,1932863,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-15,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,25.5,27.03,25.48,25.8,1173620,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-16,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,25.78,25.92,24.39,24.61,587861,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-17,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,25.04,25.04,24.03,24.19,259868,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-18,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,24.3,25.04,24.3,24.82,242237,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-19,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,25.11,25.44,24.31,24.6,549003,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-22,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,24.87,25.77,24.44,25.55,643580,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-23,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,25.49,26.22,25.28,25.93,325310,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-24,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,26.5,27.1,25.92,26.4,716084,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-25,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,26.67,28.5,26.41,28.41,953810,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-29,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,27.85,27.85,26.15,26.22,573489,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-30,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,26.65,27.61,26.52,27.26,507444,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-01-31,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,27.33,28.28,26.61,26.99,597506,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-01,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,26.96,27.1,25.8,26.64,471326,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-02,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,26.74,29.26,26.74,28.23,1284333,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-05,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,28.43,30.0,28.15,28.96,824838,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-06,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,29.33,29.75,27.72,28.89,871317,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-07,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,28.89,29.61,28.02,28.77,634514,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-08,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,28.52,29.33,27.85,29.08,620282,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-09,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,29.33,29.59,28.08,28.16,568482,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-12,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,28.44,28.74,27.5,27.79,296969,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-13,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,27.86,27.99,26.23,26.48,613907,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-14,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,26.81,27.84,26.67,27.69,741357,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-15,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,27.85,28.62,27.7,28.04,691925,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-16,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,28.31,28.36,26.96,27.12,397118,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-19,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,27.33,28.63,26.32,28.13,811034,FYERS_HISTORY,2026-08-08T23:16:53+05:30
2001-02-20,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,28.44,29.45,28.3,29.03,776327,FYERS_HISTORY,2026-08-08T23:16:53+05:30
