trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2011-12-29,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.91,38.33,36.37,36.66,543719,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2011-12-30,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.04,38.04,36.32,37.48,560973,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-02,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.5,38.3,37.12,37.45,406611,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-03,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.04,37.69,36.67,37.44,443615,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-04,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,36.7,37.41,36.24,36.53,511440,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-05,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,36.3,36.58,35.33,35.5,713667,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-06,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,35.41,36.27,35.31,35.79,891549,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-07,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,35.85,36.0,35.27,35.85,33078,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-09,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,35.85,36.08,35.41,35.76,267338,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-10,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,36.15,36.5,36.08,36.39,234941,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-11,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,36.32,37.87,36.32,37.48,581219,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-12,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.08,37.76,36.64,37.06,1238570,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-13,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.48,38.13,37.19,37.63,646038,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-16,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.48,37.85,37.19,37.53,282686,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-17,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.77,38.81,37.65,38.59,585689,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-18,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,38.72,39.74,37.72,38.21,708255,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-19,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,38.39,39.23,38.15,38.93,366474,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-20,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,39.11,39.93,38.74,39.77,598394,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-23,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,39.85,40.92,39.74,40.04,583187,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-24,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,39.98,40.81,39.44,40.43,328544,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-25,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,40.67,42.81,40.45,42.42,1326230,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-27,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.22,43.04,41.68,42.87,845519,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-30,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.65,42.95,41.74,42.07,814724,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-01-31,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.24,44.23,41.59,43.72,817592,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-01,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,43.69,43.79,42.22,42.68,344942,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-02,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.82,43.24,41.67,42.07,864797,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-03,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.37,43.19,42.01,42.44,848588,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-06,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.53,43.48,42.22,42.39,719585,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-07,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.39,43.79,41.57,41.84,694952,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-08,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,41.08,42.57,41.08,42.41,461039,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-09,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,37.07,48.86,37.07,42.61,698951,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-10,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.44,45.89,43.33,43.56,3347156,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-13,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,43.85,44.0,41.96,42.13,773156,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-14,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.43,42.9,42.16,42.33,520769,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-15,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.37,43.48,42.22,42.96,1066968,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-16,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.81,43.39,42.37,43.24,501263,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-17,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.39,43.9,41.92,42.97,734670,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-21,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.84,43.1,42.37,42.54,528308,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-22,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.68,45.08,42.12,42.64,2152677,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-23,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.83,45.39,42.67,44.1,2086076,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-24,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.31,45.04,41.79,42.62,1176293,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-27,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.53,44.38,41.32,44.1,2661120,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-28,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.58,44.81,43.5,44.44,865701,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-02-29,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.61,46.67,44.55,46.46,1809590,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-01,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,46.89,46.89,45.48,46.06,605438,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-02,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,46.21,46.48,45.19,45.69,684623,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-03,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,45.78,46.95,45.78,46.61,249227,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-05,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,46.83,46.98,45.11,45.68,820602,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-06,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,45.92,46.96,45.64,46.18,1299942,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-07,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,46.21,46.33,43.72,44.24,810321,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-09,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.32,44.96,43.74,44.59,1150479,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-12,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,45.04,45.04,44.03,44.27,360603,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-13,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.31,45.3,44.29,44.79,801639,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-14,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.9,45.16,44.24,44.71,605411,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-15,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.31,44.98,43.33,43.72,555401,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-16,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,43.82,45.48,42.59,44.29,2120027,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-19,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.55,44.28,42.44,42.99,733442,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-20,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.98,43.92,42.86,43.4,822095,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-21,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,43.24,44.52,43.11,44.02,861245,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-22,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,44.01,44.24,42.68,43.01,309374,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-23,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,43.11,43.3,42.04,42.22,833900,FYERS_HISTORY,2026-08-08T23:16:58+05:30
2012-03-26,SMD-0096,HINDPETRO,NSE:HINDPETRO-EQ,42.36,42.54,41.94,42.12,480854,FYERS_HISTORY,2026-08-08T23:16:58+05:30
