trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2009-12-29,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,265.35,265.35,259.69,260.67,1908639,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2009-12-30,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,262.59,263.53,259.3,261.75,966871,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2009-12-31,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,263.13,264.61,259.84,260.48,1580864,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-04,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,260.48,261.85,259.79,260.38,668858,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-05,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,261.41,262.05,258.21,259.54,1392726,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-06,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,260.43,261.66,258.31,261.02,1682107,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-07,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,260.77,262.89,259.84,260.48,2723548,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-08,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,260.77,262.64,259.84,261.61,4000986,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-11,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,262.25,263.97,261.26,261.75,2251471,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-12,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,261.66,262.39,256.3,257.87,3826930,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-13,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,257.72,259.44,256.49,258.21,1917571,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-14,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,258.31,259.3,251.13,251.87,3583983,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-15,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,253.54,254.52,251.72,252.21,4361271,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-18,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,252.31,254.13,250.39,253.1,1088348,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-19,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,253.54,253.54,250.44,251.28,1122943,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-20,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,251.82,254.38,249.36,253.59,2198874,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-21,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,253.79,256.84,251.48,252.56,3093875,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-22,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,248.87,254.92,247.84,253.74,5117085,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-25,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,254.48,260.23,251.33,259.64,4355123,FYERS_HISTORY,2026-08-08T23:17:10+05:30
2010-01-27,SMD-0097,HINDUNILVR,NSE:HINDUNILVR-EQ,258.71,258.71,250.54,255.12,9203979,FYERS_HISTORY,2026-08-08T23:17:10+05:30
