trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2017-12-27,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,309.0,309.25,302.05,303.45,1593469,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2017-12-28,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,305.25,312.95,300.95,311.45,1816110,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2017-12-29,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,313.5,314.0,307.8,308.85,1161167,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-01,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,309.9,312.45,308.2,308.95,637405,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-02,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,311.45,311.6,305.65,309.4,911293,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-03,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,311.85,315.75,310.5,312.0,882982,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-04,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,312.0,318.5,310.8,317.85,1150153,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-05,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,318.0,319.85,312.7,313.8,1255238,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-08,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,314.05,318.85,314.0,318.0,1061554,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-09,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,318.95,321.35,315.65,316.9,730304,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-10,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,318.5,322.05,316.9,319.5,1246861,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-11,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,319.95,320.95,317.65,319.7,710197,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-12,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,320.0,325.45,319.7,324.0,1150056,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-15,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,324.0,328.5,321.15,322.05,1043139,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-16,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,322.95,328.8,313.4,315.45,1785116,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-17,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,316.6,323.85,311.5,323.15,933055,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-18,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,323.15,324.8,303.25,308.3,2229509,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-19,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,307.1,307.65,297.7,299.35,2349471,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-22,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,300.5,301.6,291.15,292.45,2433313,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-23,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,293.6,302.0,293.6,296.65,2894490,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-24,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,297.55,299.3,289.6,293.05,1915105,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-25,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,298.55,301.0,294.9,298.55,3727672,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-29,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,303.5,312.8,302.3,304.15,3747559,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-30,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,303.95,313.75,298.65,310.9,2129122,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-01-31,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,311.0,316.15,303.55,310.25,3717227,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-01,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,308.0,311.8,300.0,307.95,1511270,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-02,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,306.5,309.0,291.5,294.35,1780007,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-05,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,290.0,298.0,283.05,292.95,2515888,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-06,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,281.95,286.4,275.05,283.3,2196991,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-07,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,289.7,291.35,285.0,288.9,1841739,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-08,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,285.1,292.0,283.0,287.3,4075914,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-09,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,281.0,311.9,280.5,303.55,5294692,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-12,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,306.6,311.9,303.25,307.65,4332375,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-14,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,308.0,314.9,308.0,309.1,2014996,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-15,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,311.4,318.1,311.4,313.4,2255264,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-16,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,317.95,318.0,310.55,313.05,2220694,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-19,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,315.95,315.95,306.0,312.3,1416403,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-20,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,312.3,316.75,309.0,315.4,4034778,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-21,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,317.35,319.25,315.2,316.2,3448007,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-22,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,315.5,317.9,312.1,314.15,9054662,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-23,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,316.0,329.0,314.4,328.0,3963412,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-26,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,333.0,340.2,330.8,332.3,3776145,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-27,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,333.95,334.8,326.25,329.4,1360525,FYERS_HISTORY,2026-08-08T23:17:28+05:30
2018-02-28,SMD-0098,HINDZINC,NSE:HINDZINC-EQ,326.0,328.0,324.0,326.45,1309367,FYERS_HISTORY,2026-08-08T23:17:28+05:30
