trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2023-12-26,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,524.0,524.5,516.95,523.9,2194932,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2023-12-27,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,525.0,529.55,523.55,526.6,1839214,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2023-12-28,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,526.9,530.5,525.15,529.9,2543683,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2023-12-29,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,530.2,535.35,528.05,534.85,1139518,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-01,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,534.7,536.0,530.75,531.95,1578322,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-02,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,531.95,536.0,528.1,534.4,1359923,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-03,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,534.2,539.8,531.8,534.9,1334907,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-04,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,536.0,541.1,535.0,539.85,1718311,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-05,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,538.5,545.55,535.15,541.0,3895158,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-08,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,541.0,550.6,539.65,541.95,1579306,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-09,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,545.25,548.9,533.35,540.85,5096681,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-10,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,544.45,550.0,538.65,541.25,2156707,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-11,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,541.75,546.85,538.65,541.6,880686,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-12,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,543.0,543.4,529.1,529.95,2692417,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-15,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,533.0,533.9,520.0,522.2,2040505,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-16,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,523.75,524.8,516.95,517.9,1391247,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-17,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,517.9,520.35,513.5,514.95,2308422,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-18,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,470.0,488.9,463.45,486.2,17222774,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-19,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,492.0,498.0,488.15,494.6,2754392,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-20,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,498.4,498.8,485.6,491.3,661315,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-23,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,496.0,497.15,475.2,479.45,3281838,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-24,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,480.0,490.65,480.0,488.55,3536528,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-25,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,491.3,491.3,482.95,486.3,1646588,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-29,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,486.3,494.3,483.0,491.6,5223917,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-30,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,493.95,499.7,492.5,495.6,3256246,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-01-31,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,497.45,506.3,494.15,503.25,1416063,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-01,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,504.1,517.15,500.0,515.9,2109644,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-02,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,521.0,521.0,503.4,506.5,2401695,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-05,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,507.0,509.25,502.1,504.8,1097731,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-06,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,505.0,528.35,502.5,526.0,2301593,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-07,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,528.5,533.8,525.4,530.45,1003712,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-08,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,532.0,533.7,518.65,520.5,1481895,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-09,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,520.5,522.95,510.5,521.45,1022445,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-12,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,521.45,521.6,502.55,504.45,1076797,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-13,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,504.45,513.8,497.3,511.9,2357148,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-14,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,507.95,510.0,502.0,508.8,1200533,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-15,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,508.15,511.1,503.6,505.1,2299680,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-16,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,509.6,516.0,505.6,512.05,973728,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-19,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,514.0,517.55,509.0,514.7,912455,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-20,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,513.5,523.3,509.65,521.65,1540086,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-21,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,522.0,526.4,518.65,520.1,2221389,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-22,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,516.85,520.0,515.0,518.35,762141,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-23,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,522.6,525.0,515.25,522.85,1623839,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-26,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,522.85,528.2,520.45,523.1,1081969,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-27,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,524.0,539.7,516.9,518.85,2929679,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-28,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,520.0,530.4,520.0,523.3,1315159,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-02-29,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,525.9,534.0,518.2,532.65,3016612,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-01,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,539.0,546.6,534.0,539.45,1851853,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-02,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,540.0,542.4,537.1,538.0,53794,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-04,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,539.5,558.7,533.95,546.95,2531138,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-05,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,547.75,558.0,539.95,553.7,3876200,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-06,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,555.0,579.85,549.35,576.85,6081088,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-07,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,576.0,595.0,563.65,583.6,2970921,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-11,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,595.0,614.7,567.9,600.3,8749894,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-12,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,601.05,606.9,592.15,600.5,3065065,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-13,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,602.2,604.4,567.0,573.55,3112506,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-14,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,572.05,581.55,561.25,572.7,3124841,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-15,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,572.8,579.0,563.0,567.75,2356414,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-18,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,569.0,569.0,559.7,565.85,1279804,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-19,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,565.55,567.5,545.85,549.6,2176263,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-20,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,550.0,565.6,550.0,560.35,1879361,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-21,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,560.8,584.0,556.5,580.25,1932166,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-22,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,578.85,588.75,573.65,581.85,1231241,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-26,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,588.0,605.95,588.0,599.9,4000040,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-27,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,599.9,604.9,593.0,599.1,1460193,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-03-28,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,598.95,614.0,596.6,608.65,1328162,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-01,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,610.0,627.0,610.0,616.1,1936435,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-02,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,618.4,626.7,617.2,623.3,2577155,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-03,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,623.0,625.1,617.0,620.75,1578089,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-04,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,620.05,621.0,602.55,605.75,2118902,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-05,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,609.7,630.0,606.0,620.0,5123577,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-08,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,623.4,634.0,612.65,628.7,2241262,FYERS_HISTORY,2026-08-08T23:18:38+05:30
2024-04-09,SMD-0103,ICICIPRULI,NSE:ICICIPRULI-EQ,629.4,633.45,620.65,625.25,1432457,FYERS_HISTORY,2026-08-08T23:18:38+05:30
