trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2020-12-28,SMD-0104,IDEA,NSE:IDEA-EQ,10.15,10.6,10.15,10.4,254691531,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2020-12-29,SMD-0104,IDEA,NSE:IDEA-EQ,10.4,10.55,10.1,10.3,290602851,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2020-12-30,SMD-0104,IDEA,NSE:IDEA-EQ,10.35,10.35,10.05,10.2,196181871,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2020-12-31,SMD-0104,IDEA,NSE:IDEA-EQ,10.2,10.9,10.1,10.65,733827571,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-01,SMD-0104,IDEA,NSE:IDEA-EQ,10.75,11.35,10.6,11.2,423793813,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-04,SMD-0104,IDEA,NSE:IDEA-EQ,11.8,12.15,11.45,11.9,649973524,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-05,SMD-0104,IDEA,NSE:IDEA-EQ,11.8,12.15,11.6,11.9,335592305,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-06,SMD-0104,IDEA,NSE:IDEA-EQ,12.0,12.25,11.5,11.85,374712576,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-07,SMD-0104,IDEA,NSE:IDEA-EQ,11.95,12.35,11.85,11.95,352143303,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-08,SMD-0104,IDEA,NSE:IDEA-EQ,12.1,12.3,11.65,11.75,290761549,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-11,SMD-0104,IDEA,NSE:IDEA-EQ,11.95,12.05,11.35,11.5,221429001,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-12,SMD-0104,IDEA,NSE:IDEA-EQ,11.45,12.25,11.3,12.1,389146921,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-13,SMD-0104,IDEA,NSE:IDEA-EQ,12.25,12.75,11.9,12.25,672714234,FYERS_HISTORY,2026-08-08T23:18:52+05:30
2021-01-14,SMD-0104,IDEA,NSE:IDEA-EQ,12.35,12.45,12.1,12.3,167998404,FYERS_HISTORY,2026-08-08T23:18:52+05:30
