trade_date,security_id,symbol,fyers_symbol,open,high,low,close,volume,source,downloaded_at
2015-12-28,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,61.0,61.35,59.75,59.95,1371121,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2015-12-29,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,59.5,62.25,59.5,61.85,3266454,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2015-12-30,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,62.0,62.4,61.25,61.5,1081847,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2015-12-31,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,62.4,62.4,60.25,60.85,1207626,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,61.4,61.4,60.4,60.7,559738,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-04,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,61.2,61.2,58.75,58.95,1386464,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-05,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.9,59.9,58.6,59.0,719306,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-06,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,59.0,59.35,57.45,57.75,6064793,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-07,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,57.45,57.45,55.4,55.9,1830148,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-08,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,56.3,56.7,54.9,55.1,1605370,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-11,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,54.45,54.95,53.75,53.9,2036154,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-12,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,54.45,54.45,52.0,52.35,2404371,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-13,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,53.35,53.35,48.6,51.3,3746052,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-14,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.2,50.95,48.4,48.7,3748307,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-15,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.0,50.0,46.0,46.85,3724209,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-18,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,46.0,47.2,44.65,45.05,4818608,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-19,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,45.55,46.5,44.35,45.55,2307643,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-20,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,45.9,46.35,43.1,43.45,4740748,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-21,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,44.5,45.4,43.1,43.45,5008794,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-22,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,44.3,47.05,43.95,46.05,14500924,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-25,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.1,48.0,46.65,47.3,1868903,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-27,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.6,51.0,47.75,50.6,2366639,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-28,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.2,52.5,49.55,50.75,3585050,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-01-29,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.95,53.0,49.5,52.55,3022242,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.95,57.4,52.0,56.75,4700070,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-02,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,58.4,58.75,53.75,54.35,4109847,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-03,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,54.35,54.35,51.2,52.1,4385867,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-04,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.65,54.1,52.65,53.45,1789226,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-05,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,53.8,55.35,53.6,54.95,8000086,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-08,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,55.4,56.4,54.0,54.4,1943263,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-09,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,45.0,54.0,45.0,53.6,2228896,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-10,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.6,54.0,52.5,53.05,2213310,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-11,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.85,53.0,50.4,50.75,2303896,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-12,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,51.3,52.0,48.5,50.4,7720654,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-15,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,51.25,54.3,51.2,54.0,1855770,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-16,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,54.15,55.1,50.0,50.45,1310654,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-17,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.75,51.8,49.8,51.4,917949,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-18,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,52.9,53.2,50.1,50.7,1242293,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-19,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,50.6,52.2,50.25,50.8,1429833,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-22,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,51.0,51.7,49.2,49.55,2208257,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-23,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,49.85,50.0,48.0,48.05,1628615,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-24,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.05,48.2,46.55,46.75,1957560,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-25,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.45,47.65,46.25,46.75,946637,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-26,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.4,47.95,46.75,47.1,1085664,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-02-29,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.65,47.65,45.35,45.55,2690030,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-03-01,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,46.0,47.2,45.4,46.85,2197627,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-03-02,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,47.95,49.55,47.8,48.95,2760150,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-03-03,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,49.7,51.05,48.0,49.0,3992229,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-03-04,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,49.4,50.5,49.0,49.65,1761996,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-03-08,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,49.55,50.1,48.9,49.1,2853649,FYERS_HISTORY,2026-08-08T23:19:07+05:30
2016-03-09,SMD-0105,IDFCFIRSTB,NSE:IDFCFIRSTB-EQ,48.4,48.8,47.1,47.6,2098974,FYERS_HISTORY,2026-08-08T23:19:07+05:30
